Month,Department,Items due,Closed in 5 days,% Closed in 5 days,Not closed in 5 days,% Not closed in 5 days,Delay advised,% Delay advised,Responded to in 5 days,% Responded to in 5 days
Apr-18,Adults,8,3,38%,5,63%,5,62.5%,8,100%
Apr-18,Assurance,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Apr-18,Barnet Homes,88,88,100%,0,0%,0,0.0%,88,100%
Apr-18,Commissioning,71,39,55%,32,45%,30,42.3%,69,97%
Apr-18,CSG,35,29,83%,6,17%,6,17.1%,35,100%
Apr-18,Education & Skills,8,8,100%,0,0%,0,0.0%,8,100%
Apr-18,Family Services,4,2,50%,2,50%,2,50.0%,4,100%
Apr-18,Re,381,217,57%,164,43%,150,39.4%,367,96%
Apr-18,Streetscene,149,82,55%,67,45%,60,40.3%,142,95%
May-18,Adults,8,7,88%,1,13%,1,12.5%,8,100%
May-18,Assurance,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
May-18,Barnet Homes,66,66,100%,0,0%,0,0.0%,66,100%
May-18,Commissioning,92,61,66%,31,34%,31,33.7%,92,100%
May-18,CSG,34,26,76%,8,24%,8,23.5%,34,100%
May-18,Education & Skills,7,7,100%,0,0%,0,0.0%,7,100%
May-18,Family Services,11,7,64%,4,36%,4,36.4%,11,100%
May-18,Re,309,243,79%,66,21%,66,21.4%,309,100%
May-18,Streetscene,201,125,62%,76,38%,76,37.8%,201,100%
Jun-18,Adults,7,7,100%,0,0%,0,0.0%,7,100%
Jun-18,Assurance,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Jun-18,Barnet Homes,88,31,35%,57,65%,0,0.0%,31,35%
Jun-18,Commissioning,94,62,66%,32,34%,32,34.0%,94,100%
Jun-18,CSG,33,27,82%,6,18%,6,18.2%,33,100%
Jun-18,Education & Skills,9,8,89%,1,11%,1,11.1%,9,100%
Jun-18,Family Services,7,4,57%,3,43%,3,42.9%,7,100%
Jun-18,Re,325,202,62%,123,38%,123,37.8%,325,100%
