,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010,Apr 2010 to Mar 2011,Jul 2010 to Jun 2011,Oct 2010 to Sep 2011,Jan 2011 to Dec 2011
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,5,4,6,2,18,14,13,13
Number of offenders in cohort,13,14,13,11,15,13,13,13
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,27,12,11,12,18,20,13,26
Number of offenders in cohort,19,19,20,16,14,14,15,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),14.3,30.6,37.1,48.4,44.4,*,51.6,46.9
Average number of re-offences per re-offender,3.00,2.36,3.00,2.13,2.31,*,2.63,2.67
Average number of re-offences per offender,0.43,0.72,1.11,1.03,1.03,*,1.35,1.25
Number of re-offences,15,26,39,32,37,32,42,40
Number of offenders in cohort,35,36,35,31,36,29,31,32
Average number of previous offences per offender,61.8,62.1,62.1,63.3,65.1,*,62.3,60.6
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,16,27,20,18,14,16,15,5
Number of offenders in cohort,21,21,20,20,19,20,18,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,27,17,24,11,9,5,5,8
Number of offenders in cohort,18,19,19,16,13,14,13,10
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,7,3,5,8,10,17,13,4
Number of offenders in cohort,21,17,14,17,14,14,15,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),29.6,32.6,32.3,32.2,29.6,35.6,28.9,32.0
Average number of re-offences per re-offender,2.25,1.99,2.15,1.87,2.03,2.08,2.10,2.25
Average number of re-offences per offender,0.67,0.65,0.69,0.60,0.60,0.74,0.61,0.72
Number of re-offences,169,155,161,144,138,162,128,144
Number of offenders in cohort,253,239,232,239,230,219,211,200
Average number of previous offences per offender,46.3,47.4,49.8,50.3,50.7,49.4,49.4,47.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,58,61,19,17,24,23,19,9
Number of offenders in cohort,27,24,20,17,17,18,20,17
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),38.5,43.2,*,*,54.1,45.9,53.1,51.5
Average number of re-offences per re-offender,2.80,2.31,*,*,2.95,2.65,2.35,2.12
Average number of re-offences per offender,1.08,1.00,*,*,1.59,1.22,1.25,1.09
Number of re-offences,42,37,32,51,59,45,40,36
Number of offenders in cohort,39,37,28,29,37,37,32,33
Average number of previous offences per offender,61.3,63.6,*,*,60.6,67.5,70.3,75.5
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,13,13,5,5,4,5,13,12
Number of offenders in cohort,13,15,14,14,12,9,11,9
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),37.3,54.3,36.0,40.4,37.5,32.7,28.9,32.6
Average number of re-offences per re-offender,2.41,2.52,3.00,2.96,2.81,2.44,1.77,2.07
Average number of re-offences per offender,0.90,1.37,1.08,1.19,1.05,0.80,0.51,0.67
Number of re-offences,53,63,54,68,59,39,23,29
Number of offenders in cohort,59,46,50,57,56,49,45,43
Average number of previous offences per offender,60.5,66.1,68.8,65.0,64.6,66.2,68.9,68.4
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,25,17,11,24,25,24,15,8
Number of offenders in cohort,15,16,19,22,22,20,14,18
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,28,20,23,23,14,24,22,14
Number of offenders in cohort,16,18,18,18,17,28,29,28
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),26.5,28.8,28.4,21.1,25.8,24.2,28.1,31.7
Average number of re-offences per re-offender,1.95,2.13,2.05,2.33,2.24,2.94,2.25,2.45
Average number of re-offences per offender,0.52,0.61,0.58,0.49,0.58,0.71,0.63,0.78
Number of re-offences,43,49,43,35,38,47,36,49
Number of offenders in cohort,83,80,74,71,66,66,57,63
Average number of previous offences per offender,48.7,50.9,49.9,51.0,53.0,50.9,48.5,45.2
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,5,14,16,17,15,29,27,13
Number of offenders in cohort,25,25,23,26,23,21,22,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),43.3,*,*,*,*,*,*,*
Average number of re-offences per re-offender,2.62,*,*,*,*,*,*,*
Average number of re-offences per offender,1.13,*,*,*,*,*,*,*
Number of re-offences,34,32,29,23,16,19,10,17
Number of offenders in cohort,30,23,19,23,24,23,21,16
Average number of previous offences per offender,87.4,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),40.7,56.0,42.4,50.0,48.3,49.2,47.5,35.5
Average number of re-offences per re-offender,2.82,2.86,2.88,3.21,3.79,3.37,2.54,2.55
Average number of re-offences per offender,1.15,1.60,1.22,1.61,1.83,1.66,1.20,0.90
Number of re-offences,62,80,72,90,106,101,71,56
Number of offenders in cohort,54,50,59,56,58,61,59,62
Average number of previous offences per offender,73.0,66.0,61.6,63.5,60.7,62.7,64.6,67.8
Proportion of offenders who re-offend (%),39.8,41.5,42.7,43.8,47.4,46.2,44.6,46.8
Average number of re-offences per re-offender,3.23,2.87,2.55,2.31,2.27,2.28,2.51,2.65
Average number of re-offences per offender,1.29,1.19,1.09,1.01,1.08,1.05,1.12,1.24
Number of re-offences,126,112,97,81,84,82,93,98
Number of offenders in cohort,98,94,89,80,78,78,83,79
Average number of previous offences per offender,99.2,102.5,101.2,104.2,110.3,115.1,112.1,114.8
