Age,Learners with Learning Difficulties and/or Disabilities,2008/09 Female,Male,All,2009/10 Female,Male,All,2010/11 Female,Male,All,2011/12 Female,Male,All,2012/13 Female,Male,All,2013/14 Female,Male,All
Under 19,Learning Difficulty/Disability,64.6%,62.2%,63.4%,66.5%,67.7%,67.1%,70.6%,70.0%,70.3%,68.2%,67.0%,67.5%,66.4%,62.6%,64.4%,68.3%,64.7%,66.4%
,No Learning Difficulty/Disability,71.0%,70.0%,70.4%,73.8%,72.6%,73.1%,75.8%,73.6%,74.6%,74.4%,73.3%,73.8%,73.3%,71.6%,72.3%,72.3%,71.1%,71.7%
,Not Known,69.6%,64.9%,66.2%,69.5%,68.5%,68.9%,67.4%,67.3%,67.3%,72.4%,73.0%,72.7%,69.7%,71.7%,70.9%,68.4%,69.2%,68.9%
19-24,Learning Difficulty/Disability,69.6%,68.1%,68.9%,70.9%,71.2%,71.1%,73.9%,74.3%,74.1%,73.4%,72.3%,72.9%,68.2%,68.0%,68.1%,67.0%,64.0%,65.6%
,No Learning Difficulty/Disability,70.5%,72.6%,71.6%,74.9%,75.8%,75.4%,78.1%,78.3%,78.2%,76.3%,76.0%,76.2%,72.8%,73.3%,73.0%,71.1%,70.0%,70.6%
,Not Known,71.1%,70.7%,70.9%,70.5%,68.6%,69.4%,76.0%,67.6%,71.6%,78.3%,71.6%,75.1%,62.3%,63.8%,63.0%,65.3%,67.9%,66.6%
25+,Learning Difficulty/Disability,73.8%,71.1%,73.0%,76.0%,72.7%,75.0%,77.2%,74.5%,76.3%,70.6%,72.7%,71.4%,69.5%,70.6%,69.9%,65.1%,64.4%,64.8%
,No Learning Difficulty/Disability,74.9%,78.6%,76.3%,75.7%,73.9%,75.1%,79.5%,78.1%,79.0%,72.0%,73.6%,72.6%,73.0%,72.9%,73.0%,67.2%,66.2%,66.8%
,Not Known,68.5%,86.0%,75.6%,72.5%,74.4%,73.3%,89.1%,80.6%,86.1%,73.8%,77.8%,75.7%,59.3%,67.7%,62.7%,65.3%,71.7%,68.0%
Adult (19+),Learning Difficulty/Disability,70.7%,73.5%,69.9%,73.2%,75.4%,72.6%,75.2%,78.3%,74.8%,71.9%,74.9%,72.2%,68.9%,73.1%,69.1%,66.0%,64.2%,65.2%
,No Learning Difficulty/Disability,71.5%,73.5%,72.4%,75.2%,75.4%,75.3%,78.7%,78.3%,78.5%,73.8%,74.9%,74.3%,72.9%,73.1%,73.0%,68.8%,68.1%,68.5%
,Not Known,70.4%,72.8%,71.8%,71.3%,70.5%,70.9%,83.0%,72.3%,78.2%,75.6%,75.3%,75.5%,60.2%,66.1%,62.8%,65.3%,70.2%,67.5%
All Age,Learning Difficulty/Disability,67.8%,64.9%,66.5%,70.2%,69.5%,69.9%,73.1%,72.0%,72.6%,70.7%,70.0%,70.4%,68.2%,66.8%,67.6%,66.6%,64.3%,65.6%
,No Learning Difficulty/Disability,71.2%,71.6%,71.4%,74.7%,74.0%,74.3%,77.6%,76.1%,76.8%,74.0%,74.3%,74.1%,73.0%,72.6%,72.8%,69.5%,69.0%,69.3%
,Not Known,70.0%,67.8%,68.6%,70.5%,69.4%,69.9%,77.3%,69.8%,73.5%,75.1%,74.7%,74.9%,61.7%,67.6%,64.5%,65.8%,69.9%,67.8%
