Year,Geographical region,Country of nationality,Total applications,Applications received from ports,Applications received in-country
2006,Asia,Afghanistan,805,20,785
2006,Europe,Albania,18,1,17
2006,Africa,Algeria,43,0,43
2006,Oceania,American Samoa,0,0,0
2006,Europe,Andorra,0,0,0
2006,Africa,Angola,6,1,5
2006,Americas,Anguilla (British),0,0,0
2006,Americas,Antigua and Barbuda,0,0,0
2006,Americas,Argentina,0,0,0
2006,Europe,Armenia,0,0,0
2006,Americas,Aruba,0,0,0
2006,Oceania,Australia,0,0,0
2006,Europe,Austria,0,0,0
2006,Europe,Azerbaijan,0,0,0
2006,Americas,"Bahamas, The",0,0,0
2006,Middle East,Bahrain,0,0,0
2006,Asia,Bangladesh,8,0,8
2006,Americas,Barbados,0,0,0
2006,Europe,Belarus,1,0,1
2006,Europe,Belgium,0,0,0
2006,Americas,Belize,0,0,0
2006,Africa,Benin,0,0,0
2006,Americas,Bermuda (British),0,0,0
2006,Asia,Bhutan,0,0,0
2006,Americas,Bolivia,0,0,0
2006,Americas,"Bonaire, Sint Eustatius and Saba",:,:,:
2006,Europe,Bosnia and Herzegovina,0,0,0
2006,Africa,Botswana,0,0,0
2006,Americas,Brazil,0,0,0
2006,Other,British overseas citizens,0,0,0
2006,Asia,Brunei,0,0,0
2006,Europe,Bulgaria,0,0,0
2006,Africa,Burkina,0,0,0
2006,Asia,Burma,0,0,0
2006,Africa,Burundi,0,0,0
2006,Asia,Cambodia,0,0,0
2006,Africa,Cameroon,13,0,13
2006,Americas,Canada,0,0,0
2006,Africa,Cape Verde,0,0,0
2006,Americas,Cayman Islands (British),0,0,0
2006,Africa,Central African Republic,0,0,0
2006,Africa,Chad,2,1,1
2006,Americas,Chile,0,0,0
2006,Asia,China,138,110,28
2006,Oceania,Christmas Island,0,0,0
2006,Oceania,Cocos (Keeling) Islands,0,0,0
2006,Americas,Colombia,0,0,0
2006,Africa,Comoros,0,0,0
2006,Africa,Congo,4,0,4
2006,Africa,Congo (Democratic Republic),27,6,21
2006,Oceania,Cook Islands,0,0,0
2006,Americas,Costa Rica,0,0,0
2006,Europe,Croatia,0,0,0
2006,Americas,Cuba,0,0,0
2006,Americas,Curacao,:,:,:
2006,Europe,Cyprus,0,0,0
2006,Europe,Cyprus (Northern part of),0,0,0
2006,Europe,Czech Republic,0,0,0
2006,Europe,Denmark,0,0,0
2006,Africa,Djibouti,0,0,0
2006,Americas,Dominica,0,0,0
2006,Americas,Dominican Republic,0,0,0
2006,Asia,East Timor,0,0,0
2006,Americas,Ecuador,0,0,0
2006,Africa,Egypt,1,0,1
2006,Americas,El Salvador,0,0,0
2006,Africa,Equatorial Guinea,0,0,0
2006,Africa,Eritrea,221,8,213
2006,Europe,Estonia,0,0,0
2006,Africa,Ethiopia,32,1,31
2006,Americas,Falkland Islands (British),0,0,0
2006,Europe,Faroe Islands,0,0,0
2006,Oceania,Fiji,0,0,0
2006,Europe,Finland,0,0,0
2006,Europe,Former Yugoslavia,:,:,:
2006,Europe,France,0,0,0
2006,Americas,French Guiana,0,0,0
2006,Oceania,French Polynesia,0,0,0
