Quarter,Geographical region,Country of nationality,Total enforced removals,Total Refused entry at port and subsequently departed,Total voluntary departures,Total non-asylum enforced removals,Non-asylum cases: Refused entry at port and subsequently departed,Total non-asylum voluntary departures,Non-asylum cases: Assisted Voluntary Returns,Non-asylum cases: Notified voluntary departures,Non-asylum cases:    Other confirmed voluntary departures,Total asylum enforced removals,Total asylum voluntary departures,Asylum cases: Assisted Voluntary Returns,Asylum cases: Notified voluntary departures,Asylum cases:    Other confirmed voluntary departures
2011 Q1,Asia,Afghanistan,353,80,143,19,80,5,1,1,3,334,138,114,7,17
2011 Q1,Europe,Albania,101,195,24,58,195,20,0,3,17,43,4,3,1,0
2011 Q1,Africa,Algeria,67,26,54,27,26,29,1,10,18,40,25,4,12,9
2011 Q1,Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Angola,6,7,11,2,7,7,0,3,4,4,4,1,1,2
2011 Q1,Americas,Anguilla (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Antigua and Barbuda,0,7,1,0,7,1,0,0,1,0,0,0,0,0
2011 Q1,Americas,Argentina,3,20,4,2,20,4,0,2,2,1,0,0,0,0
2011 Q1,Europe,Armenia,2,4,0,1,4,0,0,0,0,1,0,0,0,0
2011 Q1,Americas,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Australia,2,96,28,2,96,28,0,7,21,0,0,0,0,0
2011 Q1,Europe,Austria,4,0,0,3,0,0,0,0,0,1,0,0,0,0
2011 Q1,Europe,Azerbaijan,0,1,4,0,1,4,0,0,4,0,0,0,0,0
2011 Q1,Americas,"Bahamas, The",1,2,1,1,2,1,0,0,1,0,0,0,0,0
2011 Q1,Middle East,Bahrain,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2011 Q1,Asia,Bangladesh,157,60,236,108,60,212,0,62,150,49,24,17,4,3
2011 Q1,Americas,Barbados,0,6,4,0,6,4,0,0,4,0,0,0,0,0
2011 Q1,Europe,Belarus,4,7,5,2,7,5,0,3,2,2,0,0,0,0
2011 Q1,Europe,Belgium,4,6,0,4,6,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Belize,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Benin,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2011 Q1,Americas,Bermuda (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Bhutan,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011 Q1,Americas,Bolivia,45,18,65,36,18,64,29,10,25,9,1,1,0,0
2011 Q1,Americas,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Bosnia and Herzegovina,1,5,7,0,5,7,0,7,0,1,0,0,0,0
2011 Q1,Africa,Botswana,4,11,15,2,11,15,0,3,12,2,0,0,0,0
2011 Q1,Americas,Brazil,173,329,408,169,329,405,51,48,306,4,3,1,2,0
2011 Q1,Other,British overseas citizens,2,2,0,2,2,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Brunei,0,3,0,0,3,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Bulgaria,10,5,0,10,5,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Burkina,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Burma,1,0,11,0,0,4,0,0,4,1,7,2,5,0
2011 Q1,Africa,Burundi,1,2,3,0,2,1,0,0,1,1,2,2,0,0
2011 Q1,Asia,Cambodia,0,4,2,0,4,2,0,0,2,0,0,0,0,0
2011 Q1,Africa,Cameroon,14,17,17,5,17,15,0,5,10,9,2,1,0,1
2011 Q1,Americas,Canada,5,118,34,4,118,34,0,12,22,1,0,0,0,0
2011 Q1,Africa,Cape Verde,1,3,0,1,3,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Cayman Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Chad,2,1,2,0,1,1,0,0,1,2,1,1,0,0
2011 Q1,Americas,Chile,4,21,3,3,21,3,0,0,3,1,0,0,0,0
2011 Q1,Asia,China,231,67,736,92,67,610,5,105,500,139,126,91,9,26
2011 Q1,Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Colombia,29,19,35,19,19,34,4,14,16,10,1,0,0,1
2011 Q1,Africa,Comoros,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Congo,6,7,1,3,7,1,0,0,1,3,0,0,0,0
2011 Q1,Africa,Congo (Democratic Republic),22,13,7,3,13,2,0,1,1,19,5,0,3,2
2011 Q1,Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Costa Rica,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2011 Q1,Europe,Croatia,1,34,5,1,34,2,0,0,2,0,3,2,1,0
2011 Q1,Americas,Cuba,0,2,2,0,2,1,0,1,0,0,1,0,0,1
2011 Q1,Americas,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Cyprus,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Cyprus (Northern part of),1,1,1,0,1,1,0,1,0,1,0,0,0,0
2011 Q1,Europe,Czech Republic,13,2,1,12,2,1,0,1,0,1,0,0,0,0
2011 Q1,Europe,Denmark,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Djibouti,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Dominica,1,2,3,1,2,3,0,3,0,0,0,0,0,0
2011 Q1,Americas,Dominican Republic,1,4,2,1,4,1,0,0,1,0,1,1,0,0
2011 Q1,Asia,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Ecuador,9,10,9,7,10,9,0,1,8,2,0,0,0,0
2011 Q1,Africa,Egypt,19,7,18,6,7,17,0,4,13,13,1,0,1,0
2011 Q1,Americas,El Salvador,2,0,1,0,0,1,0,1,0,2,0,0,0,0
2011 Q1,Africa,Equatorial Guinea,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Eritrea,42,59,7,1,59,0,0,0,0,41,7,3,0,4
2011 Q1,Europe,Estonia,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Ethiopia,6,1,6,1,1,6,0,2,4,5,0,0,0,0
2011 Q1,Americas,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Fiji,1,2,5,1,2,5,0,3,2,0,0,0,0,0
2011 Q1,Europe,Finland,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Former Yugoslavia,5,7,4,2,7,0,0,0,0,3,4,1,3,0
2011 Q1,Europe,France,6,16,0,6,16,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Gabon,1,1,0,1,1,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,"Gambia, The",18,14,36,7,14,26,0,12,14,11,10,2,2,6
2011 Q1,Europe,Georgia,11,9,14,9,9,9,0,6,3,2,5,4,1,0
2011 Q1,Europe,Germany,9,5,1,9,5,1,0,0,1,0,0,0,0,0
2011 Q1,Africa,Ghana,87,40,157,66,40,149,5,45,99,21,8,6,1,1
2011 Q1,Europe,Gibraltar (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Greece,3,2,0,3,2,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Grenada,2,5,6,2,5,6,0,1,5,0,0,0,0,0
2011 Q1,Americas,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Guatemala,1,8,1,1,8,1,0,1,0,0,0,0,0,0
2011 Q1,Africa,Guinea,3,4,6,2,4,2,0,0,2,1,4,2,1,1
2011 Q1,Africa,Guinea-Bissau,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Guyana,8,3,7,5,3,7,1,4,2,3,0,0,0,0
2011 Q1,Americas,Haiti,0,4,0,0,4,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Honduras,0,2,1,0,2,1,0,0,1,0,0,0,0,0
2011 Q1,Asia,Hong Kong,3,33,26,2,33,25,0,8,17,1,1,1,0,0
2011 Q1,Europe,Hungary,5,0,0,5,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,India,313,252,"1,238",217,252,"1,179",14,326,839,96,59,36,14,9
2011 Q1,Asia,Indonesia,2,1,11,2,1,11,0,3,8,0,0,0,0,0
2011 Q1,Middle East,Iran,66,88,100,8,88,39,0,14,25,58,61,40,7,14
2011 Q1,Middle East,Iraq,59,16,90,8,16,9,0,6,3,51,81,65,7,9
2011 Q1,Europe,Ireland,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Israel,3,33,16,3,33,7,0,3,4,0,9,8,1,0
2011 Q1,Europe,Italy,5,7,2,5,7,2,0,0,2,0,0,0,0,0
2011 Q1,Africa,Ivory Coast,0,9,10,0,9,9,4,0,5,0,1,0,0,1
2011 Q1,Americas,Jamaica,125,8,80,83,8,75,6,48,21,42,5,2,2,1
2011 Q1,Asia,Japan,1,50,31,1,50,31,0,14,17,0,0,0,0,0
2011 Q1,Middle East,Jordan,2,5,11,1,5,10,0,7,3,1,1,1,0,0
2011 Q1,Europe,Kazakhstan,0,7,9,0,7,9,0,1,8,0,0,0,0,0
2011 Q1,Africa,Kenya,16,9,51,6,9,44,0,9,35,10,7,7,0,0
2011 Q1,Oceania,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Korea (North),0,0,6,0,0,0,0,0,0,0,6,5,0,1
2011 Q1,Asia,Korea (South),3,40,37,1,40,36,0,12,24,2,1,1,0,0
2011 Q1,Europe,Kosovo,12,1,9,5,1,4,0,0,4,7,5,3,2,0
2011 Q1,Middle East,Kuwait,1,4,13,0,4,12,0,0,12,1,1,0,0,1
2011 Q1,Europe,Kyrgyzstan,2,0,4,1,0,2,0,2,0,1,2,0,2,0
2011 Q1,Asia,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Latvia,9,7,0,9,7,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Lebanon,2,4,5,1,4,1,0,0,1,1,4,0,1,3
2011 Q1,Africa,Lesotho,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011 Q1,Africa,Liberia,4,2,4,1,2,1,0,1,0,3,3,0,1,2
2011 Q1,Africa,Libya,5,6,26,1,6,23,0,12,11,4,3,1,0,2
2011 Q1,Europe,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Lithuania,34,18,0,33,18,0,0,0,0,1,0,0,0,0
2011 Q1,Europe,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Macau,1,1,4,1,1,4,0,1,3,0,0,0,0,0
2011 Q1,Europe,Macedonia,2,4,2,1,4,1,0,0,1,1,1,0,0,1
2011 Q1,Africa,Madagascar,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Malawi,16,0,67,11,0,62,16,3,43,5,5,5,0,0
2011 Q1,Asia,Malaysia,82,84,144,72,84,141,0,15,126,10,3,2,1,0
2011 Q1,Asia,Maldives,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Mali,2,4,0,2,4,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Marshall Islands,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011 Q1,Americas,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Mauritania,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Mauritius,31,51,150,26,51,142,33,45,64,5,8,8,0,0
2011 Q1,Africa,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Mexico,13,93,16,12,93,15,0,4,11,1,1,0,1,0
2011 Q1,Oceania,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Moldova,10,10,9,8,10,6,0,1,5,2,3,0,3,0
2011 Q1,Europe,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Mongolia,18,4,47,11,4,42,5,3,34,7,5,4,0,1
2011 Q1,Europe,Montenegro,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011 Q1,Americas,Montserrat (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Morocco,14,30,15,10,30,14,0,8,6,4,1,0,1,0
2011 Q1,Africa,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Namibia,8,6,5,2,6,5,0,3,2,6,0,0,0,0
2011 Q1,Oceania,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Nepal,26,14,52,14,14,50,0,17,33,12,2,1,1,0
2011 Q1,Europe,Netherlands,17,10,0,17,10,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Netherlands Antilles,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011 Q1,Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,New Zealand,2,18,21,2,18,21,0,5,16,0,0,0,0,0
2011 Q1,Americas,Nicaragua,4,1,0,1,1,0,0,0,0,3,0,0,0,0
2011 Q1,Africa,Niger,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2011 Q1,Africa,Nigeria,302,191,531,187,191,493,21,142,330,115,38,18,9,11
2011 Q1,Oceania,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Norway,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Occupied Palestinian Territories,12,9,6,4,9,1,0,1,0,8,5,1,2,2
2011 Q1,Middle East,Oman,0,3,0,0,3,0,0,0,0,0,0,0,0,0
2011 Q1,Other,Other and unknown,1,30,4,1,30,4,0,2,2,0,0,0,0,0
2011 Q1,Asia,Pakistan,281,129,645,164,129,551,8,206,337,117,94,63,26,5
2011 Q1,Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Panama,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Paraguay,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Peru,2,12,5,2,12,5,0,1,4,0,0,0,0,0
2011 Q1,Asia,Philippines,36,37,201,33,37,200,2,63,135,3,1,1,0,0
2011 Q1,Oceania,Pitcairn Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Poland,77,9,3,77,9,1,0,1,0,0,2,0,2,0
2011 Q1,Europe,Portugal,12,3,2,12,3,1,0,1,0,0,1,0,1,0
2011 Q1,Americas,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Qatar,0,2,4,0,2,4,0,2,2,0,0,0,0,0
2011 Q1,Other,Refugee,13,65,0,9,65,0,0,0,0,4,0,0,0,0
2011 Q1,Africa,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Romania,75,27,4,73,27,2,0,1,1,2,2,0,1,1
2011 Q1,Europe,Russia,10,44,32,7,44,21,1,10,10,3,11,9,1,1
2011 Q1,Africa,Rwanda,1,1,6,0,1,1,0,0,1,1,5,4,0,1
2011 Q1,Oceania,Samoa,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011 Q1,Europe,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Saudi Arabia,1,13,28,0,13,27,0,3,24,1,1,1,0,0
2011 Q1,Africa,Senegal,4,14,10,3,14,8,0,1,7,1,2,2,0,0
2011 Q1,Europe,Serbia,3,17,7,1,17,3,0,1,2,2,4,4,0,0
2011 Q1,Europe,Serbia and Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011 Q1,Africa,Seychelles,2,0,1,2,0,1,0,0,1,0,0,0,0,0
2011 Q1,Africa,Sierra Leone,7,3,11,2,3,6,0,2,4,5,5,0,4,1
2011 Q1,Asia,Singapore,0,7,6,0,7,6,0,3,3,0,0,0,0,0
2011 Q1,Europe,Slovakia,8,3,0,8,3,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Somalia,17,2,10,6,2,3,0,1,2,11,7,1,2,4
2011 Q1,Africa,South Africa,41,31,126,34,31,114,5,41,68,7,12,9,3,0
2011 Q1,Americas,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Spain,4,3,0,4,3,0,0,0,0,0,0,0,0,0
2011 Q1,Asia,Sri Lanka,91,34,143,17,34,103,2,32,69,74,40,27,5,8
2011 Q1,Africa,St. Helena (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,St. Kitts and Nevis,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,St. Lucia,7,7,6,7,7,5,0,2,3,0,1,0,0,1
2011 Q1,Americas,St. Maarten (Dutch Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,St. Vincent and the Grenadines,5,8,2,3,8,2,0,2,0,2,0,0,0,0
2011 Q1,Other,Stateless,11,8,0,0,8,0,0,0,0,11,0,0,0,0
2011 Q1,Africa,Sudan,37,19,20,1,19,13,0,3,10,36,7,1,4,2
2011 Q1,Africa,Sudan (South),:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011 Q1,Americas,Surinam,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Sweden,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Middle East,Syria,7,4,15,3,4,12,0,2,10,4,3,1,1,1
2011 Q1,Asia,Taiwan,2,20,17,1,20,17,0,7,10,1,0,0,0,0
2011 Q1,Europe,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Tanzania,11,5,45,5,5,44,3,13,28,6,1,1,0,0
2011 Q1,Asia,Thailand,10,15,82,8,15,76,3,25,48,2,6,4,1,1
2011 Q1,Africa,Togo,0,5,0,0,5,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Tonga,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2011 Q1,Americas,Trinidad and Tobago,5,24,17,4,24,17,0,9,8,1,0,0,0,0
2011 Q1,Africa,Tunisia,6,9,6,4,9,4,0,2,2,2,2,1,1,0
2011 Q1,Europe,Turkey,48,39,79,22,39,74,0,23,51,26,5,0,3,2
2011 Q1,Europe,Turkmenistan,2,3,10,1,3,9,0,0,9,1,1,0,0,1
2011 Q1,Americas,Turks and Caicos Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Oceania,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Africa,Uganda,24,3,58,7,3,50,4,8,38,17,8,7,0,1
2011 Q1,Europe,Ukraine,53,63,39,46,63,36,0,12,24,7,3,2,0,1
2011 Q1,Middle East,United Arab Emirates,0,1,5,0,1,5,0,0,5,0,0,0,0,0
2011 Q1,Americas,United States,14,472,91,14,472,88,0,35,53,0,3,3,0,0
2011 Q1,Americas,Uruguay,1,3,0,0,3,0,0,0,0,1,0,0,0,0
2011 Q1,Europe,Uzbekistan,22,1,46,20,1,46,0,8,38,2,0,0,0,0
2011 Q1,Oceania,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Europe,Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q1,Americas,Venezuela,2,45,5,0,45,5,0,3,2,2,0,0,0,0
2011 Q1,Asia,Vietnam,249,24,77,190,24,72,2,10,60,59,5,3,0,2
