Quarter,Country of asylum application,Total applications,"Estimated Asylum seekers / 1,000 of population"
2008 Q1,Australia,900,0.18
2008 Q1,Austria,"2,800",1.35
2008 Q1,Belgium,"3,400",1.25
2008 Q1,Bulgaria,200,0.12
2008 Q1,Canada,"8,400",1.01
2008 Q1,Cyprus,"1,100",4.22
2008 Q1,Czech Republic,600,0.22
2008 Q1,Denmark,500,0.39
2008 Q1,Estonia,*,0.01
2008 Q1,Finland,400,0.30
2008 Q1,France,"7,800",0.51
2008 Q1,Germany,"5,900",0.29
2008 Q1,Greece,"4,900",1.75
2008 Q1,Hungary,700,0.28
2008 Q1,Ireland,900,0.80
2008 Q1,Italy,"5,000",0.33
2008 Q1,Latvia,*,0.01
2008 Q1,Lithuania,*,0.04
2008 Q1,Luxembourg,100,0.81
2008 Q1,Malta,500,4.64
2008 Q1,Netherlands,"2,700",0.65
2008 Q1,Norway,"2,500",2.07
2008 Q1,Poland,"1,500",0.16
2008 Q1,Portugal,*,0.01
2008 Q1,Romania,200,0.04
2008 Q1,Slovakia,200,0.13
2008 Q1,Slovenia,*,0.08
2008 Q1,Spain,"1,200",0.10
2008 Q1,Sweden,"7,000",3.06
2008 Q1,Switzerland,"2,800",1.46
2008 Q1,United Kingdom,"7,900",0.52
2008 Q1,United States,"12,400",0.16
2008 Q2,*Total (Selected Countries),"82,400",0.38
2008 Q2,*Total EU15,"49,200",0.50
2008 Q2,*Total EU25,"53,400",0.46
2008 Q2,*Total EU27,"53,800",0.43
2008 Q2,*Total Europe (selected countries),"59,800",0.47
2008 Q2,Australia,"1,000",0.19
2008 Q2,Austria,"2,500",1.22
2008 Q2,Belgium,"3,200",1.18
2008 Q2,Bulgaria,200,0.10
2008 Q2,Canada,"8,400",1.01
2008 Q2,Cyprus,900,3.38
2008 Q2,Czech Republic,300,0.13
2008 Q2,Denmark,500,0.33
2008 Q2,Estonia,*,0.01
2008 Q2,Finland,600,0.48
2008 Q2,France,"8,200",0.53
2008 Q2,Germany,"5,100",0.25
2008 Q2,Greece,"5,200",1.87
2008 Q2,Hungary,500,0.21
2008 Q2,Ireland,900,0.82
2008 Q2,Italy,"6,100",0.41
2008 Q2,Latvia,*,0.01
2008 Q2,Lithuania,*,0.04
2008 Q2,Luxembourg,100,0.81
2008 Q2,Malta,600,6.05
2008 Q2,Netherlands,"3,100",0.76
2008 Q2,Norway,"2,900",2.44
2008 Q2,Poland,"1,500",0.16
2008 Q2,Portugal,100,0.02
2008 Q2,Romania,200,0.03
2008 Q2,Slovakia,200,0.18
2008 Q2,Slovenia,100,0.14
2008 Q2,Spain,"1,200",0.10
2008 Q2,Sweden,"5,200",2.27
2008 Q2,Switzerland,"3,200",1.66
2008 Q2,United Kingdom,"7,100",0.46
2008 Q2,United States,"13,200",0.17
2008 Q3,*Total (Selected Countries),"97,800",0.45
2008 Q3,*Total EU15,"58,700",0.60
2008 Q3,*Total EU25,"64,100",0.55
2008 Q3,*Total EU27,"64,600",0.52
2008 Q3,*Total Europe (selected countries),"73,700",0.58
2008 Q3,Australia,"1,500",0.28
2008 Q3,Austria,"3,500",1.70
2008 Q3,Belgium,"3,600",1.35
2008 Q3,Bulgaria,200,0.09
2008 Q3,Canada,"10,300",1.24
2008 Q3,Cyprus,"1,000",3.70
2008 Q3,Czech Republic,300,0.13
2008 Q3,Denmark,600,0.43
2008 Q3,Estonia,*,0.00
2008 Q3,Finland,"1,200",0.93
2008 Q3,France,"8,800",0.57
2008 Q3,Germany,"5,600",0.27
2008 Q3,Greece,"4,900",1.73
2008 Q3,Hungary,800,0.32
2008 Q3,Ireland,"1,000",0.91
2008 Q3,Italy,"10,200",0.68
2008 Q3,Latvia,*,0.02
2008 Q3,Lithuania,100,0.07
2008 Q3,Luxembourg,200,1.35
2008 Q3,Malta,900,8.68
2008 Q3,Netherlands,"4,000",0.97
2008 Q3,Norway,"4,700",3.93
2008 Q3,Poland,"2,000",0.21
2008 Q3,Portugal,*,0.01
2008 Q3,Romania,300,0.06
2008 Q3,Slovakia,200,0.18
2008 Q3,Slovenia,*,0.09
2008 Q3,Spain,"1,000",0.09
2008 Q3,Sweden,"6,000",2.60
2008 Q3,Switzerland,"4,400",2.31
2008 Q3,United Kingdom,"8,200",0.53
2008 Q3,United States,"12,300",0.16
2008 Q4,*Total (Selected Countries),"100,200",0.46
2008 Q4,*Total EU15,"61,000",0.62
2008 Q4,*Total EU25,"66,600",0.57
2008 Q4,*Total EU27,"67,200",0.54
2008 Q4,*Total Europe (selected countries),"77,800",0.61
2008 Q4,Australia,"1,300",0.24
2008 Q4,Austria,"3,900",1.87
2008 Q4,Belgium,"3,800",1.44
2008 Q4,Bulgaria,200,0.08
2008 Q4,Canada,"9,800",1.17
2008 Q4,Cyprus,900,3.50
2008 Q4,Czech Republic,400,0.16
2008 Q4,Denmark,800,0.57
2008 Q4,Estonia,*,0.02
2008 Q4,Finland,"1,800",1.34
2008 Q4,France,"10,400",0.67
2008 Q4,Germany,"5,400",0.26
2008 Q4,Greece,"4,900",1.73
2008 Q4,Hungary,"1,100",0.44
2008 Q4,Ireland,"1,000",0.87
2008 Q4,Italy,"9,900",0.66
2008 Q4,Latvia,*,0.05
