Disability Discrimination Claims: Representation,Legal representative at hearing Parents,Responsible body,Other representative at hearing Parents,Legal representative through claim process Parents,Voluntary representative through appeal process Parents
1 September 2003 to 31 August 2004,,,,,
1 September 2004 to 31 August 2005,,,,,
1 September 2005 to 31 August 2006,14%,56%,30%,19%,
1 September 2006 to 31 August 2007,17%,57%,36%,18%,
1 September 2007 to 31 August 2008,11%,30%,16%,20%,8%
1 September 2008 to 31 August 2009,8%,41%,29%,9%,5%
1 September 2009 to 31 August 2010,4%,4%,4%,14%,11%
1 September 2010 to 31 August 2011,,,,,
1 September 2011 to 31 August 2012,,,,,
1 September 2012 to 31 August 2013,,,,,
