,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
January,989.0,1082.0,1033.0,990.0,1047.0,1065.0,1054.0,924.0,976.0,998.0,1052.0,994.0,975.0,779.0,855.0,854.0,791.0,676.0,657.0,622.0,533.0,323.0,384.0
February,991.0,1067.0,807.0,915.0,789.0,886.0,936.0,959.0,921.0,891.0,874.0,854.0,913.0,811.0,788.0,746.0,716.0,593.0,520.0,551.0,427.0,404.0,395.0
March,1011.0,1065.0,990.0,1038.0,969.0,1035.0,1000.0,883.0,904.0,986.0,944.0,927.0,828.0,803.0,677.0,761.0,682.0,632.0,604.0,570.0,594.0,495.0,427.0
April,1019.0,1099.0,1010.0,1006.0,946.0,997.0,825.0,1033.0,983.0,984.0,906.0,968.0,848.0,826.0,794.0,789.0,806.0,650.0,640.0,583.0,523.0,453.0,476.0
May,1085.0,1076.0,921.0,982.0,1093.0,931.0,1005.0,1020.0,980.0,944.0,914.0,1084.0,905.0,962.0,961.0,841.0,812.0,754.0,698.0,621.0,613.0,470.0,428.0
June,1082.0,1114.0,1146.0,999.0,985.0,1029.0,955.0,1016.0,1030.0,1017.0,928.0,927.0,870.0,766.0,801.0,786.0,807.0,699.0,678.0,627.0,597.0,509.0,411.0
July,1004.0,1025.0,991.0,1061.0,1059.0,1009.0,917.0,966.0,1000.0,979.0,922.0,954.0,892.0,907.0,822.0,776.0,726.0,717.0,594.0,565.0,559.0,439.0,428.0
August,1079.0,1056.0,1064.0,1013.0,962.0,931.0,877.0,937.0,952.0,980.0,893.0,924.0,932.0,798.0,792.0,742.0,696.0,671.0,611.0,544.0,488.0,414.0,366.0
September,1060.0,1082.0,1087.0,963.0,994.0,1064.0,1124.0,981.0,962.0,985.0,1015.0,1000.0,959.0,864.0,913.0,858.0,739.0,713.0,648.0,624.0,520.0,492.0,421.0
October,1237.0,1218.0,1007.0,1178.0,1080.0,1200.0,1057.0,1052.0,1085.0,1213.0,1058.0,1168.0,984.0,1042.0,946.0,889.0,788.0,823.0,688.0,668.0,569.0,572.0,492.0
November,1227.0,1210.0,1215.0,1207.0,1124.0,1106.0,1072.0,1144.0,1128.0,1123.0,1089.0,1149.0,1048.0,1000.0,971.0,862.0,879.0,790.0,677.0,623.0,613.0,515.0,467.0
December,1041.0,1079.0,985.0,1163.0,1152.0,1142.0,1095.0,1021.0,1108.0,1004.0,1089.0,1061.0,1096.0,987.0,866.0,856.0,780.0,710.0,624.0,548.0,474.0,358.0,432.0
Sunday,1366.0,1478.0,1287.0,1363.0,1259.0,1232.0,1261.0,1293.0,1219.0,1341.0,1256.0,1346.0,1230.0,1160.0,1082.0,1057.0,1046.0,943.0,859.0,736.0,699.0,592.0,568.0
Monday,1696.0,1895.0,1779.0,1755.0,1710.0,1805.0,1636.0,1764.0,1703.0,1788.0,1668.0,1741.0,1557.0,1545.0,1540.0,1363.0,1254.0,1178.0,1133.0,1030.0,936.0,751.0,740.0
Tuesday,1772.0,1793.0,1744.0,1782.0,1757.0,1819.0,1749.0,1628.0,1747.0,1763.0,1712.0,1776.0,1627.0,1527.0,1517.0,1476.0,1367.0,1166.0,1120.0,1132.0,1063.0,862.0,772.0
Wednesday,1786.0,1905.0,1621.0,1738.0,1782.0,1913.0,1762.0,1728.0,1813.0,1761.0,1719.0,1730.0,1705.0,1556.0,1480.0,1398.0,1393.0,1225.0,1183.0,1071.0,927.0,801.0,755.0
Thursday,2057.0,1899.0,1886.0,1949.0,1942.0,1887.0,1758.0,1887.0,1926.0,1860.0,1831.0,1719.0,1722.0,1600.0,1502.0,1467.0,1338.0,1331.0,1153.0,1105.0,1002.0,840.0,786.0
Friday,2217.0,2272.0,2100.0,2148.0,2156.0,1987.0,2078.0,2005.0,1959.0,2018.0,1933.0,1959.0,1826.0,1752.0,1727.0,1645.0,1533.0,1406.0,1194.0,1159.0,1043.0,927.0,837.0
Saturday,1931.0,1931.0,1839.0,1780.0,1594.0,1752.0,1673.0,1631.0,1662.0,1573.0,1565.0,1739.0,1583.0,1405.0,1338.0,1354.0,1291.0,1179.0,997.0,913.0,840.0,671.0,669.0
