,12 months ending Dec 07,Dec 08,Dec 09,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,Dec 15 (r),Dec 16 (p)
Self-inflicted,91,61,61,58,58,61,76,89,90,119
Natural Causes,89,99,104,126,122,123,131,145,147,196
Homicide,1,3,0,1,2,0,4,3,8,3
Other3,4,3,4,13,10,8,4,6,12,36
of which,,,,,,,,,,
Other/Non-natural,4,3,4,13,10,8,4,6,12,8
Awaiting further information,0,0,0,0,0,0,0,0,0,28
"Deaths per 1,000 prisoners",2.3,2.0,2.0,2.3,2.2,2.2,2.6,2.8,3.0,4.1
Self-inflicted,1.1,0.7,0.7,0.7,0.7,0.7,0.9,1.0,1.1,1.4
Natural Causes,1.1,1.2,1.2,1.5,1.4,1.4,1.6,1.7,1.7,2.3
Self-inflicted,84,60,58,57,56,60,74,86,85,107
Natural Causes,88,96,100,122,119,120,127,136,145,191
Homicide,1,3,0,1,2,0,4,3,8,3
Other3,4,2,4,10,10,8,4,6,11,31
of which,,,,,,,,,,
Other/Non-natural,4,2,4,10,10,8,4,6,11,6
Awaiting further information,0,0,0,0,0,0,0,0,0,25
"Deaths per 1,000 prisoners",2.3,2.1,2.0,2.4,2.3,2.3,2.6,2.8,3.0,4.1
Self-inflicted,1.1,0.8,0.7,0.7,0.7,0.7,0.9,1.1,1.0,1.3
Natural Causes,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.7,1.8,2.3
Self-inflicted,7,1,3,1,2,1,2,3,5,12
Natural Causes,1,3,4,4,3,3,4,9,2,5
Homicide,0,0,0,0,0,0,0,0,0,0
Other3,0,1,0,3,0,0,0,0,1,5
of which,,,,,,,,,,
Other/Non-natural,0,1,0,3,0,0,0,0,1,2
Awaiting further information,0,0,0,0,0,0,0,0,0,3
"Deaths per 1,000 prisoners",1.8,1.1,1.6,1.9,1.2,1.0,1.5,3.1,2.1,5.7
Self-inflicted,1.6,0.2,0.7,0.2,0.5,0.2,0.5,0.8,1.3,3.1
Natural Causes,0.2,0.7,0.9,0.9,0.7,0.7,1.0,2.3,0.5,1.3
