Numbers  Charge and outcome,Time of arrest Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,Oct-Dec 2017,Jan-Mar 2018,Apr-Jun 2018,,Total year ending 30 Jun 2017,30 Jun 2018,,Change4,,Great Britain Total since Sep 11 2001
Charged3,16,28,14,21,25,24,15,15,11,,88,65,,-23,,777
of which:,,,,,,,,,,,,,,,,
Not proceeded against,2,2,-,2,2,1,-,-,-,,6,1,,-5,,93
Awaiting prosecution,-,-,1,1,2,9,7,12,9,,4,37,,33,,43
Other outcome5,-,-,-,-,-,-,-,-,1,,-,1,,1,,1
Prosecuted,14,26,13,18,21,14,8,3,1,,78,26,,-52,,640
Convicted6,12,25,12,16,19,12,8,3,1,,72,24,,-48,,537
TACT offences7,11,22,10,16,19,12,8,3,1,,67,24,,-43,,421
Schedule 7 TACT8,-,2,1,-,-,-,-,-,-,,3,-,,-3,,41
Other legislation (non-TACT) - terrorism related9,-,-,1,-,-,-,-,-,-,,1,-,,-1,,29
Other legislation (non-TACT) - non-terrorism related10,1,1,-,-,-,-,-,-,-,,1,-,,-1,,46
Found not guilty,2,1,1,2,2,2,-,-,-,,6,2,,-4,,103
