Library,Sun.,Hrs.,Mon.,Hrs.,Tues.,Hrs.,Wed.,Hrs.,Thurs.,Hrs.,Fri.,Hrs.,Sat.,Hrs.,Total visits,Total hours open,Visits per hour.
Burnt Oak,0,0,0,8,0,8,0,8,0,11,0,8,0,8,0,51,0
Childs Hill,0,0,0,6.5,0,0,0,6.5,0,9.5,0,6,0,6.6,0,35.1,0
Chipping,0,3,0,10,0,7.5,0,10.5,0,7.5,0,10.5,0,7.5,0,56.5,0
Church End,0,0,0,10.5,0,7.5,0,10,0,7.5,0,7.5,0,7.5,0,50.5,0
East Barnet ,0,0,0,7.5,0,10.5,0,7.5,0,10,0,7.5,0,7.5,0,50.5,0
East Finchley ,0,0,0,7.5,0,0,0,10.5,0,7.5,0,7,0,7.5,0,40,0
Edgware,0,3,0,7.5,0,10.5,0,7.5,0,10,0,7.5,0,7.5,0,53.5,0
Golders Green,0,3,0,7.5,0,10.5,0,0,0,10,0,7.5,0,7.5,0,46,0
Grahame Park,0,0,0,6.5,0,9.5,0,6,0,0,0,6.5,0,6.5,0,35,0
Hendon,0,3,0,10.5,0,7.5,0,10.5,0,10,0,7.5,0,7.5,0,56.5,0
Mill Hill ,0,0,0,7.5,0,10.5,0,0,0,10,0,7.5,0,7.5,0,43,0
North Finchley,0,0,0,7.5,0,10.5,0,0,0,7,0,10.5,0,7.5,0,43,0
Osidge ,0,0,0,7.5,0,10.5,0,7,0,0,0,7.5,0,6.5,0,39,0
South Friern ,0,0,0,6.5,0,6.5,0,9,0,6.5,0,0,0,6.5,0,35,0
Mobile ,0,0,0,,0,,0,,0,,0,,0,0,0,0,
Home,0,0,0,,0,,0,,0,,0,,0,0,0,0,
