Funder,Source File,Rating Year,Star rating guidance Provider,Grant Name,Prime/Sub,Stars,Total %,Delivery,Diversity,Conversion,Self Assessment,Participant Satisfaction,Grant Compliance,Target Group,Primary Outcome,No. of starters,Year of Delivery,Pan London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Funding Round and Spec
ESFA,Catch 22 2042 ,2016/17,Catch 22,Targeted NEET,Prime,1,60.3,35.6,9.2,0.0,7.5,0.0,8.0,18-24,Starts,434,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,18-24
ESFA,Catch 22 2100,2016/17,Catch 22,Targeted NEET,Prime,1,47.5,25.7,6.7,0.0,7.5,0.0,7.6,18-24,Starts,153,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-24
ESFA,Catch 22 2101,2016/17,Catch 22,Targeted NEET,Prime,1,47.9,23.5,9.7,0.0,7.5,0.0,7.2,18-24,Starts,159,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,18-24
ESFA,Prevista 2035 ,2016/17,Prevista,Preventative NEET North and East,Prime,3,77.2,48.0,11.8,0.0,9.0,0.0,8.4,15-18,Starts,1251,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,15-18
ESFA,Prevista 2036,2016/17,Prevista,Preventative NEET -South,Prime,3,75.5,48.0,10.5,0.0,8.8,0.0,8.2,15-18,Starts,893,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,15-18
ESFA,Prevista 2037,2016/17,Prevista,Preventative NEET - Central,Prime,3,76.8,48.0,11.6,0.0,8.8,0.0,8.4,15-18,Starts,704,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,15-18
ESFA,Prevista 2038,2016/17,Prevista,Preventative NEET -West,Prime,3,77.4,48.0,12.0,0.0,8.8,0.0,8.6,15-18,Starts,873,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15-18
ESFA,Prevista 2053,2016/17,Prevista,Targeted NEET - Central,Prime,0,33.3,15.4,2.1,0.0,8.8,0.0,7.0,16-18,Starts,95,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,16-18
ESFA,Prevista 2056,2016/17,Prevista,Targeted NEET -South,Prime,0,33.0,15.0,2.2,0.0,8.8,0.0,7.0,16-18,Starts,97,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16-18
ESFA,Prospects 2019 ,2016/17,Prospects Services,16-24 NEET OUTREACH PROGRAMME - CENTRAL AREA,Prime,1,53.1,37.9,0.5,0.0,6.6,0.0,8.2,16-24,Starts,663,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,16-24
ESFA,Prospects 2020,2016/17,Prospects Services,16-24 NEET OUTREACH PROGRAMME -  AREA,Prime,2,64.8,48.0,2.1,0.0,6.6,0.0,8.2,16-24,Starts,823,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16-24
ESFA,Prospects 2021 ,2016/17,Prospects Services,16-24 NEET OUTREACH PROGRAMME - WEST AREA,Prime,1,51.7,36.9,0.0,0.0,6.6,0.0,8.2,16-24,Starts,607,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-24
ESFA,Prospects 2054 ,2016/17,Prospects Services,Targeted NEET 16 - 18 PROGRAMME -  West AREA,Prime,1,51.8,37.8,0.0,0.0,6.4,0.0,7.6,16-18,Starts,64,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-18
