,,White,,Black,,Asian,,Mixed,,Chinese or other,
Remands,Not remanded,1.00,,0.73,*,0.66,*,0.91,*,0.65,*
,(per remanded at crown courts),,,,,,,,,,
,Remanded on bail,1.00,,0.93,*,1.10,*,0.90,*,1.04,
,(per remanded at crown courts),,,,,,,,,,
,Remanded in custody,1.00,,1.23,*,1.04,*,1.18,*,1.12,*
,(per remanded at crown courts),,,,,,,,,,
Proceedings,Proceedings terminated early,1.00,,1.05,*,0.96,,1.10,*,1.10,
,(per prosecuted at magistrates' courts),,,,,,,,,,
,Discharged at committal proceedings,1.00,,1.63,*,1.52,*,2.59,*,1.45,
,(per prosecuted at magistrates' courts),,,,,,,,,,
,Dismissed ,1.00,,1.64,*,1.32,*,1.41,*,1.71,*
,(per prosecuted at magistrates' courts),,,,,,,,,,
,Committed for trial to Crown Court,1.00,,1.24,*,1.49,*,1.13,*,1.36,*
,(per prosecuted at magistrates' courts),,,,,,,,,,
,Found guilty at magistrates' court,1.00,,0.89,*,0.82,*,0.93,*,0.84,*
,(per prosecuted at magistrates' courts),,,,,,,,,,
,Guilty pleas,1.00,,0.82,*,0.83,*,0.91,*,0.79,*
,(guilty pleas per all defendants with a plea),,,,,,,,,,
Court outcomes,Convicted ,1.00,,0.94,*,0.94,*,0.94,*,0.95,*
,(per prosecuted at magistrates' courts),,,,,,,,,,
,Sentenced  ,1.00,,1.00,*,1.00,,0.99,*,1.00,
,(per convicted at all courts),,,,,,,,,,
,Immediate custody  ,1.00,,1.01,,1.11,*,1.02,,1.08,*
,(per sentenced at all courts),,,,,,,,,,
,Suspended Sentence  ,1.00,,0.82,*,0.97,,0.86,*,1.02,
,(per sentenced at all courts),,,,,,,,,,
,Community Sentence ,1.00,,1.01,,0.97,,1.11,*,0.89,*
,(per sentenced at all courts),,,,,,,,,,
,Fine,1.00,,1.36,*,1.17,*,1.14,*,1.20,*
,(per sentenced at all courts),,,,,,,,,,
,Absolute discharge,1.00,,0.60,*,0.54,*,0.41,*,0.64,
,(per sentenced at all courts),,,,,,,,,,
,Conditional discharge,1.00,,0.83,*,0.65,*,0.86,*,0.78,*
,(per sentenced at all courts),,,,,,,,,,
,Compensation,1.00,,0.27,*,0.355*,*,0.66,*,0.10,*
,(per sentenced at all courts),,,,,,,,,,
,Otherwise dealt with,1.00,,0.80,*,0.81,*,0.84,*,0.91,
,(per sentenced at all courts),,,,,,,,,,
