Year,Geographical region,Country of destination,Total enforced removals,Total Refused entry at port and subsequently departed,Total voluntary departures,Total non-asylum enforced removals,Non-asylum cases: Refused entry at port and subsequently departed,Total non-asylum voluntary departures,Non-asylum cases: Assisted Voluntary Returns,Non-asylum cases: Notified voluntary departures,Non-asylum cases:    Other confirmed voluntary departures,Total asylum enforced removals,Total asylum voluntary departures,Asylum cases: Assisted Voluntary Returns,Asylum cases: Notified voluntary departures,Asylum cases:    Other confirmed voluntary departures
2011,Africa,*Total Africa,"2,306","1,141","4,410","1,330","1,141","3,717",294,"1,177","2,246",976,693,368,225,100
2011,Americas,*Total Americas,"1,513","2,975","2,576","1,263","2,975","2,503",301,641,"1,561",250,73,31,36,6
2011,Asia,*Total Asia,"6,968","2,064","13,060","3,906","2,064","10,610",418,"3,009","7,183","3,062","2,450","1,284",957,209
2011,Europe,*Total Europe,"3,777","8,873","2,364","2,501","8,873","2,094",20,474,"1,600","1,276",270,62,160,48
2011,Middle East,*Total Middle East,193,260,"2,125",49,260,"1,686",6,271,"1,409",144,439,317,76,46
2011,Oceania,*Total Oceania,22,168,119,19,168,118,6,58,54,3,1,1,0,0
2011,Other,*Total Other,284,219,"1,765",221,219,"1,388",4,392,992,63,377,8,111,258
2011,Asia,Afghanistan,985,13,415,42,13,40,11,25,4,943,375,332,24,19
2011,Europe,Albania,359,36,162,215,36,123,0,26,97,144,39,16,15,8
2011,Africa,Algeria,146,29,164,48,29,105,5,34,66,98,59,17,31,11
2011,Oceania,American Samoa,0,0,2,0,0,2,0,0,2,0,0,0,0,0
2011,Europe,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Angola,24,11,28,7,11,16,0,5,11,17,12,5,2,5
2011,Americas,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Antigua and Barbuda,1,19,6,1,19,5,0,1,4,0,1,1,0,0
2011,Americas,Argentina,6,24,13,6,24,13,1,10,2,0,0,0,0,0
2011,Europe,Armenia,8,1,9,3,1,5,0,0,5,5,4,2,1,1
2011,Americas,Aruba,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011,Oceania,Australia,5,133,67,4,133,66,0,32,34,1,1,1,0,0
2011,Europe,Austria,43,41,2,22,41,2,0,1,1,21,0,0,0,0
2011,Europe,Azerbaijan,1,3,9,0,3,9,0,3,6,1,0,0,0,0
2011,Americas,"Bahamas, The",1,10,3,1,10,3,0,2,1,0,0,0,0,0
2011,Middle East,Bahrain,5,13,144,3,13,138,0,16,122,2,6,0,3,3
2011,Asia,Bangladesh,731,157,782,476,157,655,42,193,420,255,127,93,21,13
2011,Americas,Barbados,6,38,18,6,38,18,0,5,13,0,0,0,0,0
2011,Europe,Belarus,12,1,12,4,1,10,0,5,5,8,2,0,2,0
2011,Europe,Belgium,170,336,37,87,336,35,0,3,32,83,2,0,0,2
2011,Americas,Belize,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011,Africa,Benin,4,2,5,4,2,4,0,2,2,0,1,1,0,0
2011,Americas,Bermuda,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011,Asia,Bhutan,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2011,Americas,Bolivia,146,4,81,125,4,72,53,12,7,21,9,5,4,0
2011,Americas,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Bosnia and Herzegovina,1,0,12,0,0,10,2,5,3,1,2,0,2,0
2011,Africa,Botswana,16,15,23,12,15,20,3,9,8,4,3,3,0,0
2011,Americas,Brazil,582,452,"1,370",566,452,"1,362",180,155,"1,027",16,8,3,4,1
2011,Other,British overseas citizens,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011,Asia,Brunei,0,4,5,0,4,5,0,0,5,0,0,0,0,0
2011,Europe,Bulgaria,33,4,1,26,4,1,0,0,1,7,0,0,0,0
2011,Africa,Burkina,0,0,3,0,0,3,0,1,2,0,0,0,0,0
2011,Asia,Burma,3,0,22,0,0,8,0,6,2,3,14,8,6,0
2011,Africa,Burundi,2,1,5,0,1,0,0,0,0,2,5,2,1,2
2011,Asia,Cambodia,0,0,2,0,0,2,0,0,2,0,0,0,0,0
2011,Africa,Cameroon,34,10,42,11,10,33,3,15,15,23,9,6,0,3
2011,Americas,Canada,29,359,165,16,359,155,2,38,115,13,10,0,9,1
2011,Africa,Cape Verde,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Americas,Cayman Islands,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011,Africa,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Chad,1,0,2,0,0,1,0,0,1,1,1,1,0,0
2011,Americas,Chile,26,32,10,22,32,10,1,6,3,4,0,0,0,0
2011,Asia,China,652,126,"1,953",271,126,"1,434",62,240,"1,132",381,519,315,126,78
2011,Oceania,Christmas Island,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Colombia,86,15,77,66,15,72,12,38,22,20,5,3,2,0
2011,Africa,Comoros,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Africa,Congo,8,1,3,2,1,3,0,1,2,6,0,0,0,0
2011,Africa,Congo (Democratic Republic),22,0,10,3,0,4,0,1,3,19,6,1,3,2
2011,Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Costa Rica,0,6,6,0,6,6,4,1,1,0,0,0,0,0
2011,Europe,Croatia,2,72,18,2,72,11,0,2,9,0,7,5,2,0
2011,Americas,Cuba,1,5,10,0,5,6,0,5,1,1,4,0,3,1
2011,Americas,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Cyprus,5,4,12,3,4,9,0,2,7,2,3,0,3,0
2011,Europe,Cyprus (Northern part of),0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011,Europe,Czech Republic,41,31,2,31,31,2,0,1,1,10,0,0,0,0
2011,Europe,Denmark,16,62,7,7,62,7,0,1,6,9,0,0,0,0
2011,Africa,Djibouti,1,0,2,1,0,1,0,0,1,0,1,1,0,0
2011,Americas,Dominica,5,8,6,5,8,6,1,5,0,0,0,0,0,0
2011,Americas,Dominican Republic,3,4,3,2,4,2,0,1,1,1,1,1,0,0
2011,Asia,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Ecuador,32,4,27,25,4,24,4,3,17,7,3,0,3,0
2011,Africa,Egypt,50,31,134,19,31,104,1,24,79,31,30,16,13,1
2011,Americas,El Salvador,3,4,1,0,4,1,0,1,0,3,0,0,0,0
2011,Africa,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Eritrea,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2011,Europe,Estonia,9,10,2,8,10,1,0,1,0,1,1,0,1,0
2011,Africa,Ethiopia,10,5,185,1,5,175,0,9,166,9,10,4,0,6
2011,Americas,Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Fiji,9,5,22,7,5,22,6,13,3,2,0,0,0,0
2011,Europe,Finland,11,23,6,5,23,5,0,0,5,6,1,0,0,1
2011,Europe,Former Yugoslavia,2,5,3,2,5,1,0,0,1,0,2,0,2,0
2011,Europe,France,378,"5,355",46,204,"5,355",42,0,7,35,174,4,0,4,0
2011,Americas,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Gabon,2,0,1,1,0,1,0,0,1,1,0,0,0,0
2011,Africa,"Gambia, The",54,14,131,25,14,111,6,26,79,29,20,10,5,5
2011,Europe,Georgia,30,6,27,17,6,20,0,14,6,13,7,6,1,0
2011,Europe,Germany,164,356,17,86,356,14,0,12,2,78,3,0,2,1
2011,Africa,Ghana,258,131,376,186,131,361,28,143,190,72,15,10,4,1
2011,Europe,Gibraltar,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011,Europe,Greece,4,40,13,4,40,9,0,3,6,0,4,0,1,3
2011,Europe,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Grenada,12,29,12,8,29,12,4,5,3,4,0,0,0,0
2011,Americas,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Guatemala,7,8,2,7,8,2,0,2,0,0,0,0,0,0
2011,Africa,Guinea,8,2,10,2,2,6,0,0,6,6,4,4,0,0
2011,Africa,Guinea-Bissau,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2011,Americas,Guyana,13,6,12,9,6,11,2,8,1,4,1,1,0,0
2011,Americas,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Honduras,2,5,4,0,5,3,1,1,1,2,1,1,0,0
2011,Asia,Hong Kong,20,114,355,18,114,350,6,67,277,2,5,0,2,3
2011,Europe,Hungary,42,14,7,30,14,7,0,3,4,12,0,0,0,0
2011,Europe,Iceland,0,16,4,0,16,4,0,0,4,0,0,0,0,0
2011,Asia,India,"1,468",618,"5,117","1,116",618,"4,495",141,"1,236","3,118",352,622,101,468,53
2011,Asia,Indonesia,8,3,13,7,3,12,1,3,8,1,1,1,0,0
2011,Middle East,Iran,62,20,183,9,20,97,0,51,46,53,86,41,28,17
2011,Middle East,Iraq,72,5,292,6,5,19,6,8,5,66,273,248,17,8
2011,Europe,Ireland,413,299,155,340,299,88,0,56,32,73,67,0,67,0
2011,Middle East,Israel,15,63,43,11,63,32,0,12,20,4,11,8,2,1
2011,Europe,Italy,389,509,48,66,509,43,0,15,28,323,5,0,3,2
2011,Africa,Ivory Coast,4,2,21,2,2,14,4,6,4,2,7,3,4,0
2011,Americas,Jamaica,330,36,205,229,36,196,30,112,54,101,9,5,4,0
2011,Asia,Japan,3,79,61,2,79,57,0,30,27,1,4,4,0,0
2011,Middle East,Jordan,11,17,34,7,17,26,0,11,15,4,8,4,4,0
2011,Europe,Kazakhstan,2,7,24,0,7,23,1,5,17,2,1,1,0,0
2011,Africa,Kenya,70,24,185,33,24,170,5,37,128,37,15,10,3,2
2011,Oceania,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Asia,Korea (North),0,3,3,0,3,1,0,0,1,0,2,2,0,0
2011,Asia,Korea (South),9,57,132,6,57,127,0,31,96,3,5,4,0,1
2011,Europe,Kosovo,24,4,19,15,4,11,1,1,9,9,8,6,2,0
2011,Middle East,Kuwait,2,10,77,1,10,69,0,1,68,1,8,7,0,1
2011,Europe,Kyrgyzstan,9,1,6,7,1,2,0,1,1,2,4,2,2,0
2011,Asia,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Latvia,51,35,7,49,35,5,0,1,4,2,2,0,1,1
2011,Middle East,Lebanon,8,10,22,3,10,13,0,2,11,5,9,2,4,3
2011,Africa,Lesotho,1,0,1,0,0,1,0,0,1,1,0,0,0,0
2011,Africa,Liberia,3,0,4,1,0,2,0,2,0,2,2,0,1,1
2011,Africa,Libya,14,2,145,2,2,98,0,21,77,12,47,17,23,7
2011,Europe,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Lithuania,166,17,4,164,17,0,0,0,0,2,4,0,0,4
2011,Europe,Luxembourg,2,8,0,1,8,0,0,0,0,1,0,0,0,0
2011,Asia,Macau,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2011,Europe,Macedonia,1,10,9,1,10,9,0,2,7,0,0,0,0,0
2011,Africa,Madagascar,1,0,1,1,0,1,0,1,0,0,0,0,0,0
2011,Africa,Malawi,62,4,111,34,4,98,43,17,38,28,13,12,1,0
2011,Asia,Malaysia,242,259,327,207,259,319,9,64,246,35,8,7,1,0
2011,Asia,Maldives,0,2,13,0,2,13,0,0,13,0,0,0,0,0
2011,Africa,Mali,5,1,2,3,1,0,0,0,0,2,2,2,0,0
2011,Europe,Malta,9,16,1,1,16,0,0,0,0,8,1,0,1,0
2011,Oceania,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Mauritania,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Africa,Mauritius,86,85,289,70,85,272,49,114,109,16,17,13,4,0
2011,Africa,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Mexico,34,105,27,32,105,21,0,9,12,2,6,4,1,1
2011,Oceania,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Moldova,51,5,145,47,5,134,5,7,122,4,11,1,5,5
2011,Europe,Monaco,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2011,Asia,Mongolia,61,6,88,47,6,66,27,14,25,14,22,18,4,0
2011,Europe,Montenegro,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2011,Americas,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Morocco,36,26,84,22,26,77,0,11,66,14,7,3,0,4
2011,Africa,Mozambique,2,0,3,1,0,3,1,2,0,1,0,0,0,0
2011,Africa,Namibia,27,15,17,13,15,13,1,8,4,14,4,4,0,0
2011,Oceania,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Asia,Nepal,113,25,168,82,25,149,3,71,75,31,19,10,7,2
2011,Europe,Netherlands,100,231,233,73,231,229,0,43,186,27,4,0,4,0
2011,Americas,Netherlands Antilles,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011,Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,New Zealand,7,29,26,7,29,26,0,12,14,0,0,0,0,0
2011,Americas,Nicaragua,5,2,0,2,2,0,0,0,0,3,0,0,0,0
2011,Africa,Niger,2,0,1,1,0,1,0,1,0,1,0,0,0,0
2011,Africa,Nigeria,955,577,"1,469",602,577,"1,347",62,419,866,353,122,80,28,14
2011,Oceania,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Norway,40,75,3,11,75,3,0,1,2,29,0,0,0,0
2011,Middle East,Occupied Palestinian Territories,1,0,7,0,0,1,0,0,1,1,6,1,2,3
2011,Middle East,Oman,0,4,38,0,4,37,0,2,35,0,1,0,1,0
2011,Other,Other and unknown,284,219,"1,765",221,219,"1,388",4,392,992,63,377,8,111,258
2011,Asia,Pakistan,"1,407",390,"2,294",808,390,"1,724",55,616,"1,053",599,570,268,275,27
2011,Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Panama,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011,Oceania,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Paraguay,2,7,6,2,7,6,3,0,3,0,0,0,0,0
2011,Americas,Peru,5,2,13,5,2,13,1,6,6,0,0,0,0,0
2011,Asia,Philippines,174,66,358,168,66,357,7,210,140,6,1,1,0,0
2011,Oceania,Pitcairn Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Poland,244,62,7,238,62,6,0,4,2,6,1,0,1,0
2011,Europe,Portugal,48,196,19,44,196,16,1,5,10,4,3,0,3,0
2011,Americas,Puerto Rico,0,3,0,0,3,0,0,0,0,0,0,0,0,0
2011,Middle East,Qatar,1,10,129,0,10,128,0,9,119,1,1,0,0,1
2011,Other,Refugee,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011,Africa,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Romania,283,16,22,273,16,19,0,11,8,10,3,0,1,2
2011,Europe,Russia,22,72,139,14,72,123,4,38,81,8,16,10,6,0
2011,Africa,Rwanda,3,0,13,0,0,8,0,5,3,3,5,4,0,1
2011,Oceania,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Sao Tome and Principe,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Middle East,Saudi Arabia,5,50,268,2,50,264,0,45,219,3,4,2,2,0
2011,Africa,Senegal,11,7,11,7,7,7,0,0,7,4,4,4,0,0
2011,Europe,Serbia,4,14,17,2,14,16,0,5,11,2,1,0,1,0
2011,Europe,Serbia and Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011,Africa,Seychelles,1,8,7,1,8,7,1,1,5,0,0,0,0,0
2011,Africa,Sierra Leone,23,9,30,6,9,23,1,11,11,17,7,0,5,2
2011,Asia,Singapore,6,38,96,6,38,95,0,12,83,0,1,0,0,1
2011,Europe,Slovakia,52,8,1,46,8,1,0,1,0,6,0,0,0,0
2011,Europe,Slovenia,2,3,0,1,3,0,0,0,0,1,0,0,0,0
2011,Oceania,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Somalia,12,0,13,7,0,2,0,0,2,5,11,0,5,6
2011,Africa,South Africa,131,74,255,103,74,231,24,101,106,28,24,17,7,0
2011,Americas,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Spain,52,545,95,34,545,94,0,10,84,18,1,0,1,0
2011,Asia,Sri Lanka,378,30,495,86,30,356,41,90,225,292,139,108,22,9
2011,Africa,St. Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,St. Kitts and Nevis,0,9,2,0,9,1,0,0,1,0,1,1,0,0
2011,Americas,St. Lucia,18,40,18,15,40,17,0,3,14,3,1,0,0,1
2011,Americas,St. Maarten (Dutch Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,St. Vincent and the Grenadines,13,27,9,8,27,9,2,6,1,5,0,0,0,0
2011,Other,Stateless,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011,Africa,Sudan,7,7,27,1,7,15,0,9,6,6,12,8,3,1
2011,Africa,Sudan (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Surinam,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Europe,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa,Swaziland,2,0,2,0,0,2,0,1,1,2,0,0,0,0
2011,Europe,Sweden,30,81,5,9,81,4,0,2,2,21,1,0,1,0
2011,Europe,Switzerland,23,113,27,5,113,25,0,3,22,18,2,0,2,0
2011,Middle East,Syria,6,9,36,3,9,26,0,3,23,3,10,4,3,3
2011,Asia,Taiwan,5,34,23,3,34,23,0,14,9,2,0,0,0,0
2011,Europe,Tajikistan,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011,Africa,Tanzania,48,13,78,26,13,70,8,29,33,22,8,7,0,1
2011,Asia,Thailand,61,34,243,58,34,236,4,70,162,3,7,4,1,2
2011,Africa,Togo,1,0,2,0,0,2,1,1,0,1,0,0,0,0
2011,Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Tonga,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2011,Americas,Trinidad and Tobago,32,99,52,28,99,46,0,29,17,4,6,5,1,0
2011,Africa,Tunisia,18,20,140,11,20,67,1,26,40,7,73,2,62,9
2011,Europe,Turkey,165,83,414,71,83,377,0,94,283,94,37,5,15,17
2011,Europe,Turkmenistan,5,2,43,4,2,42,0,11,31,1,1,0,1,0
2011,Americas,Turks and Caicos Islands,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011,Oceania,Tuvalu,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Africa,Uganda,93,8,102,36,8,87,13,31,43,57,15,13,1,1
2011,Europe,Ukraine,187,37,371,169,37,357,3,51,303,18,14,6,7,1
2011,Middle East,United Arab Emirates,3,47,850,2,47,834,0,110,724,1,16,0,10,6
2011,Americas,United States,97,"1,571",401,67,"1,571",396,0,167,229,30,5,0,4,1
2011,Americas,Uruguay,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011,Europe,Uzbekistan,72,3,139,60,3,137,3,17,117,12,2,2,0,0
2011,Oceania,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe,Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Americas,Venezuela,15,34,16,10,34,14,0,10,4,5,2,1,1,0
2011,Asia,Vietnam,640,6,94,501,6,85,8,17,60,139,9,8,0,1
2011,Americas,Virgin Islands (British),0,1,0,0,1,0,0,0,0,0,0,0,0,0
