Ethnicity,Violence against the person,Sexual offences,Robbery,Burglary,Theft and handling,Fraud and forgery,Criminal damage,Drug offences,Other offences (1),Total
White British,"64,350",756,"1,965","5,820","52,231","4,868","13,393","11,664","20,576","175,623"
White Irish,670,8,31,67,737,83,132,92,352,"2,172"
Other White,"3,860",83,134,339,"6,091",702,697,582,"2,085","14,573"
Mixed Caribbean,"1,320",12,163,121,988,112,307,279,479,"3,781"
Mixed African,305,6,27,23,222,30,71,52,114,850
Mixed Asian,204,1,21,19,194,22,35,64,87,647
Other Mixed,638,9,57,50,613,82,113,136,288,"1,986"
Black Caribbean,"2,066",25,217,109,"1,964",367,370,419,847,"6,384"
Black African,"1,957",36,115,82,"1,880",850,250,156,"1,018","6,344"
Other Black,"1,106",15,106,53,967,199,210,192,505,"3,353"
Indian,673,5,18,25,654,208,78,79,312,"2,052"
Bangladeshi,321,3,8,13,287,43,17,25,106,823
Pakistani,757,4,28,32,720,175,83,75,312,"2,186"
Other Asian,573,8,11,28,653,155,71,116,332,"1,947"
Chinese,194,26,3,5,280,167,23,92,315,"1,105"
Other,553,14,38,38,994,174,87,118,264,"2,280"
Not Stated,"1,863",18,56,125,"1,845",218,383,251,984,"5,743"
