England and Wales,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,Number of Deaths 2009,2010.0,2011.0,2012.0,2013.0,2014.0
Bed,11.0,18.0,10.0,16.0,16.0,7.0,8.0,9.0,12.0,7.0,13,11.0,9.0,7.0,18.0,21.0
Conduits/piping,0.0,2.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,2,0.0,0.0,1.0,0.0,0.0
Door/cell gate,12.0,1.0,7.0,6.0,3.0,6.0,3.0,5.0,7.0,1.0,1,3.0,1.0,3.0,7.0,7.0
Light fitting,2.0,2.0,2.0,8.0,3.0,4.0,7.0,3.0,8.0,2.0,4,4.0,3.0,8.0,6.0,5.0
"Privacy screen, furniture etc.2",0.0,1.0,1.0,2.0,2.0,2.0,6.0,5.0,5.0,2.0,1,0.0,4.0,6.0,1.0,5.0
Toilet/sink fittings/recess2,0.0,7.0,3.0,8.0,5.0,8.0,5.0,4.0,3.0,2.0,5,6.0,4.0,8.0,2.0,3.0
Wall fittings/mountings,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,3.0,1,0.0,3.0,4.0,3.0,0.0
Windows,58.0,40.0,38.0,44.0,49.0,54.0,39.0,29.0,40.0,39.0,23,28.0,26.0,18.0,23.0,29.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,4.0,8.0
Not recorded/confirmed,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1,0.0,0.0,0.0,2.0,0.0
Not applicable,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0,2.0,1.0,1.0,0.0,0.0
Bed,11.0,17.0,9.0,13.0,15.0,6.0,7.0,9.0,11.0,7.0,13,11.0,9.0,7.0,18.0,20.0
Conduits/piping,0.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2,0.0,0.0,1.0,0.0,0.0
Door/cell gate,11.0,1.0,6.0,6.0,1.0,3.0,3.0,5.0,5.0,1.0,1,3.0,1.0,3.0,7.0,7.0
Light fitting,2.0,2.0,2.0,8.0,3.0,4.0,7.0,3.0,8.0,2.0,4,4.0,3.0,8.0,6.0,5.0
"Privacy screen, furniture etc.2",0.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,2.0,1,0.0,4.0,6.0,1.0,5.0
Toilet/sink fittings/recess2,0.0,6.0,2.0,7.0,5.0,6.0,4.0,4.0,3.0,2.0,4,6.0,3.0,8.0,1.0,3.0
Wall fittings/mountings,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,2.0,1,0.0,3.0,4.0,3.0,0.0
Windows,54.0,36.0,35.0,40.0,44.0,50.0,38.0,28.0,39.0,39.0,23,27.0,25.0,18.0,22.0,29.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,4.0,8.0
Not recorded/confirmed,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0,0.0,0.0,0.0,2.0,0.0
Not applicable,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0
Bed,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0
Conduits/piping,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Door/cell gate,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Light fitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Privacy screen, furniture etc.2",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Toilet/sink fittings/recess2,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0
Wall fittings/mountings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
Windows,4.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,0.0,0,1.0,1.0,0.0,1.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Not recorded/confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Not applicable,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
