Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Abilene, TX M.S.A.",,157713.0,,,,,,,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,City of Abilene,114644.0,661.0,9.0,89.0,167.0,396.0,4911.0,1324.0,3295.0,292.0
,Total area actually reporting,1.0,748.0,10.0,103.0,173.0,462.0,5657.0,1606.0,3708.0,343.0
,"Rate per 100,000 inhabitants",,474.3,6.3,65.3,109.7,292.9,3586.9,1018.3,2351.1,217.5
"Akron, OH M.S.A.",,699760.0,,,,,,,,,
,Includes Portage and Summit Counties,,,,,,,,,,
,City of Akron,208701.0,1567.0,22.0,174.0,730.0,641.0,10494.0,3319.0,5973.0,1202.0
,Total area actually reporting,0.885,2046.0,23.0,286.0,899.0,838.0,21164.0,5348.0,14087.0,1729.0
,Estimated total,1.0,2191.0,25.0,309.0,955.0,902.0,23494.0,5779.0,15856.0,1859.0
,"Rate per 100,000 inhabitants",,313.1,3.6,44.2,136.5,128.9,3357.4,825.9,2265.9,265.7
"Albany, GA M.S.A.",,164983.0,,,,,,,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,75137.0,637.0,12.0,32.0,205.0,388.0,5503.0,1519.0,3616.0,368.0
,Total area actually reporting,0.992,772.0,15.0,39.0,226.0,492.0,7514.0,2089.0,4914.0,511.0
,Estimated total,1.0,779.0,15.0,39.0,229.0,496.0,7578.0,2101.0,4960.0,517.0
,"Rate per 100,000 inhabitants",,472.2,9.1,23.6,138.8,300.6,4593.2,1273.5,3006.4,313.4
"Albany-Schenectady-Troy, NY M.S.A.",,852141.0,,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,93916.0,1128.0,3.0,45.0,376.0,704.0,4249.0,965.0,2998.0,286.0
,City of Schenectady,61535.0,606.0,5.0,34.0,265.0,302.0,2947.0,806.0,1851.0,290.0
,City of Troy,47776.0,345.0,2.0,21.0,131.0,191.0,2203.0,581.0,1449.0,173.0
,Total area actually reporting,0.999,2885.0,13.0,180.0,900.0,1792.0,21190.0,4202.0,15874.0,1114.0
,Estimated total,1.0,2887.0,13.0,180.0,901.0,1793.0,21209.0,4205.0,15889.0,1115.0
,"Rate per 100,000 inhabitants",,338.8,1.5,21.1,105.7,210.4,2488.9,493.5,1864.6,130.8
"Albuquerque, NM M.S.A.1",,827275.0,,,,,,,,,
,"Includes Bernalillo, Sandoval,1 Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,513124.0,5080.0,47.0,307.0,1439.0,3287.0,29293.0,5622.0,18632.0,5039.0
,Total area actually reporting,1.0,,68.0,436.0,1683.0,,37720.0,8281.0,23114.0,6325.0
,"Rate per 100,000 inhabitants",,,8.2,52.7,203.4,,4559.5,1001.0,2794.0,764.6
"Alexandria, LA M.S.A.",,150253.0,,,,,,,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,45720.0,1065.0,8.0,16.0,175.0,866.0,4246.0,1099.0,2966.0,181.0
,Total area actually reporting,0.942,1342.0,9.0,41.0,192.0,1100.0,6252.0,1655.0,4190.0,407.0
,Estimated total,1.0,1403.0,10.0,44.0,201.0,1148.0,6712.0,1740.0,4538.0,434.0
,"Rate per 100,000 inhabitants",,933.8,6.7,29.3,133.8,764.0,4467.1,1158.0,3020.2,288.8
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,805542.0,,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA",107397.0,869.0,20.0,20.0,552.0,277.0,5331.0,1335.0,3462.0,534.0
,"City of Bethlehem, PA",72908.0,270.0,6.0,24.0,100.0,140.0,2288.0,439.0,1721.0,128.0
,Total area actually reporting,0.971,2035.0,37.0,111.0,863.0,1024.0,19205.0,3285.0,14742.0,1178.0
,Estimated total,1.0,2086.0,37.0,114.0,877.0,1058.0,19668.0,3355.0,15108.0,1205.0
,"Rate per 100,000 inhabitants",,259.0,4.6,14.2,108.9,131.3,2441.6,416.5,1875.5,149.6
"Altoona, PA M.S.A.",,125800.0,,,,,,,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,46609.0,184.0,1.0,20.0,77.0,86.0,1318.0,428.0,824.0,66.0
,Total area actually reporting,0.933,353.0,3.0,32.0,93.0,225.0,2636.0,664.0,1847.0,125.0
,Estimated total,1.0,372.0,3.0,33.0,98.0,238.0,2807.0,690.0,1982.0,135.0
,"Rate per 100,000 inhabitants",,295.7,2.4,26.2,77.9,189.2,2231.3,548.5,1575.5,107.3
"Amarillo, TX M.S.A.",,243547.0,,,,,,,,,
,"Includes Armstrong, Carson, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,187234.0,1834.0,19.0,127.0,431.0,1257.0,11369.0,2585.0,7554.0,1230.0
,Total area actually reporting,1.0,1923.0,19.0,140.0,436.0,1328.0,12248.0,2777.0,8168.0,1303.0
,"Rate per 100,000 inhabitants",,789.6,7.8,57.5,179.0,545.3,5029.0,1140.2,3353.8,535.0
"Ames, IA M.S.A.",,80075.0,,,,,,,,,
,Includes Story County,,,,,,,,,,
,City of Ames,51622.0,200.0,2.0,18.0,12.0,168.0,1602.0,500.0,1040.0,62.0
,Total area actually reporting,1.0,258.0,2.0,26.0,17.0,213.0,2249.0,631.0,1512.0,106.0
,"Rate per 100,000 inhabitants",,322.2,2.5,32.5,21.2,266.0,2808.6,788.0,1888.2,132.4
"Anchorage, AK M.S.A.",,303996.0,,,,,,,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,284142.0,2405.0,22.0,257.0,453.0,1673.0,11107.0,1454.0,8397.0,1256.0
,Total area actually reporting,1.0,2526.0,22.0,264.0,458.0,1782.0,12167.0,1548.0,9268.0,1351.0
,"Rate per 100,000 inhabitants",,830.9,7.2,86.8,150.7,586.2,4002.4,509.2,3048.7,444.4
"Anderson, IN M.S.A.",,130125.0,,,,,,,,,
,Includes Madison County,,,,,,,,,,
,City of Anderson,57189.0,203.0,3.0,27.0,82.0,91.0,2931.0,651.0,2065.0,215.0
,Total area actually reporting,1.0,236.0,4.0,32.0,88.0,112.0,4179.0,961.0,2937.0,281.0
,"Rate per 100,000 inhabitants",,181.4,3.1,24.6,67.6,86.1,3211.5,738.5,2257.1,215.9
"Anderson, SC M.S.A.",,181370.0,,,,,,,,,
,Includes Anderson County,,,,,,,,,,
,City of Anderson,26326.0,280.0,1.0,15.0,43.0,221.0,1652.0,361.0,1161.0,130.0
,Total area actually reporting,1.0,1183.0,5.0,65.0,141.0,972.0,9357.0,2570.0,5890.0,897.0
,"Rate per 100,000 inhabitants",,652.3,2.8,35.8,77.7,535.9,5159.1,1417.0,3247.5,494.6
"Ann Arbor, MI M.S.A.",,345430.0,,,,,,,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,113011.0,298.0,0.0,30.0,66.0,202.0,2777.0,572.0,2046.0,159.0
,Total area actually reporting,1.0,1159.0,6.0,153.0,263.0,737.0,9179.0,2124.0,6328.0,727.0
,"Rate per 100,000 inhabitants",,335.5,1.7,44.3,76.1,213.4,2657.3,614.9,1831.9,210.5
"Appleton, WI M.S.A.",,220208.0,,,,,,,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,70169.0,146.0,0.0,26.0,23.0,97.0,2379.0,413.0,1883.0,83.0
,Total area actually reporting,1.0,232.0,1.0,50.0,36.0,145.0,5673.0,767.0,4704.0,202.0
,"Rate per 100,000 inhabitants",,105.4,0.5,22.7,16.3,65.8,2576.2,348.3,2136.2,91.7
"Asheville, NC M.S.A.",,405975.0,,,,,,,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties",,,,,,,,,,
,City of Asheville,72907.0,505.0,10.0,27.0,229.0,239.0,4249.0,1014.0,2818.0,417.0
,Total area actually reporting,0.995,1137.0,21.0,84.0,329.0,703.0,11556.0,3373.0,7228.0,955.0
,Estimated total,1.0,1147.0,21.0,85.0,332.0,709.0,11671.0,3401.0,7309.0,961.0
,"Rate per 100,000 inhabitants",,282.5,5.2,20.9,81.8,174.6,2874.8,837.7,1800.4,236.7
"Athens-Clarke County, GA M.S.A.",,188310.0,,,,,,,,,
,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",,,,,,,,,,
,City of Athens-Clarke County,113389.0,435.0,7.0,38.0,142.0,248.0,5493.0,1306.0,3836.0,351.0
,Total area actually reporting,0.841,577.0,10.0,45.0,149.0,373.0,6916.0,1535.0,4943.0,438.0
,Estimated total,1.0,685.0,12.0,50.0,192.0,431.0,7868.0,1789.0,5515.0,564.0
,"Rate per 100,000 inhabitants",,363.8,6.4,26.6,102.0,228.9,4178.2,950.0,2928.7,299.5
"Atlanta-Sandy Springs-Marietta, GA M.S.A.1",,5276703.0,,,,,,,,,
,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar,1 Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton1 Counties",,,,,,,,,,
,City of Atlanta,497290.0,8075.0,129.0,148.0,3577.0,4221.0,36232.0,8859.0,20353.0,7020.0
,City of Sandy Springs,85830.0,229.0,6.0,24.0,151.0,48.0,3416.0,803.0,2317.0,296.0
,City of Marietta,63523.0,479.0,4.0,16.0,297.0,162.0,2579.0,618.0,1553.0,408.0
,Total area actually reporting,0.99,,455.0,1053.0,12205.0,,201636.0,51732.0,121090.0,28814.0
,Estimated total,1.0,,458.0,1066.0,12304.0,,203925.0,52217.0,122658.0,29050.0
,"Rate per 100,000 inhabitants",,,8.7,20.2,233.2,,3864.6,989.6,2324.5,550.5
"Atlantic City-Hammonton, NJ M.S.A.",,270417.0,,,,,,,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,39781.0,860.0,6.0,28.0,456.0,370.0,2902.0,545.0,2157.0,200.0
,City of Hammonton,13512.0,20.0,0.0,1.0,4.0,15.0,161.0,36.0,114.0,11.0
,Total area actually reporting,1.0,1594.0,15.0,65.0,681.0,833.0,9694.0,2020.0,7175.0,499.0
,"Rate per 100,000 inhabitants",,589.5,5.5,24.0,251.8,308.0,3584.8,747.0,2653.3,184.5
"Auburn-Opelika, AL M.S.A.",,127500.0,,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Auburn,53160.0,176.0,2.0,25.0,44.0,105.0,2559.0,630.0,1838.0,91.0
,City of Opelika,24600.0,308.0,5.0,36.0,62.0,205.0,1551.0,284.0,1224.0,43.0
,Total area actually reporting,1.0,617.0,8.0,72.0,137.0,400.0,5275.0,1282.0,3740.0,253.0
,"Rate per 100,000 inhabitants",,483.9,6.3,56.5,107.5,313.7,4137.3,1005.5,2933.3,198.4
"Augusta-Richmond County, GA-SC M.S.A.",,528421.0,,,,,,,,,
,"Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,0.994,2202.0,37.0,223.0,888.0,1054.0,24773.0,5286.0,16695.0,2792.0
,Estimated total,1.0,2219.0,37.0,224.0,894.0,1064.0,24915.0,5313.0,16797.0,2805.0
,"Rate per 100,000 inhabitants",,419.9,7.0,42.4,169.2,201.4,4715.0,1005.4,3178.7,530.8
"Austin-Round Rock, TX M.S.A.",,1553472.0,,,,,,,,,
,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",,,,,,,,,,
,City of Austin,716817.0,3871.0,30.0,328.0,1457.0,2056.0,45453.0,8031.0,34461.0,2961.0
,City of Round Rock,97727.0,112.0,1.0,21.0,23.0,67.0,2400.0,333.0,1997.0,70.0
,Total area actually reporting,1.0,5345.0,43.0,522.0,1672.0,3108.0,64102.0,12253.0,48005.0,3844.0
,"Rate per 100,000 inhabitants",,344.1,2.8,33.6,107.6,200.1,4126.4,788.7,3090.2,247.4
"Bakersfield, CA M.S.A.",,792216.0,,,,,,,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,318743.0,1961.0,15.0,41.0,629.0,1276.0,16058.0,3537.0,9853.0,2668.0
,Total area actually reporting,1.0,4590.0,50.0,181.0,1132.0,3227.0,32033.0,8200.0,18509.0,5324.0
,"Rate per 100,000 inhabitants",,579.4,6.3,22.8,142.9,407.3,4043.5,1035.1,2336.4,672.0
"Baltimore-Towson, MD M.S.A.",,2652974.0,,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,624237.0,10182.0,282.0,146.0,3895.0,5859.0,29939.0,7381.0,16742.0,5816.0
,Total area actually reporting,1.0,20985.0,355.0,512.0,7139.0,12979.0,92057.0,18977.0,60970.0,12110.0
,"Rate per 100,000 inhabitants",,791.0,13.4,19.3,269.1,489.2,3470.0,715.3,2298.2,456.5
"Bangor, ME M.S.A.",,146242.0,,,,,,,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,30940.0,46.0,1.0,4.0,24.0,17.0,1905.0,208.0,1655.0,42.0
,Total area actually reporting,1.0,90.0,3.0,14.0,34.0,39.0,4779.0,775.0,3869.0,135.0
,"Rate per 100,000 inhabitants",,61.5,2.1,9.6,23.2,26.7,3267.9,529.9,2645.6,92.3
"Barnstable Town, MA M.S.A.",,225323.0,,,,,,,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable,47342.0,301.0,2.0,17.0,25.0,257.0,1252.0,439.0,717.0,96.0
,Total area actually reporting,1.0,859.0,2.0,60.0,71.0,726.0,6054.0,2108.0,3653.0,293.0
,"Rate per 100,000 inhabitants",,381.2,0.9,26.6,31.5,322.2,2686.8,935.5,1621.2,130.0
"Baton Rouge, LA M.S.A.",,770283.0,,,,,,,,,
,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,228446.0,2615.0,71.0,72.0,1015.0,1457.0,13643.0,3847.0,8617.0,1179.0
,Total area actually reporting,0.95,5396.0,135.0,177.0,1382.0,3702.0,32363.0,7995.0,21970.0,2398.0
,Estimated total,1.0,5609.0,138.0,189.0,1415.0,3867.0,33857.0,8320.0,23024.0,2513.0
,"Rate per 100,000 inhabitants",,728.2,17.9,24.5,183.7,502.0,4395.4,1080.1,2989.0,326.2
"Battle Creek, MI M.S.A.",,137388.0,,,,,,,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,62143.0,818.0,3.0,89.0,130.0,596.0,3591.0,1001.0,2397.0,193.0
,Total area actually reporting,1.0,1186.0,11.0,133.0,170.0,872.0,5662.0,1457.0,3899.0,306.0
,"Rate per 100,000 inhabitants",,863.2,8.0,96.8,123.7,634.7,4121.2,1060.5,2837.9,222.7
"Bay City, MI M.S.A.",,107654.0,,,,,,,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,34145.0,164.0,1.0,20.0,50.0,93.0,1170.0,298.0,792.0,80.0
,Total area actually reporting,1.0,288.0,4.0,59.0,62.0,163.0,2684.0,594.0,1911.0,179.0
,"Rate per 100,000 inhabitants",,267.5,3.7,54.8,57.6,151.4,2493.2,551.8,1775.1,166.3
"Beaumont-Port Arthur, TX M.S.A.",,378783.0,,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",,,,,,,,,,
,City of Beaumont,109345.0,1073.0,15.0,71.0,309.0,678.0,6643.0,1707.0,4471.0,465.0
,City of Port Arthur,55481.0,475.0,9.0,47.0,196.0,223.0,2285.0,747.0,1280.0,258.0
,Total area actually reporting,1.0,2209.0,29.0,189.0,640.0,1351.0,15446.0,4215.0,9940.0,1291.0
,"Rate per 100,000 inhabitants",,583.2,7.7,49.9,169.0,356.7,4077.8,1112.8,2624.2,340.8
"Bellingham, WA M.S.A.",,188708.0,,,,,,,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,76290.0,187.0,2.0,29.0,58.0,98.0,5022.0,696.0,4087.0,239.0
,Total area actually reporting,1.0,441.0,2.0,88.0,81.0,270.0,8167.0,1498.0,6233.0,436.0
,"Rate per 100,000 inhabitants",,233.7,1.1,46.6,42.9,143.1,4327.9,793.8,3303.0,231.0
"Bend, OR M.S.A.",,154723.0,,,,,,,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,75185.0,155.0,0.0,20.0,40.0,95.0,2977.0,594.0,2187.0,196.0
,Total area actually reporting,1.0,342.0,0.0,54.0,61.0,227.0,5302.0,1151.0,3780.0,371.0
,"Rate per 100,000 inhabitants",,221.0,0.0,34.9,39.4,146.7,3426.8,743.9,2443.1,239.8
"Billings, MT M.S.A.",,150563.0,,,,,,,,,
,Includes Carbon and Yellowstone Counties,,,,,,,,,,
,City of Billings,101342.0,245.0,1.0,23.0,54.0,167.0,4182.0,435.0,3420.0,327.0
,Total area actually reporting,0.995,336.0,2.0,39.0,58.0,237.0,5191.0,558.0,4251.0,382.0
,Estimated total,1.0,338.0,2.0,39.0,58.0,239.0,5217.0,559.0,4275.0,383.0
,"Rate per 100,000 inhabitants",,224.5,1.3,25.9,38.5,158.7,3465.0,371.3,2839.3,254.4
"Binghamton, NY M.S.A.",,246237.0,,,,,,,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,44931.0,214.0,3.0,19.0,67.0,125.0,2100.0,254.0,1809.0,37.0
,Total area actually reporting,1.0,481.0,4.0,65.0,109.0,303.0,5847.0,853.0,4851.0,143.0
,"Rate per 100,000 inhabitants",,195.3,1.6,26.4,44.3,123.1,2374.5,346.4,1970.1,58.1
"Birmingham-Hoover, AL M.S.A.",,1108901.0,,,,,,,,,
,"Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties",,,,,,,,,,
,City of Birmingham,227686.0,3320.0,86.0,229.0,1609.0,1396.0,19638.0,4864.0,12528.0,2246.0
,City of Hoover,69527.0,121.0,0.0,18.0,71.0,32.0,2443.0,372.0,1910.0,161.0
,Total area actually reporting,0.884,5993.0,121.0,423.0,2517.0,2932.0,45128.0,10873.0,30165.0,4090.0
,Estimated total,1.0,6461.0,130.0,456.0,2666.0,3209.0,49747.0,11960.0,33349.0,4438.0
,"Rate per 100,000 inhabitants",,582.6,11.7,41.1,240.4,289.4,4486.2,1078.5,3007.4,400.2
