Population group,,Total1,Handled within department     and released,Referred to juvenile court jurisdiction,Referred to welfare agency,Referred to other police agency,Referred to criminal or adult court,"Number 
of 
agencies","2007 
estimated 
population"
"GROUP I (250,000 and over)",Number,138954.0,41670.0,94226.0,20.0,604.0,2434.0,37.0,25796709.0
,Percent2,100.0,30.0,67.8,*,0.4,1.8,,
"GROUP II (100,000 to 249,999)",Number,82959.0,18009.0,58590.0,378.0,2274.0,3708.0,80.0,12018629.0
,Percent2,100.0,21.7,70.6,0.5,2.7,4.5,,
"GROUP III (50,000 to 99,999)",Number,105992.0,19497.0,76429.0,414.0,1295.0,8357.0,234.0,15972903.0
,Percent2,100.0,18.4,72.1,0.4,1.2,7.9,,
"GROUP IV (25,000 to 49,999)",Number,75606.0,12211.0,53794.0,254.0,1671.0,7676.0,360.0,12405704.0
,Percent2,100.0,16.2,71.2,0.3,2.2,10.2,,
"GROUP V (10,000 to 24,999)",Number,85504.0,13001.0,59213.0,461.0,688.0,12141.0,793.0,12642471.0
,Percent2,100.0,15.2,69.3,0.5,0.8,14.2,,
"GROUP VI (under 10,000)",Number,71378.0,13200.0,45260.0,248.0,566.0,12104.0,2433.0,8962509.0
,Percent2,100.0,18.5,63.4,0.3,0.8,17.0,,
METROPOLITAN COUNTIES,Number,81552.0,8543.0,59834.0,493.0,879.0,11803.0,636.0,24275366.0
,Percent2,100.0,10.5,73.4,0.6,1.1,14.5,,
NONMETROPOLITAN COUNTIES,Number,22046.0,3273.0,14563.0,162.0,164.0,3884.0,669.0,8212243.0
,Percent2,100.0,14.8,66.1,0.7,0.7,17.6,,
SUBURBAN AREA3,Number,288762.0,47148.0,198657.0,1429.0,2557.0,38971.0,3278.0,58405783.0
,Percent2,100.0,16.3,68.8,0.5,0.9,13.5,,
