Offense charged,Number of persons arrested Total,Male,Female,Percent male,Percent female,Percent distribution1 Total,Male,Female,,
Murder and nonnegligent manslaughter,1944.0,1727.0,217.0,88.8,11.2,0.1,0.1,0.1,,
Forcible rape,3002.0,2967.0,35.0,98.8,1.2,0.2,0.2,*,,
Robbery,11428.0,10210.0,1218.0,89.3,10.7,0.6,0.8,0.3,,
Aggravated assault,56233.0,45116.0,11117.0,80.2,19.8,3.2,3.3,2.7,,
Burglary,39235.0,34075.0,5160.0,86.8,13.2,2.2,2.5,1.3,,
Larceny-theft,105297.0,67300.0,37997.0,63.9,36.1,6.0,4.9,9.3,,
Motor vehicle theft,13938.0,11475.0,2463.0,82.3,17.7,0.8,0.8,0.6,,
Arson,2153.0,1808.0,345.0,84.0,16.0,0.1,0.1,0.1,,
Violent crime2,72607.0,60020.0,12587.0,82.7,17.3,4.1,4.4,3.1,,
Property crime2,160623.0,114658.0,45965.0,71.4,28.6,9.1,8.4,11.2,,
Other assaults,161719.0,120932.0,40787.0,74.8,25.2,9.1,8.9,10.0,,
Forgery and counterfeiting,13104.0,8152.0,4952.0,62.2,37.8,0.7,0.6,1.2,,
Fraud,51702.0,27296.0,24406.0,52.8,47.2,2.9,2.0,6.0,,
Embezzlement,2635.0,1295.0,1340.0,49.1,50.9,0.1,0.1,0.3,,
"Stolen property; buying, receiving, possessing",15625.0,12874.0,2751.0,82.4,17.6,0.9,0.9,0.7,,
Vandalism,30259.0,25225.0,5034.0,83.4,16.6,1.7,1.9,1.2,,
"Weapons; carrying, possessing, etc.",21066.0,19351.0,1715.0,91.9,8.1,1.2,1.4,0.4,,
Prostitution and commercialized vice,2484.0,980.0,1504.0,39.5,60.5,0.1,0.1,0.4,,
Sex offenses (except forcible rape and prostitution),12065.0,11354.0,711.0,94.1,5.9,0.7,0.8,0.2,,
Drug abuse violations,222026.0,178181.0,43845.0,80.3,19.7,12.6,13.1,10.7,,
Gambling,601.0,485.0,116.0,80.7,19.3,*,*,*,,
Offenses against the family and children,35576.0,29677.0,5899.0,83.4,16.6,2.0,2.2,1.4,,
Driving under the influence,241360.0,193832.0,47528.0,80.3,19.7,13.6,14.3,11.6,,
Liquor laws,55089.0,39265.0,15824.0,71.3,28.7,3.1,2.9,3.9,,
Drunkenness,40058.0,33042.0,7016.0,82.5,17.5,2.3,2.4,1.7,,
Disorderly conduct,49347.0,36088.0,13259.0,73.1,26.9,2.8,2.7,3.2,,
Vagrancy,2482.0,1816.0,666.0,73.2,26.8,0.1,0.1,0.2,,
All other offenses (except traffic),558677.0,435379.0,123298.0,77.9,22.1,31.6,32.0,30.1,,
Suspicion,617.0,464.0,153.0,75.2,24.8,*,*,*,,
Curfew and loitering law violations,3873.0,2547.0,1326.0,65.8,34.2,0.2,0.2,0.3,,
Runaways,15245.0,6978.0,8267.0,45.8,54.2,0.9,0.5,2.0,,
