State,Area,,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
,,Area actually reporting,0.889,14985.0,325.0,1031.0,6199.0,7430.0,133325.0,33003.0,89311.0,11011.0,
,,Estimated total,1.0,16244.0,348.0,1122.0,6582.0,8192.0,145518.0,35999.0,97554.0,11965.0,
,Cities outside metropolitan areas,,596064.0,,,,,,,,,,
,,Area actually reporting,0.799,2701.0,41.0,190.0,588.0,1882.0,22925.0,4915.0,16836.0,1174.0,
,,Estimated total,1.0,3355.0,51.0,235.0,724.0,2345.0,28425.0,6100.0,20871.0,1454.0,
,Nonmetropolitan counties,,744134.0,,,,,,,,,,
,,Area actually reporting,0.931,1055.0,12.0,175.0,86.0,782.0,9175.0,3009.0,5411.0,755.0,
,,Estimated total,1.0,1133.0,13.0,188.0,92.0,840.0,9855.0,3232.0,5812.0,811.0,
,,"Rate per 100,000 inhabitants",,448.0,8.9,33.4,159.9,245.8,3971.6,979.5,2684.6,307.5,
,,Area actually reporting,1.0,2801.0,27.0,308.0,501.0,1965.0,13750.0,1810.0,10414.0,1526.0,
,Cities outside metropolitan areas,,122393.0,,,,,,,,,,
,,Area actually reporting,0.87,622.0,5.0,113.0,35.0,469.0,4019.0,509.0,3210.0,300.0,
,,Estimated total,1.0,715.0,6.0,130.0,40.0,539.0,4620.0,585.0,3690.0,345.0,
,Nonmetropolitan counties,,223933.0,,,,,,,,,,
,,Area actually reporting,1.0,1003.0,11.0,91.0,42.0,859.0,4728.0,1287.0,2894.0,547.0,
,,"Rate per 100,000 inhabitants",,661.2,6.4,77.4,85.3,492.0,3379.5,538.7,2487.0,353.8,
,,Area actually reporting,0.981,27879.0,451.0,1735.0,9398.0,16295.0,262499.0,53089.0,163034.0,46376.0,
,,Estimated total,1.0,28272.0,455.0,1763.0,9504.0,16550.0,267026.0,54115.0,165928.0,46983.0,
,Cities outside metropolitan areas,,200991.0,,,,,,,,,,
,,Area actually reporting,0.903,915.0,8.0,51.0,73.0,783.0,7155.0,1645.0,4848.0,662.0,
,,Estimated total,1.0,1013.0,9.0,56.0,81.0,867.0,7925.0,1822.0,5370.0,733.0,
,Nonmetropolitan counties,,271734.0,,,,,,,,,,
,,Area actually reporting,0.754,991.0,3.0,28.0,25.0,935.0,3650.0,1423.0,1720.0,507.0,
,,Estimated total,1.0,1315.0,4.0,37.0,33.0,1241.0,4843.0,1888.0,2282.0,673.0,
,,"Rate per 100,000 inhabitants",,482.7,7.4,29.3,151.7,294.3,4414.0,912.2,2738.4,763.4,
,,Area actually reporting,0.976,11008.0,142.0,866.0,2556.0,7444.0,77783.0,21267.0,51318.0,5198.0,
,,Estimated total,1.0,11146.0,143.0,879.0,2571.0,7553.0,78826.0,21631.0,51923.0,5272.0,
,Cities outside metropolitan areas,,496464.0,,,,,,,,,,
,,Area actually reporting,0.975,2598.0,28.0,234.0,383.0,1953.0,22372.0,6806.0,14634.0,932.0,
,,Estimated total,1.0,2666.0,29.0,240.0,393.0,2004.0,22951.0,6982.0,15013.0,956.0,
,Nonmetropolitan counties,,660267.0,,,,,,,,,,
,,Area actually reporting,0.894,1068.0,17.0,133.0,54.0,864.0,9193.0,3092.0,5402.0,699.0,
,,Estimated total,1.0,1195.0,19.0,149.0,60.0,967.0,10284.0,3459.0,6043.0,782.0,
,,"Rate per 100,000 inhabitants",,529.4,6.7,44.7,106.7,371.2,3953.1,1131.4,2574.4,247.3,
,,Area actually reporting,1.0,187861.0,2230.0,8720.0,70239.0,106672.0,1090484.0,231611.0,641384.0,217489.0,
,Cities outside metropolitan areas,,271704.0,,,,,,,,,,
,,Area actually reporting,1.0,1413.0,14.0,127.0,179.0,1093.0,9310.0,2372.0,6151.0,787.0,
,Nonmetropolitan counties,,571996.0,,,,,,,,,,
,,Area actually reporting,1.0,1751.0,16.0,166.0,124.0,1445.0,8866.0,3042.0,4708.0,1116.0,
,,"Rate per 100,000 inhabitants",,522.6,6.2,24.7,193.0,298.8,3033.0,648.4,1784.4,600.2,
,,Area actually reporting,0.978,14950.0,137.0,1760.0,3309.0,9744.0,128489.0,25660.0,87127.0,15702.0,
,,Estimated total,1.0,15191.0,139.0,1794.0,3357.0,9901.0,131549.0,26166.0,89363.0,16020.0,
,Cities outside metropolitan areas,,304013.0,,,,,,,,,,
,,Area actually reporting,0.938,1084.0,9.0,140.0,76.0,859.0,10250.0,1609.0,8200.0,441.0,
,,Estimated total,1.0,1156.0,10.0,149.0,81.0,916.0,10932.0,1716.0,8746.0,470.0,
,Nonmetropolitan counties,,370202.0,,,,,,,,,,
,,Area actually reporting,0.951,531.0,4.0,52.0,14.0,461.0,3479.0,826.0,2366.0,287.0,
,,Estimated total,1.0,559.0,4.0,55.0,15.0,485.0,3660.0,869.0,2489.0,302.0,
,,"Rate per 100,000 inhabitants",,347.8,3.1,41.1,71.0,232.5,3006.1,591.4,2069.3,345.4,
,,Area actually reporting,1.0,8231.0,89.0,536.0,3439.0,4167.0,76390.0,13152.0,54737.0,8501.0,
,Cities outside metropolitan areas,,159553.0,,,,,,,,,,
,,Area actually reporting,1.0,247.0,2.0,31.0,74.0,140.0,2861.0,607.0,2019.0,235.0,
,Nonmetropolitan counties,,517871.0,,,,,,,,,,
,,Area actually reporting,1.0,487.0,15.0,91.0,94.0,287.0,4801.0,1403.0,2967.0,431.0,
,,"Rate per 100,000 inhabitants",,256.0,3.0,18.8,103.0,131.2,2399.9,432.9,1705.2,261.7,
,,Area actually reporting,0.984,4741.0,32.0,246.0,1472.0,2991.0,23010.0,4613.0,16363.0,2034.0,
,,Estimated total,1.0,4813.0,32.0,250.0,1492.0,3039.0,23507.0,4703.0,16743.0,2061.0,
,Cities outside metropolitan areas,,40467.0,,,,,,,,,,
,,Area actually reporting,1.0,416.0,2.0,25.0,119.0,270.0,2147.0,482.0,1606.0,59.0,
,Nonmetropolitan counties,,143579.0,,,,,,,,,,
,,Area actually reporting,1.0,731.0,3.0,61.0,95.0,572.0,3489.0,1156.0,2137.0,196.0,
,,"Rate per 100,000 inhabitants",,689.2,4.3,38.9,197.3,448.8,3370.1,733.3,2369.0,267.8,
,,Area actually reporting,1.0,8320.0,181.0,192.0,4261.0,3686.0,28908.0,3926.0,17382.0,7600.0,
,,"Rate per 100,000 inhabitants",,1414.3,30.8,32.6,724.3,626.6,4913.9,667.4,2954.7,1291.9,
,,Area actually reporting,0.999,125870.0,1142.0,5812.0,37477.0,81439.0,715291.0,172079.0,471775.0,71437.0,
,,Estimated total,1.0,126008.0,1142.0,5818.0,37524.0,81524.0,716225.0,172284.0,472417.0,71524.0,
,Cities outside metropolitan areas,,184643.0,,,,,,,,,,
,,Area actually reporting,0.977,1907.0,9.0,100.0,306.0,1492.0,9030.0,2245.0,6244.0,541.0,
,,Estimated total,1.0,1951.0,9.0,102.0,313.0,1527.0,9243.0,2298.0,6391.0,554.0,
,Nonmetropolitan counties,,885933.0,,,,,,,,,,
,,Area actually reporting,0.991,3887.0,50.0,229.0,322.0,3286.0,20694.0,7187.0,11943.0,1564.0,
,,Estimated total,1.0,3921.0,50.0,231.0,325.0,3315.0,20879.0,7251.0,12050.0,1578.0,
,,"Rate per 100,000 inhabitants",,722.6,6.6,33.7,209.1,473.2,4089.3,996.3,2689.4,403.6,
,,Area actually reporting,0.985,39218.0,632.0,1748.0,15936.0,20902.0,308050.0,75462.0,193880.0,38708.0,
,,Estimated total,1.0,39753.0,638.0,1773.0,16136.0,21206.0,312629.0,76491.0,196926.0,39212.0,
,Cities outside metropolitan areas,,664213.0,,,,,,,,,,
,,Area actually reporting,0.826,3955.0,38.0,216.0,802.0,2899.0,29282.0,6022.0,22055.0,1205.0,
,,Estimated total,1.0,4788.0,46.0,262.0,970.0,3510.0,35438.0,7285.0,26695.0,1458.0,
,Nonmetropolitan counties,,1120101.0,,,,,,,,,,
,,Area actually reporting,0.858,2175.0,29.0,123.0,201.0,1822.0,20833.0,5934.0,13248.0,1651.0,
,,Estimated total,1.0,2534.0,34.0,143.0,234.0,2123.0,24275.0,6914.0,15437.0,1924.0,
,,"Rate per 100,000 inhabitants",,493.2,7.5,22.8,181.7,281.2,3901.0,950.2,2504.6,446.3,
,,Area actually reporting,1.0,2613.0,19.0,226.0,943.0,1425.0,37197.0,5777.0,26483.0,4937.0,
,Nonmetropolitan counties,,377485.0,,,,,,,,,,
,,Area actually reporting,1.0,888.0,3.0,100.0,162.0,623.0,17031.0,3320.0,11933.0,1778.0,
,,"Rate per 100,000 inhabitants",,272.8,1.7,25.4,86.1,159.6,4225.4,708.8,2993.3,523.2,
,,Area actually reporting,1.0,2630.0,24.0,442.0,190.0,1974.0,24952.0,5016.0,18229.0,1707.0,
,Cities outside metropolitan areas,,233900.0,,,,,,,,,,
,,Area actually reporting,0.993,506.0,7.0,61.0,27.0,411.0,5500.0,1141.0,4084.0,275.0,
,,Estimated total,1.0,509.0,7.0,61.0,27.0,414.0,5538.0,1149.0,4112.0,277.0,
,Nonmetropolitan counties,,285503.0,,,,,,,,,,
,,Area actually reporting,1.0,450.0,18.0,75.0,16.0,341.0,3195.0,812.0,2141.0,242.0,
,,"Rate per 100,000 inhabitants",,239.4,3.3,38.5,15.5,182.0,2246.6,465.3,1632.8,148.5,
"ILLINOIS2, 3",State Total,,12852548.0,68528.0,752.0,4103.0,23100.0,40573.0,377322.0,75524.0,267911.0,33887.0,
,,"Rate per 100,000 inhabitants",,533.2,5.9,31.9,179.7,315.7,2935.8,587.6,2084.5,263.7,
,,Area actually reporting,0.888,18785.0,312.0,1379.0,7364.0,9730.0,170210.0,37499.0,115911.0,16800.0,
,,Estimated total,1.0,19538.0,323.0,1450.0,7560.0,10205.0,181836.0,39817.0,124301.0,17718.0,
,Cities outside metropolitan areas,,503396.0,,,,,,,,,,
,,Area actually reporting,0.845,803.0,8.0,120.0,213.0,462.0,18895.0,3355.0,14589.0,951.0,
,,Estimated total,1.0,950.0,9.0,142.0,252.0,547.0,22364.0,3971.0,17267.0,1126.0,
,Nonmetropolitan counties,,895700.0,,,,,,,,,,
,,Area actually reporting,0.613,416.0,15.0,92.0,37.0,272.0,6945.0,1920.0,4588.0,437.0,
,,Estimated total,1.0,677.0,24.0,150.0,60.0,443.0,11326.0,3131.0,7482.0,713.0,
,,"Rate per 100,000 inhabitants",,333.6,5.6,27.5,124.1,176.4,3396.6,739.4,2349.0,308.2,
,,Area actually reporting,0.988,6279.0,26.0,654.0,1130.0,4469.0,54703.0,11219.0,39909.0,3575.0,
,,Estimated total,1.0,6317.0,26.0,658.0,1134.0,4499.0,55171.0,11296.0,40279.0,3596.0,
,Cities outside metropolitan areas,,593280.0,,,,,,,,,,
,,Area actually reporting,0.931,1830.0,8.0,176.0,159.0,1487.0,16843.0,3643.0,12349.0,851.0,
,,Estimated total,1.0,1966.0,9.0,189.0,171.0,1597.0,18092.0,3913.0,13265.0,914.0,
,Nonmetropolitan counties,,739567.0,,,,,,,,,,
,,Area actually reporting,0.952,497.0,2.0,54.0,8.0,433.0,4657.0,1649.0,2651.0,357.0,
,,Estimated total,1.0,522.0,2.0,57.0,8.0,455.0,4891.0,1732.0,2784.0,375.0,
,,"Rate per 100,000 inhabitants",,294.7,1.2,30.3,43.9,219.2,2615.6,567.0,1885.1,163.5,
,,Area actually reporting,0.993,8835.0,82.0,789.0,1747.0,6217.0,71193.0,13336.0,50815.0,7042.0,
,,Estimated total,1.0,8877.0,82.0,793.0,1752.0,6250.0,71572.0,13394.0,51111.0,7067.0,
,Cities outside metropolitan areas,,594489.0,,,,,,,,,,
,,Area actually reporting,0.951,2603.0,14.0,299.0,216.0,2074.0,22562.0,4583.0,16975.0,1004.0,
