Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,Cass,10.0,0.0,1.0,0.0,9.0,263.0,38.0,207.0,18.0,1.0
,Dakota,1.0,0.0,0.0,0.0,1.0,45.0,13.0,29.0,3.0,0.0
,Dixon,3.0,0.0,3.0,0.0,0.0,65.0,22.0,39.0,4.0,0.0
,Douglas,171.0,1.0,7.0,16.0,147.0,1347.0,361.0,893.0,93.0,0.0
,Lancaster,23.0,1.0,1.0,1.0,20.0,383.0,88.0,281.0,14.0,6.0
,Seward,3.0,1.0,1.0,0.0,1.0,42.0,10.0,24.0,8.0,0.0
,Washington,5.0,0.0,0.0,0.0,5.0,92.0,19.0,66.0,7.0,2.0
Nonmetropolitan Counties,Adams,4.0,0.0,0.0,1.0,3.0,117.0,36.0,74.0,7.0,3.0
,Antelope,1.0,0.0,0.0,0.0,1.0,37.0,14.0,18.0,5.0,0.0
,Box Butte,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,2.0,0.0
,Boyd,0.0,0.0,0.0,0.0,0.0,13.0,3.0,9.0,1.0,0.0
,Brown,2.0,0.0,0.0,0.0,2.0,43.0,9.0,32.0,2.0,0.0
,Buffalo,13.0,0.0,1.0,1.0,11.0,198.0,46.0,142.0,10.0,0.0
,Burt,3.0,0.0,1.0,0.0,2.0,36.0,12.0,21.0,3.0,0.0
,Butler,5.0,0.0,0.0,0.0,5.0,45.0,3.0,42.0,0.0,0.0
,Cedar,4.0,0.0,1.0,0.0,3.0,8.0,4.0,4.0,0.0,0.0
,Chase,4.0,0.0,0.0,0.0,4.0,19.0,7.0,9.0,3.0,0.0
,Cheyenne,2.0,0.0,0.0,0.0,2.0,89.0,21.0,56.0,12.0,0.0
,Colfax,21.0,0.0,0.0,0.0,21.0,58.0,15.0,40.0,3.0,0.0
,Cuming,0.0,0.0,0.0,0.0,0.0,11.0,8.0,2.0,1.0,0.0
,Custer,4.0,0.0,2.0,0.0,2.0,42.0,11.0,30.0,1.0,0.0
,Dawson,3.0,0.0,0.0,0.0,3.0,88.0,10.0,73.0,5.0,0.0
,Deuel,0.0,0.0,0.0,0.0,0.0,33.0,3.0,29.0,1.0,0.0
,Dodge,11.0,0.0,0.0,0.0,11.0,157.0,16.0,125.0,16.0,0.0
,Franklin,2.0,0.0,1.0,0.0,1.0,17.0,6.0,9.0,2.0,0.0
,Frontier,2.0,0.0,2.0,0.0,0.0,23.0,6.0,17.0,0.0,0.0
,Furnas,2.0,0.0,0.0,0.0,2.0,22.0,6.0,14.0,2.0,0.0
,Gage,4.0,0.0,2.0,0.0,2.0,190.0,46.0,132.0,12.0,3.0
,Gosper,1.0,0.0,0.0,0.0,1.0,37.0,8.0,27.0,2.0,2.0
,Hall,12.0,1.0,1.0,0.0,10.0,219.0,54.0,150.0,15.0,0.0
,Hamilton,2.0,0.0,1.0,0.0,1.0,49.0,11.0,35.0,3.0,1.0
,Harlan,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
,Hitchcock,3.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,0.0,0.0
,Holt,0.0,0.0,0.0,0.0,0.0,21.0,4.0,17.0,0.0,0.0
,Hooker,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
,Jefferson,4.0,1.0,0.0,0.0,3.0,65.0,23.0,31.0,11.0,2.0
,Kearney,2.0,0.0,2.0,0.0,0.0,49.0,10.0,37.0,2.0,0.0
,Keith,3.0,0.0,2.0,0.0,1.0,36.0,6.0,28.0,2.0,0.0
,Keya Paha,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0
,Kimball,1.0,0.0,0.0,0.0,1.0,18.0,0.0,14.0,4.0,0.0
,Knox,1.0,0.0,0.0,0.0,1.0,23.0,4.0,19.0,0.0,0.0
,Lincoln,6.0,0.0,0.0,2.0,4.0,168.0,27.0,135.0,6.0,0.0
,Madison,7.0,2.0,1.0,0.0,4.0,53.0,13.0,38.0,2.0,0.0
,Merrick,0.0,0.0,0.0,0.0,0.0,52.0,8.0,41.0,3.0,0.0
,Morrill,1.0,0.0,0.0,0.0,1.0,34.0,5.0,26.0,3.0,0.0
,Nance,1.0,0.0,0.0,0.0,1.0,13.0,4.0,8.0,1.0,0.0
,Nemaha,4.0,0.0,0.0,0.0,4.0,32.0,2.0,30.0,0.0,1.0
,Pawnee,1.0,0.0,0.0,0.0,1.0,30.0,9.0,14.0,7.0,0.0
,Perkins,2.0,0.0,1.0,1.0,0.0,23.0,4.0,18.0,1.0,0.0
,Phelps,1.0,0.0,1.0,0.0,0.0,31.0,7.0,20.0,4.0,2.0
,Platte,6.0,0.0,0.0,0.0,6.0,243.0,45.0,186.0,12.0,0.0
,Polk,0.0,0.0,0.0,0.0,0.0,67.0,5.0,62.0,0.0,0.0
,Red Willow,2.0,0.0,1.0,0.0,1.0,36.0,13.0,21.0,2.0,0.0
,Richardson,3.0,0.0,0.0,0.0,3.0,57.0,24.0,30.0,3.0,0.0
,Rock,0.0,0.0,0.0,0.0,0.0,17.0,4.0,13.0,0.0,0.0
,Saline,3.0,0.0,1.0,0.0,2.0,69.0,15.0,41.0,13.0,2.0
,Scotts Bluff,8.0,2.0,1.0,0.0,5.0,106.0,28.0,67.0,11.0,0.0
,Sheridan,0.0,0.0,0.0,0.0,0.0,56.0,18.0,37.0,1.0,1.0
,Sioux,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,Stanton,4.0,0.0,0.0,0.0,4.0,35.0,7.0,27.0,1.0,0.0
,Thayer,2.0,0.0,0.0,0.0,2.0,61.0,19.0,41.0,1.0,0.0
,Wayne,1.0,0.0,0.0,0.0,1.0,14.0,3.0,10.0,1.0,0.0
,Webster,3.0,0.0,1.0,0.0,2.0,20.0,6.0,14.0,0.0,0.0
,Wheeler,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
,York,3.0,0.0,0.0,0.0,3.0,55.0,8.0,41.0,6.0,0.0
