Type of property,Value of property Stolen,Recovered,"Percent
recovered"
"Currency, notes, etc.",1366020962.0,26879881.0,2.0
Jewelry and precious metals,1213092968.0,43196761.0,3.6
Clothing and furs,376921356.0,37029432.0,9.8
Locally stolen motor vehicles,5562733246.0,3289374602.0,59.1
Office equipment,451608653.0,24186462.0,5.4
"Televisions, radios, stereos, etc.",394508873.0,24585471.0,6.2
Firearms,151910488.0,22230563.0,14.6
Household goods,266677409.0,10389743.0,3.9
Consumable goods,134257875.0,13128523.0,9.8
Livestock,18251205.0,2755916.0,15.1
Miscellaneous,3569940275.0,444753345.0,12.5
