Population group,,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,"Number 
of 
agencies","2007 
estimated 
population",
"GROUP I (250,000 and over)",Offenses known,401518.0,5572.0,18068.0,164288.0,213590.0,2103825.0,469463.0,1270384.0,363978.0,17011.0,69.0,42439501.0,
,Percent cleared by arrest,36.5,58.4,41.2,22.5,46.4,12.6,9.4,14.8,9.3,13.9,,,
"1,000,000 and over (Group I subset)",Offenses known,125257.0,1851.0,5328.0,57173.0,60905.0,647572.0,141606.0,380830.0,125136.0,5643.0,8.0,14175600.0,
,Percent cleared by arrest,34.6,62.9,46.4,23.6,43.1,12.1,8.0,14.6,9.1,11.4,,,
"500,000 to 999,999 (Group I subset)",Offenses known,155793.0,2176.0,6650.0,60234.0,86733.0,813306.0,182966.0,496588.0,133752.0,5824.0,23.0,15106797.0,
,Percent cleared by arrest,36.9,54.6,39.6,21.4,46.9,11.7,9.1,13.3,9.5,16.8,,,
"250,000 to 499,999 (Group I subset)",Offenses known,120468.0,1545.0,6090.0,46881.0,65952.0,642947.0,144891.0,392966.0,105090.0,5544.0,38.0,13157104.0,
,Percent cleared by arrest,38.2,58.3,38.2,22.7,48.7,14.3,11.0,16.8,9.3,13.5,,,
"GROUP II (100,000 to 249,999)",Offenses known,167798.0,2233.0,9895.0,59741.0,95929.0,1145420.0,248738.0,752558.0,144124.0,7256.0,176.0,26512873.0,
,Percent cleared by arrest,41.8,57.4,39.0,25.7,51.7,15.8,11.1,18.4,10.2,17.3,,,
"GROUP III (50,000 to 99,999)",Offenses known,140491.0,1396.0,9334.0,45733.0,84028.0,1098380.0,231520.0,753582.0,113278.0,7166.0,442.0,30409056.0,
,Percent cleared by arrest,44.3,60.5,34.3,27.7,54.1,18.1,12.8,20.7,11.6,17.2,,,
"GROUP IV (25,000 to 49,999)",Offenses known,95890.0,870.0,7550.0,28170.0,59300.0,864244.0,171348.0,622825.0,70071.0,5270.0,744.0,25659304.0,
,Percent cleared by arrest,47.9,68.0,36.1,30.4,57.4,19.0,12.7,21.4,13.7,20.9,,,
"GROUP V (10,000 to 24,999)",Offenses known,83703.0,749.0,6979.0,20728.0,55247.0,817941.0,162736.0,599026.0,56179.0,4628.0,1627.0,25851590.0,
,Percent cleared by arrest,51.8,71.6,39.5,32.8,60.2,20.6,14.9,22.4,18.1,23.7,,,
"GROUP VI (under 10,000)",Offenses known,69361.0,534.0,5820.0,11747.0,51260.0,720578.0,136526.0,544705.0,39347.0,4438.0,6948.0,21723351.0,
,Percent cleared by arrest,56.3,70.6,39.1,34.0,63.1,19.7,16.1,20.3,23.1,26.0,,,
METROPOLITAN COUNTIES,Offenses known,213587.0,2631.0,14854.0,49200.0,146902.0,1542755.0,390028.0,978492.0,174235.0,12542.0,1722.0,63834694.0,
,Percent cleared by arrest,50.3,60.7,43.5,27.5,58.4,16.2,13.3,17.5,15.1,17.9,,,
NONMETROPOLITAN COUNTIES,Offenses known,54982.0,826.0,6240.0,4142.0,43774.0,423172.0,136444.0,253026.0,33702.0,3937.0,2380.0,25683887.0,
,Percent cleared by arrest,57.4,70.9,44.2,39.4,60.7,17.1,15.4,17.1,23.7,23.7,,,
SUBURBAN AREA2,Offenses known,363854.0,3885.0,26392.0,90095.0,243482.0,3059255.0,678307.0,2087106.0,293842.0,21290.0,7394.0,115023793.0,
,Percent cleared by arrest,50.6,62.4,41.6,29.1,59.4,17.6,13.6,19.3,15.2,20.0,,,
