Offense charged,Total arrests Total,White,Black,American Indian or Alaskan Native,Asian     or      Pacific Islander,Percent distribution2 Total,White,Black,American Indian or Alaskan Native,Asian     or      Pacific Islander,,,
Murder and nonnegligent manslaughter,3093.0,1761.0,1293.0,17.0,22.0,100.0,56.9,41.8,0.5,0.7,,,
Forcible rape,6140.0,4491.0,1546.0,54.0,49.0,100.0,73.1,25.2,0.9,0.8,,,
Robbery,27133.0,12831.0,14015.0,113.0,174.0,100.0,47.3,51.7,0.4,0.6,,,
Aggravated assault,114932.0,82096.0,30942.0,977.0,917.0,100.0,71.4,26.9,0.9,0.8,,,
Burglary,84198.0,63205.0,20084.0,414.0,495.0,100.0,75.1,23.9,0.5,0.6,,,
Larceny-theft,338550.0,237701.0,94629.0,2713.0,3507.0,100.0,70.2,28.0,0.8,1.0,,,
Motor vehicle theft,26866.0,19761.0,6734.0,191.0,180.0,100.0,73.6,25.1,0.7,0.7,,,
Arson,4815.0,3850.0,903.0,23.0,39.0,100.0,80.0,18.8,0.5,0.8,,,
Violent crime3,151298.0,101179.0,47796.0,1161.0,1162.0,100.0,66.9,31.6,0.8,0.8,,,
Property crime3,454429.0,324517.0,122350.0,3341.0,4221.0,100.0,71.4,26.9,0.7,0.9,,,
Other assaults,370791.0,270425.0,94869.0,2766.0,2731.0,100.0,72.9,25.6,0.7,0.7,,,
Forgery and counterfeiting,30240.0,21824.0,7993.0,114.0,309.0,100.0,72.2,26.4,0.4,1.0,,,
Fraud,88111.0,62017.0,25272.0,351.0,471.0,100.0,70.4,28.7,0.4,0.5,,,
Embezzlement,6271.0,4155.0,2042.0,21.0,53.0,100.0,66.3,32.6,0.3,0.8,,,
"Stolen property; buying, receiving, possessing",36468.0,25043.0,10900.0,231.0,294.0,100.0,68.7,29.9,0.6,0.8,,,
Vandalism,85099.0,68925.0,14955.0,619.0,600.0,100.0,81.0,17.6,0.7,0.7,,,
"Weapons; carrying, possessing, etc.",47658.0,31281.0,15717.0,258.0,402.0,100.0,65.6,33.0,0.5,0.8,,,
Prostitution and commercialized vice,6111.0,3929.0,1843.0,24.0,315.0,100.0,64.3,30.2,0.4,5.2,,,
Sex offenses (except forcible rape and prostitution),23248.0,18457.0,4426.0,151.0,214.0,100.0,79.4,19.0,0.6,0.9,,,
Drug abuse violations,491891.0,363715.0,122828.0,2528.0,2820.0,100.0,73.9,25.0,0.5,0.6,,,
Gambling,1217.0,723.0,462.0,5.0,27.0,100.0,59.4,38.0,0.4,2.2,,,
Offenses against the family and children,50404.0,33676.0,16124.0,337.0,267.0,100.0,66.8,32.0,0.7,0.5,,,
Driving under the influence,493900.0,442101.0,44050.0,3420.0,4329.0,100.0,89.5,8.9,0.7,0.9,,,
Liquor laws,194095.0,173504.0,15461.0,2956.0,2174.0,100.0,89.4,8.0,1.5,1.1,,,
Drunkenness,152380.0,134730.0,15394.0,1485.0,771.0,100.0,88.4,10.1,1.0,0.5,,,
Disorderly conduct,207112.0,146751.0,57473.0,1562.0,1326.0,100.0,70.9,27.7,0.8,0.6,,,
Vagrancy,5991.0,4069.0,1899.0,11.0,12.0,100.0,67.9,31.7,0.2,0.2,,,
All other offenses (except traffic),1231344.0,882101.0,332163.0,9332.0,7748.0,100.0,71.6,27.0,0.8,0.6,,,
Suspicion,1136.0,600.0,521.0,3.0,12.0,100.0,52.8,45.9,0.3,1.1,,,
Curfew and loitering law violations,22666.0,17973.0,4433.0,98.0,162.0,100.0,79.3,19.6,0.4,0.7,,,
Runaways,29022.0,21618.0,6849.0,309.0,246.0,100.0,74.5,23.6,1.1,0.8,,,
