Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,Adams,404.0,1.0,75.0,48.0,280.0,3036.0,641.0,1793.0,602.0,27.0
,Arapahoe,225.0,0.0,22.0,27.0,176.0,1548.0,405.0,961.0,182.0,26.0
,Boulder,45.0,0.0,8.0,0.0,37.0,583.0,171.0,362.0,50.0,13.0
,Clear Creek,28.0,0.0,4.0,0.0,24.0,88.0,27.0,55.0,6.0,4.0
,Douglas,175.0,2.0,43.0,20.0,110.0,2089.0,474.0,1542.0,73.0,6.0
,Elbert,7.0,0.0,0.0,0.0,7.0,44.0,12.0,27.0,5.0,0.0
,El Paso,856.0,1.0,66.0,32.0,757.0,2104.0,544.0,1303.0,257.0,28.0
,Gilpin,18.0,0.0,0.0,0.0,18.0,40.0,8.0,31.0,1.0,0.0
,Jefferson,256.0,2.0,41.0,17.0,196.0,3049.0,615.0,2209.0,225.0,29.0
,Larimer,96.0,2.0,17.0,7.0,70.0,986.0,209.0,663.0,114.0,6.0
,Mesa,152.0,2.0,13.0,17.0,120.0,1365.0,347.0,879.0,139.0,15.0
,Park,32.0,1.0,4.0,0.0,27.0,108.0,46.0,48.0,14.0,2.0
,Pueblo,14.0,1.0,3.0,1.0,9.0,1362.0,295.0,1015.0,52.0,3.0
,Teller,17.0,1.0,1.0,0.0,15.0,77.0,22.0,49.0,6.0,1.0
,Weld,143.0,0.0,13.0,4.0,126.0,924.0,329.0,482.0,113.0,8.0
Nonmetropolitan Counties,Alamosa,9.0,0.0,3.0,0.0,6.0,38.0,6.0,32.0,0.0,1.0
,Archuleta,14.0,0.0,1.0,0.0,13.0,105.0,36.0,65.0,4.0,1.0
,Baca,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
,Bent,1.0,0.0,0.0,0.0,1.0,30.0,10.0,16.0,4.0,1.0
,Chaffee,9.0,0.0,1.0,0.0,8.0,90.0,11.0,69.0,10.0,1.0
,Crowley,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
,Custer,7.0,0.0,0.0,0.0,7.0,38.0,7.0,30.0,1.0,0.0
,Delta,7.0,0.0,4.0,0.0,3.0,126.0,24.0,81.0,21.0,0.0
,Dolores,0.0,0.0,0.0,0.0,0.0,16.0,4.0,12.0,0.0,0.0
,Eagle,68.0,0.0,7.0,5.0,56.0,502.0,98.0,400.0,4.0,9.0
,Fremont,29.0,1.0,1.0,0.0,27.0,239.0,64.0,163.0,12.0,2.0
,Garfield,73.0,0.0,6.0,1.0,66.0,289.0,76.0,175.0,38.0,8.0
,Grand,10.0,0.0,0.0,0.0,10.0,156.0,30.0,125.0,1.0,0.0
,Gunnison,13.0,0.0,0.0,0.0,13.0,37.0,14.0,20.0,3.0,0.0
,Hinsdale,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
,Huerfano,5.0,0.0,0.0,1.0,4.0,129.0,7.0,107.0,15.0,0.0
,Jackson,2.0,0.0,0.0,0.0,2.0,18.0,2.0,14.0,2.0,0.0
,Kiowa,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
,Lake,10.0,0.0,1.0,2.0,7.0,17.0,6.0,6.0,5.0,1.0
,La Plata,28.0,0.0,9.0,0.0,19.0,270.0,107.0,139.0,24.0,0.0
,Las Animas,4.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0
,Logan,3.0,0.0,1.0,0.0,2.0,50.0,17.0,30.0,3.0,1.0
,Mineral,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
,Moffat,12.0,0.0,0.0,0.0,12.0,27.0,9.0,17.0,1.0,2.0
,Montezuma,35.0,2.0,0.0,1.0,32.0,161.0,61.0,87.0,13.0,1.0
,Montrose,24.0,1.0,2.0,1.0,20.0,176.0,61.0,100.0,15.0,0.0
,Morgan,0.0,0.0,0.0,0.0,0.0,53.0,9.0,39.0,5.0,0.0
,Ouray,8.0,0.0,0.0,0.0,8.0,29.0,7.0,21.0,1.0,0.0
,Phillips,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
,Pitkin,17.0,0.0,5.0,0.0,12.0,125.0,23.0,95.0,7.0,0.0
,Prowers,5.0,0.0,2.0,0.0,3.0,29.0,5.0,21.0,3.0,0.0
,Routt,12.0,0.0,0.0,0.0,12.0,34.0,6.0,22.0,6.0,1.0
,Saguache,8.0,0.0,0.0,0.0,8.0,14.0,7.0,5.0,2.0,1.0
,San Juan,0.0,0.0,0.0,0.0,0.0,26.0,2.0,23.0,1.0,0.0
,San Miguel,6.0,0.0,0.0,0.0,6.0,50.0,13.0,33.0,4.0,0.0
,Sedgwick,2.0,0.0,0.0,0.0,2.0,8.0,2.0,6.0,0.0,0.0
,Summit,38.0,0.0,6.0,1.0,31.0,303.0,41.0,258.0,4.0,2.0
,Washington,2.0,0.0,0.0,0.0,2.0,39.0,7.0,23.0,9.0,0.0
,Yuma,7.0,0.0,0.0,0.0,7.0,35.0,14.0,16.0,5.0,0.0
