Population group,,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,"Larceny-
theft",Motor vehicle theft,Arson,"Number
of 
agencies",2007 estimated population,,,
"GROUP IV (25,000 to 49,999)",2006.0,54716.0,506.0,3871.0,17171.0,33168.0,526212.0,101450.0,370540.0,54222.0,3138.0,,,,,
,2007.0,54689.0,516.0,3911.0,17372.0,32890.0,521796.0,101046.0,371960.0,48790.0,2999.0,534.0,18132178.0,,,
,Percent change,*,2.0,1.0,1.2,-0.8,-0.8,-0.4,0.4,-10.0,-4.4,,,,,
"GROUP V (10,000 to 24,999)",2006.0,50374.0,467.0,4197.0,14036.0,31674.0,522422.0,100794.0,376667.0,44961.0,3119.0,,,,,
,2007.0,51559.0,451.0,4045.0,14392.0,32671.0,517543.0,99754.0,376435.0,41354.0,2891.0,1187.0,18983351.0,,,
,Percent change,2.4,-3.4,-3.6,2.5,3.1,-0.9,-1.0,-0.1,-8.0,-7.3,,,,,
"GROUP VI (under 10,000)",2006.0,38638.0,279.0,3332.0,8014.0,27013.0,439636.0,77118.0,334504.0,28014.0,2741.0,,,,,
,2007.0,38001.0,262.0,3094.0,7914.0,26731.0,430492.0,76457.0,328016.0,26019.0,2512.0,3710.0,12588089.0,,,
,Percent change,-1.6,-6.1,-7.1,-1.2,-1.0,-2.1,-0.9,-1.9,-7.1,-8.4,,,,,
"GROUP IV (25,000 to 49,999)",2006.0,39240.0,358.0,3616.0,10401.0,24865.0,326913.0,66928.0,239057.0,20928.0,2234.0,,,,,
,2007.0,38329.0,359.0,3356.0,10206.0,24408.0,317819.0,65429.0,232580.0,19810.0,2103.0,190.0,6807434.0,,,
,Percent change,-2.3,0.3,-7.2,-1.9,-1.8,-2.8,-2.2,-2.7,-5.3,-5.9,,,,,
"GROUP V (10,000 to 24,999)",2006.0,27878.0,245.0,2767.0,5427.0,19439.0,276223.0,56645.0,205413.0,14165.0,1505.0,,,,,
,2007.0,28610.0,268.0,2634.0,5606.0,20102.0,277313.0,56991.0,206917.0,13405.0,1544.0,409.0,6375750.0,,,
,Percent change,2.6,9.4,-4.8,3.3,3.4,0.4,0.6,0.7,-5.4,2.6,,,,,
"GROUP VI (under 10,000)",2006.0,28639.0,236.0,2594.0,3340.0,22469.0,270278.0,55488.0,202129.0,12661.0,1657.0,,,,,
,2007.0,29218.0,251.0,2602.0,3458.0,22907.0,266254.0,54478.0,199742.0,12034.0,1566.0,2809.0,8265522.0,,,
,Percent change,2.0,6.4,0.3,3.5,1.9,-1.5,-1.8,-1.2,-5.0,-5.5,,,,,
