Metropolitan/Nonmetropolitan,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Metropolitan Counties,Anderson,109.0,1.0,6.0,5.0,97.0,607.0,223.0,320.0,64.0,3.0
,Blount,402.0,2.0,32.0,16.0,352.0,1167.0,312.0,740.0,115.0,5.0
,Bradley,217.0,1.0,14.0,5.0,197.0,954.0,247.0,552.0,155.0,1.0
,Campbell,61.0,1.0,15.0,5.0,40.0,584.0,203.0,312.0,69.0,0.0
,Cannon,29.0,2.0,0.0,2.0,25.0,77.0,36.0,24.0,17.0,2.0
,Carter,73.0,1.0,4.0,2.0,66.0,612.0,140.0,420.0,52.0,1.0
,Cheatham,110.0,2.0,5.0,7.0,96.0,556.0,147.0,339.0,70.0,7.0
,Chester,23.0,0.0,1.0,1.0,21.0,56.0,21.0,30.0,5.0,1.0
,Crockett,36.0,0.0,0.0,2.0,34.0,100.0,30.0,61.0,9.0,1.0
,Dickson,111.0,1.0,19.0,4.0,87.0,455.0,144.0,255.0,56.0,1.0
,Grainger,42.0,1.0,7.0,1.0,33.0,209.0,53.0,130.0,26.0,0.0
,Hamblen,111.0,1.0,9.0,6.0,95.0,485.0,143.0,282.0,60.0,14.0
,Hamilton,282.0,0.0,31.0,13.0,238.0,1606.0,379.0,1033.0,194.0,4.0
,Hartsville/Trousdale,50.0,0.0,2.0,2.0,46.0,169.0,26.0,133.0,10.0,0.0
,Hawkins,74.0,1.0,11.0,7.0,55.0,594.0,187.0,341.0,66.0,7.0
,Hickman,112.0,1.0,8.0,2.0,101.0,416.0,112.0,235.0,69.0,3.0
,Jefferson,100.0,0.0,9.0,7.0,84.0,602.0,179.0,358.0,65.0,3.0
,Knox,722.0,6.0,49.0,63.0,604.0,4010.0,828.0,2680.0,502.0,16.0
,Loudon,76.0,3.0,0.0,3.0,70.0,396.0,101.0,258.0,37.0,2.0
,Macon,51.0,2.0,1.0,0.0,48.0,162.0,57.0,86.0,19.0,1.0
,Madison,125.0,0.0,8.0,8.0,109.0,426.0,142.0,244.0,40.0,0.0
