State Agencies/Other Agencies,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
State Agencies,Agnews Developmental Center,,1.0,0.0,0.0,0.0,1.0,8.0,3.0,5.0,0.0,0.0
,Atascadero State Hospital,,97.0,0.0,0.0,0.0,97.0,8.0,1.0,7.0,0.0,1.0
,California State Fair,,7.0,0.0,0.0,0.0,7.0,81.0,2.0,76.0,3.0,
,Department of Parks and Recreation:,Angeles,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,
,,Bay Area,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
,,Calaveras County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Capital,0.0,0.0,0.0,0.0,0.0,11.0,9.0,2.0,0.0,
,,Channel Coast,1.0,0.0,0.0,0.0,1.0,37.0,1.0,35.0,1.0,0.0
,,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,Four Rivers District,0.0,0.0,0.0,0.0,0.0,15.0,2.0,13.0,0.0,0.0
,,Gold Fields District,5.0,1.0,0.0,1.0,3.0,106.0,6.0,98.0,2.0,2.0
,,Hollister Hills,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
,,Hungry Valley,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
,,Inland Empire,1.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,0.0
,,Marin County,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
,,Mendocino Headquarters,2.0,0.0,0.0,0.0,2.0,10.0,0.0,10.0,0.0,0.0
,,Monterey County,1.0,1.0,0.0,0.0,0.0,88.0,3.0,84.0,1.0,1.0
,,North Coast Redwoods,1.0,0.0,0.0,0.0,1.0,37.0,1.0,36.0,0.0,0.0
,,Northern Buttes,1.0,0.0,0.0,0.0,1.0,34.0,0.0,31.0,3.0,
,,Oceano Dunes,15.0,0.0,4.0,0.0,11.0,119.0,5.0,94.0,20.0,0.0
,,Ocotillo Wells,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,3.0
,,Orange Coast,1.0,0.0,0.0,0.0,1.0,75.0,7.0,64.0,4.0,0.0
,,Russian River,1.0,0.0,0.0,0.0,1.0,21.0,0.0,20.0,1.0,0.0
,,San Diego Coast,3.0,0.0,1.0,1.0,1.0,95.0,2.0,84.0,9.0,1.0
,,San Joaquin,0.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,0.0,
,,San Luis Obispo Coast,0.0,0.0,0.0,0.0,0.0,14.0,3.0,11.0,0.0,0.0
