Offense charged,Total all ages,Ages under 15,Ages under 18,Ages 18 and over,Under 10,10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 and over,,
Murder and nonnegligent manslaughter,9051.0,94.0,935.0,8116.0,1.0,6.0,87.0,117.0,277.0,447.0,689.0,645.0,549.0,540.0,494.0,422.0,410.0,1590.0,815.0,590.0,453.0,358.0,259.0,156.0,72.0,74.0,,
Forcible rape,16946.0,886.0,2584.0,14362.0,8.0,232.0,646.0,440.0,569.0,689.0,820.0,783.0,725.0,757.0,586.0,548.0,533.0,2289.0,1857.0,1770.0,1450.0,1037.0,583.0,322.0,150.0,152.0,,
Robbery,85544.0,4966.0,23760.0,61784.0,65.0,705.0,4196.0,4815.0,6557.0,7422.0,7830.0,6517.0,5036.0,4079.0,3459.0,2937.0,2603.0,9667.0,5835.0,4982.0,4137.0,2775.0,1236.0,441.0,158.0,92.0,,
Aggravated assault,257568.0,10356.0,33430.0,224138.0,413.0,2686.0,7257.0,6072.0,7861.0,9141.0,9994.0,10033.0,9642.0,10319.0,9653.0,9305.0,9178.0,40354.0,28464.0,25161.0,22927.0,18137.0,10782.0,5286.0,2574.0,2329.0,,
Burglary,195550.0,16354.0,54557.0,140993.0,555.0,3463.0,12336.0,11048.0,12914.0,14241.0,15185.0,11917.0,9546.0,7834.0,6720.0,5894.0,5374.0,21683.0,14515.0,13888.0,12572.0,9170.0,4330.0,1572.0,527.0,266.0,,
Larceny-theft,538922.0,42067.0,130539.0,408383.0,1329.0,9818.0,30920.0,25550.0,30161.0,32761.0,33404.0,27269.0,21771.0,18794.0,16394.0,14673.0,13566.0,57899.0,42613.0,45116.0,44641.0,35574.0,20372.0,9410.0,3797.0,3090.0,,
Motor vehicle theft,73241.0,3981.0,18598.0,54643.0,30.0,415.0,3536.0,4281.0,5170.0,5166.0,5079.0,4113.0,3394.0,3004.0,2771.0,2480.0,2394.0,9684.0,6498.0,5756.0,4595.0,2855.0,1243.0,490.0,179.0,108.0,,
Arson,9645.0,2841.0,4782.0,4863.0,324.0,910.0,1607.0,810.0,616.0,515.0,459.0,380.0,270.0,233.0,201.0,187.0,146.0,711.0,516.0,458.0,435.0,395.0,226.0,121.0,70.0,55.0,,
Violent crime2,369109.0,16302.0,60709.0,308400.0,487.0,3629.0,12186.0,11444.0,15264.0,17699.0,19333.0,17978.0,15952.0,15695.0,14192.0,13212.0,12724.0,53900.0,36971.0,32503.0,28967.0,22307.0,12860.0,6205.0,2954.0,2647.0,,
Violent crime percent distribution1,100.0,4.4,16.4,83.6,0.1,1.0,3.3,3.1,4.1,4.8,5.2,4.9,4.3,4.3,3.8,3.6,3.4,14.6,10.0,8.8,7.8,6.0,3.5,1.7,0.8,0.7,,
Property crime2,817358.0,65243.0,208476.0,608882.0,2238.0,14606.0,48399.0,41689.0,48861.0,52683.0,54127.0,43679.0,34981.0,29865.0,26086.0,23234.0,21480.0,89977.0,64142.0,65218.0,62243.0,47994.0,26171.0,11593.0,4573.0,3519.0,,
Property crime percent distribution1,100.0,8.0,25.5,74.5,0.3,1.8,5.9,5.1,6.0,6.4,6.6,5.3,4.3,3.7,3.2,2.8,2.6,11.0,7.8,8.0,7.6,5.9,3.2,1.4,0.6,0.4,,
