State,Total aggravated assaults1,Firearms,Knives or cutting instruments,Other weapons,Personal weapons,Agency count,Population
Alabama,6538.0,1906.0,945.0,1409.0,2278.0,290.0,2833181.0
Alaska,3293.0,589.0,690.0,865.0,1149.0,32.0,667568.0
Arizona,16952.0,4863.0,2994.0,5561.0,3534.0,77.0,5946033.0
Arkansas,9803.0,2565.0,1723.0,2501.0,3014.0,233.0,2524285.0
California,107899.0,21547.0,17243.0,39473.0,29636.0,715.0,36216791.0
Colorado,11013.0,2154.0,2489.0,3041.0,3329.0,207.0,4691449.0
Connecticut,3734.0,467.0,839.0,1349.0,1079.0,93.0,3116015.0
Delaware,3833.0,829.0,820.0,1790.0,394.0,53.0,853712.0
District of Columbia2,120.0,11.0,59.0,34.0,16.0,2.0,
Florida,85228.0,17244.0,15239.0,35435.0,17310.0,590.0,18136624.0
Georgia,22569.0,6042.0,4228.0,6207.0,6092.0,360.0,7730570.0
Hawaii,1425.0,114.0,382.0,461.0,468.0,1.0,905903.0
Idaho,2695.0,468.0,544.0,899.0,784.0,107.0,1476361.0
Illinois2,1342.0,595.0,251.0,349.0,147.0,1.0,155713.0
Indiana,10047.0,1719.0,1529.0,3246.0,3553.0,266.0,4814390.0
Iowa,6141.0,575.0,1136.0,1419.0,3011.0,186.0,2644602.0
Kansas,8642.0,2624.0,1737.0,2725.0,1556.0,229.0,2734933.0
Kentucky,5607.0,1152.0,750.0,2380.0,1325.0,279.0,3476669.0
Louisiana,18850.0,4760.0,3047.0,4753.0,6290.0,117.0,3447958.0
Maine,793.0,44.0,150.0,254.0,345.0,164.0,1317207.0
Maryland,15207.0,2216.0,3466.0,5530.0,3995.0,154.0,4940435.0
Massachusetts,17493.0,1758.0,4083.0,9244.0,2408.0,314.0,5754717.0
Michigan,34356.0,8627.0,6278.0,12300.0,7151.0,516.0,9463609.0
Minnesota,7869.0,1369.0,1667.0,2197.0,2636.0,299.0,4808769.0
Mississippi,2582.0,792.0,488.0,613.0,689.0,99.0,1641272.0
Missouri,17390.0,3660.0,2401.0,4933.0,6396.0,585.0,5361516.0
Montana,2160.0,299.0,325.0,678.0,858.0,87.0,913685.0
Nebraska,3337.0,494.0,612.0,1628.0,603.0,214.0,1474140.0
Nevada,10987.0,2233.0,2029.0,5027.0,1698.0,33.0,2546867.0
New Hampshire,713.0,130.0,233.0,171.0,179.0,131.0,891903.0
New Jersey,14565.0,2235.0,3171.0,4538.0,4621.0,513.0,8644483.0
New Mexico,7755.0,1531.0,1391.0,2593.0,2240.0,68.0,1519970.0
New York,17563.0,2328.0,4527.0,5272.0,5436.0,634.0,10777671.0
North Carolina,21146.0,6060.0,4120.0,5891.0,5075.0,322.0,6983777.0
North Dakota,587.0,14.0,82.0,128.0,363.0,60.0,568361.0
Ohio,11736.0,2697.0,2454.0,3681.0,2904.0,372.0,7489853.0
Oklahoma,12458.0,2239.0,1905.0,4640.0,3674.0,285.0,3548670.0
Oregon,6176.0,721.0,1045.0,2187.0,2223.0,150.0,3606874.0
Pennsylvania,26467.0,5353.0,3903.0,6727.0,10484.0,998.0,11408646.0
Rhode Island,1060.0,201.0,300.0,443.0,116.0,41.0,790879.0
South Carolina,24362.0,6058.0,4313.0,6935.0,7056.0,479.0,4075106.0
South Dakota,778.0,105.0,270.0,226.0,177.0,96.0,638914.0
Tennessee,32445.0,9645.0,6928.0,12396.0,3476.0,452.0,6001560.0
Texas,73275.0,17174.0,16829.0,25211.0,14061.0,987.0,23853606.0
Utah,3635.0,660.0,963.0,1270.0,742.0,112.0,2507132.0
Vermont,553.0,69.0,104.0,115.0,265.0,78.0,608835.0
Virginia,10639.0,1998.0,2381.0,3469.0,2791.0,339.0,7418848.0
Washington,12323.0,1914.0,2130.0,4007.0,4272.0,233.0,6062127.0
West Virginia,3227.0,759.0,652.0,828.0,988.0,276.0,1408314.0
Wisconsin,9394.0,2258.0,1027.0,2041.0,4068.0,370.0,5548443.0
Wyoming,971.0,98.0,160.0,302.0,411.0,61.0,516496.0
