Offense charged,Male Total 2003.0,2007.0,Percent change,Under 18 2003.0,2007.0,Percent change,Female Total 2003.0,2007.0,Percent change,Under 18 2003.0,2007.0,Percent change,,,,,,
Murder and nonnegligent manslaughter,6569.0,6805.0,3.6,542.0,690.0,27.3,837.0,818.0,-2.3,57.0,63.0,10.5,,,,,,
Forcible rape,15409.0,13552.0,-12.1,2459.0,2143.0,-12.9,210.0,147.0,-30.0,42.0,40.0,-4.8,,,,,,
Robbery,54012.0,62432.0,15.6,12591.0,16897.0,34.2,6475.0,8104.0,25.2,1245.0,1727.0,38.7,,,,,,
Aggravated assault,218497.0,212486.0,-2.8,28506.0,27004.0,-5.3,57336.0,57220.0,-0.2,8725.0,8098.0,-7.2,,,,,,
Burglary,157696.0,163537.0,3.7,47626.0,46231.0,-2.9,25968.0,29206.0,12.5,6545.0,6364.0,-2.8,,,,,,
Larceny-theft,456489.0,439829.0,-3.6,128945.0,110134.0,-14.6,271550.0,295443.0,8.8,82772.0,82618.0,-0.2,,,,,,
Motor vehicle theft,68149.0,55010.0,-19.3,19623.0,13718.0,-30.1,13833.0,12306.0,-11.0,4322.0,2961.0,-31.5,,,,,,
Arson,8550.0,8309.0,-2.8,4656.0,4327.0,-7.1,1511.0,1483.0,-1.9,599.0,567.0,-5.3,,,,,,
Violent crime2,294487.0,295275.0,0.3,44098.0,46734.0,6.0,64858.0,66289.0,2.2,10069.0,9928.0,-1.4,,,,,,
Property crime2,690884.0,666685.0,-3.5,200850.0,174410.0,-13.2,312862.0,338438.0,8.2,94238.0,92510.0,-1.8,,,,,,
Other assaults,592533.0,604611.0,2.0,102470.0,99858.0,-2.5,191242.0,208404.0,9.0,49149.0,50788.0,3.3,,,,,,
Forgery and counterfeiting,42999.0,39268.0,-8.7,1969.0,1298.0,-34.1,29158.0,24759.0,-15.1,1076.0,631.0,-41.4,,,,,,
Fraud,111771.0,91641.0,-18.0,3363.0,3056.0,-9.1,95525.0,76032.0,-20.4,1748.0,1763.0,0.9,,,,,,
Embezzlement,5911.0,7360.0,24.5,487.0,685.0,40.7,5979.0,7791.0,30.3,333.0,489.0,46.8,,,,,,
"Stolen property; buying, receiving, possessing",67850.0,62419.0,-8.0,13543.0,11834.0,-12.6,15192.0,16331.0,7.5,2461.0,2714.0,10.3,,,,,,
Vandalism,145078.0,153800.0,6.0,59793.0,62173.0,4.0,28513.0,31612.0,10.9,9652.0,9711.0,0.6,,,,,,
"Weapons; carrying, possessing, etc.",92319.0,104179.0,12.8,21173.0,23896.0,12.9,8274.0,8835.0,6.8,2434.0,2449.0,0.6,,,,,,
Prostitution and commercialized vice,12546.0,10861.0,-13.4,224.0,167.0,-25.4,22299.0,22560.0,1.2,498.0,561.0,12.7,,,,,,
Sex offenses (except forcible rape and prostitution),50234.0,46689.0,-7.1,10504.0,8617.0,-18.0,4015.0,4007.0,-0.2,1086.0,906.0,-16.6,,,,,,
Drug abuse violations,813481.0,882589.0,8.5,97006.0,97915.0,0.9,188531.0,214678.0,13.9,20534.0,19771.0,-3.7,,,,,,
Gambling,2913.0,2600.0,-10.7,311.0,346.0,11.3,599.0,404.0,-32.6,17.0,13.0,-23.5,,,,,,
Offenses against the family and children,66709.0,59557.0,-10.7,2753.0,2324.0,-15.6,19695.0,19785.0,0.5,1766.0,1475.0,-16.5,,,,,,
Driving under the influence,724911.0,714625.0,-1.4,10213.0,8751.0,-14.3,163749.0,188619.0,15.2,2612.0,2733.0,4.6,,,,,,
Liquor laws,288242.0,281189.0,-2.4,57765.0,56562.0,-2.1,99791.0,109775.0,10.0,30850.0,33768.0,9.5,,,,,,
Drunkenness,310909.0,342213.0,10.1,8746.0,8758.0,0.1,53240.0,65928.0,23.8,2728.0,3061.0,12.2,,,,,,
Disorderly conduct,296046.0,305441.0,3.2,85108.0,81550.0,-4.2,103550.0,113516.0,9.6,38620.0,40425.0,4.7,,,,,,
Vagrancy,13380.0,10332.0,-22.8,1003.0,697.0,-30.5,3881.0,2729.0,-29.7,329.0,199.0,-39.5,,,,,,
All other offenses (except traffic),1794343.0,1904256.0,6.1,177206.0,174234.0,-1.7,517963.0,578995.0,11.8,67776.0,64190.0,-5.3,,,,,,
Suspicion,942.0,1127.0,19.6,298.0,216.0,-27.5,221.0,296.0,33.9,91.0,76.0,-16.5,,,,,,
Curfew and loitering law violations,39372.0,40403.0,2.6,39372.0,40403.0,2.6,18558.0,19283.0,3.9,18558.0,19283.0,3.9,,,,,,
Runaways,31448.0,30586.0,-2.7,31448.0,30586.0,-2.7,45022.0,38667.0,-14.1,45022.0,38667.0,-14.1,,,,,,
