Offense charged,Male Total 2006.0,2007.0,Percent change,Under 18 2006.0,2007.0,Percent change,Female Total 2006.0,2007.0,Percent change,Under 18 2006.0,2007.0,Percent change,,
Murder and nonnegligent manslaughter,1444.0,1414.0,-2.1,119.0,111.0,-6.7,221.0,179.0,-19.0,9.0,9.0,0.0,,
Forcible rape,3061.0,2843.0,-7.1,444.0,448.0,0.9,54.0,37.0,-31.5,10.0,10.0,0.0,,
Robbery,8631.0,8474.0,-1.8,2069.0,2054.0,-0.7,984.0,1003.0,1.9,184.0,190.0,3.3,,
Aggravated assault,42042.0,41418.0,-1.5,4830.0,4768.0,-1.3,10051.0,10278.0,2.3,1338.0,1329.0,-0.7,,
Burglary,30637.0,30685.0,0.2,8525.0,7838.0,-8.1,4845.0,4720.0,-2.6,868.0,865.0,-0.3,,
Larceny-theft,59114.0,60229.0,1.9,13381.0,13377.0,*,30778.0,33736.0,9.6,7366.0,8111.0,10.1,,
Motor vehicle theft,12083.0,10061.0,-16.7,2539.0,2072.0,-18.4,2639.0,2158.0,-18.2,506.0,430.0,-15.0,,
Arson,1693.0,1716.0,1.4,755.0,730.0,-3.3,323.0,316.0,-2.2,109.0,101.0,-7.3,,
Violent crime2,55178.0,54149.0,-1.9,7462.0,7381.0,-1.1,11310.0,11497.0,1.7,1541.0,1538.0,-0.2,,
Property crime2,103527.0,102691.0,-0.8,25200.0,24017.0,-4.7,38585.0,40930.0,6.1,8849.0,9507.0,7.4,,
Other assaults,110756.0,111799.0,0.9,19173.0,19178.0,*,37225.0,37833.0,1.6,9596.0,9389.0,-2.2,,
Forgery and counterfeiting,7552.0,7071.0,-6.4,266.0,233.0,-12.4,4840.0,4378.0,-9.5,110.0,86.0,-21.8,,
Fraud,28885.0,26166.0,-9.4,509.0,510.0,0.2,26895.0,23784.0,-11.6,251.0,250.0,-0.4,,
Embezzlement,1109.0,1266.0,14.2,109.0,116.0,6.4,1223.0,1335.0,9.2,63.0,67.0,6.3,,
"Stolen property; buying, receiving, possessing",11918.0,11102.0,-6.8,1517.0,1374.0,-9.4,2653.0,2396.0,-9.7,280.0,245.0,-12.5,,
Vandalism,24194.0,22747.0,-6.0,9305.0,8418.0,-9.5,4568.0,4567.0,*,1428.0,1401.0,-1.9,,
"Weapons; carrying, possessing, etc.",16795.0,16319.0,-2.8,3624.0,3503.0,-3.3,1541.0,1436.0,-6.8,529.0,407.0,-23.1,,
Prostitution and commercialized vice,1067.0,875.0,-18.0,26.0,19.0,-26.9,1248.0,1200.0,-3.8,24.0,29.0,20.8,,
Sex offenses (except forcible rape and prostitution),10298.0,10294.0,*,1937.0,1869.0,-3.5,603.0,636.0,5.5,163.0,125.0,-23.3,,
Drug abuse violations,161193.0,156680.0,-2.8,14968.0,15022.0,0.4,40132.0,39627.0,-1.3,3299.0,3281.0,-0.5,,
Gambling,480.0,492.0,2.5,32.0,27.0,-15.6,123.0,115.0,-6.5,2.0,1.0,-50.0,,
Offenses against the family and children,28818.0,28857.0,0.1,479.0,634.0,32.4,5380.0,5601.0,4.1,267.0,279.0,4.5,,
Driving under the influence,183754.0,181806.0,-1.1,1812.0,1652.0,-8.8,42661.0,44549.0,4.4,502.0,511.0,1.8,,
Liquor laws,36947.0,36673.0,-0.7,8671.0,8462.0,-2.4,14745.0,14564.0,-1.2,5205.0,5072.0,-2.6,,
Drunkenness,32488.0,33685.0,3.7,845.0,810.0,-4.1,6406.0,7176.0,12.0,283.0,300.0,6.0,,
Disorderly conduct,31310.0,31540.0,0.7,8940.0,8636.0,-3.4,10951.0,11318.0,3.4,4003.0,4188.0,4.6,,
Vagrancy,1848.0,1583.0,-14.3,196.0,211.0,7.7,796.0,602.0,-24.4,57.0,96.0,68.4,,
All other offenses (except traffic),417268.0,411374.0,-1.4,26021.0,25183.0,-3.2,118718.0,117863.0,-0.7,9504.0,8943.0,-5.9,,
Suspicion,384.0,353.0,-8.1,69.0,40.0,-42.0,109.0,107.0,-1.8,24.0,18.0,-25.0,,
Curfew and loitering law violations,2285.0,2444.0,7.0,2285.0,2444.0,7.0,1210.0,1311.0,8.3,1210.0,1311.0,8.3,,
Runaways,6110.0,6165.0,0.9,6110.0,6165.0,0.9,7120.0,7274.0,2.2,7120.0,7274.0,2.2,,
