Offense charged,Male Total 2006.0,2007.0,Percent change,Under 18 2006.0,2007.0,Percent change,Female Total 2006.0,2007.0,Percent change,Under 18 2006.0,2007.0,Percent change,,
Murder and nonnegligent manslaughter,527.0,480.0,-8.9,16.0,22.0,37.5,83.0,81.0,-2.4,4.0,7.0,75.0,,
Forcible rape,1525.0,1410.0,-7.5,229.0,203.0,-11.4,23.0,26.0,13.0,4.0,9.0,125.0,,
Robbery,1609.0,1531.0,-4.8,181.0,183.0,1.1,232.0,194.0,-16.4,15.0,20.0,33.3,,
Aggravated assault,16258.0,15544.0,-4.4,1406.0,1346.0,-4.3,3664.0,3477.0,-5.1,408.0,315.0,-22.8,,
Burglary,15488.0,14433.0,-6.8,3785.0,3389.0,-10.5,2324.0,2060.0,-11.4,396.0,318.0,-19.7,,
Larceny-theft,20802.0,20658.0,-0.7,3483.0,3564.0,2.3,8379.0,8456.0,0.9,1301.0,1382.0,6.2,,
Motor vehicle theft,4206.0,3548.0,-15.6,871.0,762.0,-12.5,924.0,764.0,-17.3,225.0,218.0,-3.1,,
Arson,806.0,727.0,-9.8,253.0,177.0,-30.0,147.0,123.0,-16.3,43.0,20.0,-53.5,,
Violent crime2,19919.0,18965.0,-4.8,1832.0,1754.0,-4.3,4002.0,3778.0,-5.6,431.0,351.0,-18.6,,
Property crime2,41302.0,39366.0,-4.7,8392.0,7892.0,-6.0,11774.0,11403.0,-3.2,1965.0,1938.0,-1.4,,
Other assaults,51634.0,50449.0,-2.3,5945.0,5823.0,-2.1,17134.0,16568.0,-3.3,2887.0,2628.0,-9.0,,
Forgery and counterfeiting,2854.0,2502.0,-12.3,71.0,69.0,-2.8,2170.0,1859.0,-14.3,50.0,37.0,-26.0,,
Fraud,16649.0,14357.0,-13.8,203.0,174.0,-14.3,16177.0,13996.0,-13.5,107.0,126.0,17.8,,
Embezzlement,373.0,368.0,-1.3,13.0,12.0,-7.7,405.0,381.0,-5.9,10.0,4.0,-60.0,,
"Stolen property; buying, receiving, possessing",3807.0,3711.0,-2.5,498.0,419.0,-15.9,825.0,802.0,-2.8,70.0,64.0,-8.6,,
Vandalism,10814.0,10523.0,-2.7,3350.0,3063.0,-8.6,2288.0,2106.0,-8.0,569.0,487.0,-14.4,,
"Weapons; carrying, possessing, etc.",6340.0,6047.0,-4.6,767.0,704.0,-8.2,558.0,560.0,0.4,87.0,83.0,-4.6,,
Prostitution and commercialized vice,113.0,101.0,-10.6,4.0,5.0,25.0,81.0,53.0,-34.6,1.0,0.0,-100.0,,
Sex offenses (except forcible rape and prostitution),4674.0,4715.0,0.9,792.0,876.0,10.6,290.0,293.0,1.0,87.0,77.0,-11.5,,
Drug abuse violations,70484.0,65947.0,-6.4,4892.0,4383.0,-10.4,18814.0,17647.0,-6.2,1268.0,1141.0,-10.0,,
Gambling,382.0,305.0,-20.2,12.0,6.0,-50.0,85.0,83.0,-2.4,2.0,1.0,-50.0,,
Offenses against the family and children,9554.0,9646.0,1.0,241.0,248.0,2.9,2370.0,2448.0,3.3,89.0,117.0,31.5,,
Driving under the influence,100574.0,97276.0,-3.3,1516.0,1338.0,-11.7,23364.0,23292.0,-0.3,446.0,386.0,-13.5,,
Liquor laws,24896.0,23292.0,-6.4,5447.0,4934.0,-9.4,8944.0,9123.0,2.0,3035.0,3143.0,3.6,,
Drunkenness,15177.0,15383.0,1.4,327.0,342.0,4.6,3192.0,3403.0,6.6,112.0,123.0,9.8,,
Disorderly conduct,15263.0,15290.0,0.2,3122.0,3058.0,-2.0,5347.0,5422.0,1.4,1393.0,1263.0,-9.3,,
Vagrancy,153.0,143.0,-6.5,16.0,5.0,-68.8,36.0,51.0,41.7,5.0,3.0,-40.0,,
All other offenses (except traffic),179146.0,172434.0,-3.7,8673.0,7921.0,-8.7,52757.0,51736.0,-1.9,3219.0,2984.0,-7.3,,
Suspicion,141.0,55.0,-61.0,20.0,19.0,-5.0,27.0,15.0,-44.4,4.0,8.0,100.0,,
Curfew and loitering law violations,403.0,308.0,-23.6,403.0,308.0,-23.6,158.0,176.0,11.4,158.0,176.0,11.4,,
Runaways,1617.0,1587.0,-1.9,1617.0,1587.0,-1.9,2195.0,1915.0,-12.8,2195.0,1915.0,-12.8,,
