Offense charged,Number of persons arrested Total,Male,Female,Percent male,Percent female,Percent distribution1 Total,Male,Female,,,
Murder and nonnegligent manslaughter,620.0,538.0,82.0,86.8,13.2,0.1,0.1,*,,,
Forcible rape,1485.0,1451.0,34.0,97.7,2.3,0.2,0.2,*,,,
Robbery,1936.0,1719.0,217.0,88.8,11.2,0.3,0.3,0.1,,,
Aggravated assault,19593.0,16075.0,3518.0,82.0,18.0,2.6,2.7,2.0,,,
Burglary,18135.0,15868.0,2267.0,87.5,12.5,2.4,2.7,1.3,,,
Larceny-theft,30868.0,22058.0,8810.0,71.5,28.5,4.0,3.8,5.0,,,
Motor vehicle theft,4602.0,3784.0,818.0,82.2,17.8,0.6,0.6,0.5,,,
Arson,884.0,746.0,138.0,84.4,15.6,0.1,0.1,0.1,,,
Violent crime2,23634.0,19783.0,3851.0,83.7,16.3,3.1,3.4,2.2,,,
Property crime2,54489.0,42456.0,12033.0,77.9,22.1,7.1,7.2,6.9,,,
Other assaults,70406.0,53036.0,17370.0,75.3,24.7,9.2,9.0,9.9,,,
Forgery and counterfeiting,4823.0,2780.0,2043.0,57.6,42.4,0.6,0.5,1.2,,,
Fraud,27984.0,14347.0,13637.0,51.3,48.7,3.7,2.4,7.8,,,
Embezzlement,915.0,389.0,526.0,42.5,57.5,0.1,0.1,0.3,,,
"Stolen property; buying, receiving, possessing",5097.0,4189.0,908.0,82.2,17.8,0.7,0.7,0.5,,,
Vandalism,13065.0,10876.0,2189.0,83.2,16.8,1.7,1.9,1.2,,,
"Weapons; carrying, possessing, etc.",7185.0,6574.0,611.0,91.5,8.5,0.9,1.1,0.3,,,
Prostitution and commercialized vice,161.0,106.0,55.0,65.8,34.2,*,*,*,,,
Sex offenses (except forcible rape and prostitution),5557.0,5241.0,316.0,94.3,5.7,0.7,0.9,0.2,,,
Drug abuse violations,90478.0,71539.0,18939.0,79.1,20.9,11.9,12.2,10.8,,,
Gambling,302.0,225.0,77.0,74.5,25.5,*,*,*,,,
Offenses against the family and children,12840.0,10268.0,2572.0,80.0,20.0,1.7,1.7,1.5,,,
Driving under the influence,138117.0,111183.0,26934.0,80.5,19.5,18.1,18.9,15.4,,,
Liquor laws,36078.0,25770.0,10308.0,71.4,28.6,4.7,4.4,5.9,,,
Drunkenness,18411.0,15133.0,3278.0,82.2,17.8,2.4,2.6,1.9,,,
Disorderly conduct,23525.0,17287.0,6238.0,73.5,26.5,3.1,2.9,3.6,,,
Vagrancy,217.0,162.0,55.0,74.7,25.3,*,*,*,,,
All other offenses (except traffic),225407.0,174231.0,51176.0,77.3,22.7,29.6,29.7,29.2,,,
Suspicion,73.0,60.0,13.0,82.2,17.8,*,*,*,,,
Curfew and loitering law violations,408.0,256.0,152.0,62.7,37.3,0.1,*,0.1,,,
Runaways,3610.0,1649.0,1961.0,45.7,54.3,0.5,0.3,1.1,,,
