State,"Total law
enforcement
employees","Total
officers Male",Female,"Total
civilians Male",Female,"Number 
of 
agencies","2017
estimated 
population"
ALABAMA,8065.0,4896.0,339.0,1134.0,1696.0,172.0,2385522.0
ALASKA,1933.0,1135.0,112.0,249.0,437.0,37.0,739515.0
ARIZONA,22750.0,11480.0,1382.0,4509.0,5379.0,120.0,7016270.0
ARKANSAS,9531.0,5409.0,567.0,1513.0,2042.0,299.0,2982118.0
CALIFORNIA,119684.0,68403.0,10337.0,15470.0,25474.0,461.0,33871863.0
COLORADO,16900.0,9935.0,1467.0,1956.0,3542.0,228.0,5303599.0
CONNECTICUT,9380.0,7045.0,804.0,624.0,907.0,107.0,3588184.0
DELAWARE,3443.0,2049.0,276.0,433.0,685.0,54.0,956493.0
DISTRICT OF COLUMBIA,4925.0,3325.0,903.0,299.0,398.0,3.0,693972.0
FLORIDA,72088.0,37654.0,6939.0,10179.0,17316.0,320.0,18257217.0
GEORGIA,32001.0,19990.0,4054.0,2727.0,5230.0,450.0,9110824.0
HAWAII,3729.0,2644.0,307.0,235.0,543.0,4.0,1427538.0
IDAHO,4506.0,2647.0,204.0,341.0,1314.0,111.0,1715911.0
ILLINOIS,35332.0,20897.0,4318.0,5362.0,4755.0,354.0,7976833.0
INDIANA,9972.0,7178.0,616.0,864.0,1314.0,97.0,3550712.0
IOWA,8160.0,4818.0,434.0,1157.0,1751.0,238.0,3081556.0
KANSAS,9613.0,6166.0,708.0,912.0,1827.0,322.0,2765707.0
KENTUCKY,9811.0,7151.0,508.0,885.0,1267.0,321.0,4076207.0
LOUISIANA,20049.0,12004.0,3414.0,1439.0,3192.0,182.0,4458555.0
MAINE,2900.0,2137.0,185.0,220.0,358.0,132.0,1335392.0
MARYLAND,20060.0,13118.0,2417.0,1670.0,2855.0,150.0,6051172.0
MASSACHUSETTS,20119.0,15045.0,1466.0,1534.0,2074.0,300.0,6342223.0
MICHIGAN,23856.0,14898.0,2183.0,3195.0,3580.0,568.0,9347361.0
MINNESOTA,14848.0,8560.0,1129.0,2345.0,2814.0,382.0,5553604.0
MISSISSIPPI,4437.0,2608.0,276.0,655.0,898.0,61.0,1153614.0
MISSOURI,20492.0,13197.0,1491.0,2274.0,3530.0,527.0,6024515.0
MONTANA,3034.0,1787.0,130.0,491.0,626.0,109.0,1042018.0
NEBRASKA,4852.0,2954.0,391.0,513.0,994.0,135.0,1704166.0
NEVADA,9831.0,5991.0,798.0,817.0,2225.0,55.0,2998039.0
NEW HAMPSHIRE,3623.0,2517.0,247.0,262.0,597.0,167.0,1255077.0
NEW JERSEY,40469.0,28308.0,3033.0,3580.0,5548.0,534.0,8708009.0
NEW MEXICO,4208.0,2646.0,287.0,472.0,803.0,99.0,1022817.0
NEW YORK,83642.0,53305.0,9128.0,7680.0,13529.0,404.0,19009435.0
NORTH CAROLINA,34950.0,21273.0,2797.0,4973.0,5907.0,520.0,10266068.0
NORTH DAKOTA,2418.0,1542.0,207.0,222.0,447.0,112.0,755052.0
OHIO,17954.0,12080.0,1380.0,1672.0,2822.0,293.0,6713767.0
OKLAHOMA,12945.0,8104.0,724.0,1685.0,2432.0,414.0,3929215.0
OREGON,10729.0,6056.0,711.0,1672.0,2290.0,206.0,4083484.0
PENNSYLVANIA,30731.0,23222.0,2617.0,1947.0,2945.0,1064.0,9774479.0
RHODE ISLAND,3140.0,2308.0,196.0,250.0,386.0,49.0,1059639.0
SOUTH CAROLINA,11876.0,7264.0,1116.0,1448.0,2048.0,283.0,3599207.0
SOUTH DAKOTA,2971.0,1630.0,150.0,523.0,668.0,132.0,858099.0
TENNESSEE,26765.0,15082.0,1654.0,4711.0,5318.0,438.0,6621003.0
TEXAS,70987.0,38154.0,5545.0,11357.0,15931.0,542.0,21164901.0
UTAH,7196.0,4633.0,355.0,936.0,1272.0,132.0,3073003.0
VERMONT,1506.0,1084.0,112.0,106.0,204.0,85.0,614709.0
VIRGINIA,24025.0,16632.0,2404.0,1323.0,3666.0,283.0,8468094.0
WASHINGTON,15385.0,9664.0,1054.0,1789.0,2878.0,254.0,7377379.0
WEST VIRGINIA,4689.0,3529.0,140.0,414.0,606.0,352.0,1804892.0
WISCONSIN,18406.0,11149.0,1721.0,2342.0,3194.0,410.0,5759066.0
WYOMING,2025.0,1105.0,138.0,284.0,498.0,56.0,551545.0
