Offense charged,Number of persons arrested Total all ages 2006.0,2007.0,Percent change,Under 18 years of age 2006.0,2007.0,Percent change,18 years of age and over 2006.0,2007.0,Percent change,,,
Murder and nonnegligent manslaughter,610.0,561.0,-8.0,20.0,29.0,45.0,590.0,532.0,-9.8,,,
Forcible rape,1548.0,1436.0,-7.2,233.0,212.0,-9.0,1315.0,1224.0,-6.9,,,
Robbery,1841.0,1725.0,-6.3,196.0,203.0,3.6,1645.0,1522.0,-7.5,,,
Aggravated assault,19922.0,19021.0,-4.5,1814.0,1661.0,-8.4,18108.0,17360.0,-4.1,,,
Burglary,17812.0,16493.0,-7.4,4181.0,3707.0,-11.3,13631.0,12786.0,-6.2,,,
Larceny-theft,29181.0,29114.0,-0.2,4784.0,4946.0,3.4,24397.0,24168.0,-0.9,,,
Motor vehicle theft,5130.0,4312.0,-15.9,1096.0,980.0,-10.6,4034.0,3332.0,-17.4,,,
Arson,953.0,850.0,-10.8,296.0,197.0,-33.4,657.0,653.0,-0.6,,,
Violent crime2,23921.0,22743.0,-4.9,2263.0,2105.0,-7.0,21658.0,20638.0,-4.7,,,
Property crime2,53076.0,50769.0,-4.3,10357.0,9830.0,-5.1,42719.0,40939.0,-4.2,,,
Other assaults,68768.0,67017.0,-2.5,8832.0,8451.0,-4.3,59936.0,58566.0,-2.3,,,
Forgery and counterfeiting,5024.0,4361.0,-13.2,121.0,106.0,-12.4,4903.0,4255.0,-13.2,,,
Fraud,32826.0,28353.0,-13.6,310.0,300.0,-3.2,32516.0,28053.0,-13.7,,,
Embezzlement,778.0,749.0,-3.7,23.0,16.0,-30.4,755.0,733.0,-2.9,,,
"Stolen property; buying, receiving, possessing",4632.0,4513.0,-2.6,568.0,483.0,-15.0,4064.0,4030.0,-0.8,,,
Vandalism,13102.0,12629.0,-3.6,3919.0,3550.0,-9.4,9183.0,9079.0,-1.1,,,
"Weapons; carrying, possessing, etc.",6898.0,6607.0,-4.2,854.0,787.0,-7.8,6044.0,5820.0,-3.7,,,
Prostitution and commercialized vice,194.0,154.0,-20.6,5.0,5.0,0.0,189.0,149.0,-21.2,,,
Sex offenses (except forcible rape and prostitution),4964.0,5008.0,0.9,879.0,953.0,8.4,4085.0,4055.0,-0.7,,,
Drug abuse violations,89298.0,83594.0,-6.4,6160.0,5524.0,-10.3,83138.0,78070.0,-6.1,,,
Gambling,467.0,388.0,-16.9,14.0,7.0,-50.0,453.0,381.0,-15.9,,,
Offenses against the family and children,11924.0,12094.0,1.4,330.0,365.0,10.6,11594.0,11729.0,1.2,,,
Driving under the influence,123938.0,120568.0,-2.7,1962.0,1724.0,-12.1,121976.0,118844.0,-2.6,,,
Liquor laws,33840.0,32415.0,-4.2,8482.0,8077.0,-4.8,25358.0,24338.0,-4.0,,,
Drunkenness,18369.0,18786.0,2.3,439.0,465.0,5.9,17930.0,18321.0,2.2,,,
Disorderly conduct,20610.0,20712.0,0.5,4515.0,4321.0,-4.3,16095.0,16391.0,1.8,,,
Vagrancy,189.0,194.0,2.6,21.0,8.0,-61.9,168.0,186.0,10.7,,,
All other offenses (except traffic),231903.0,224170.0,-3.3,11892.0,10905.0,-8.3,220011.0,213265.0,-3.1,,,
Suspicion,168.0,70.0,-58.3,24.0,27.0,12.5,144.0,43.0,-70.1,,,
Curfew and loitering law violations,561.0,484.0,-13.7,561.0,484.0,-13.7,-,-,-,,,
Runaways,3812.0,3502.0,-8.1,3812.0,3502.0,-8.1,-,-,-,,,
