State,University/College,Campus,Student enrollment1,Total law enforcement employees,Total officers,Total civilians
NORTH CAROLINA,Appalachian State University,,15117.0,34.0,21.0,13.0
,Belmont Abbey College,,1110.0,6.0,6.0,0.0
,Davidson College,,1667.0,6.0,5.0,1.0
,Duke University,,13373.0,155.0,52.0,103.0
,Elizabeth City State University,,2681.0,10.0,6.0,4.0
,Elon University,,5230.0,15.0,14.0,1.0
,Fayetteville State University,,6301.0,25.0,16.0,9.0
,Methodist College,,2116.0,7.0,7.0,0.0
,North Carolina Agricultural and Technical State University,,11098.0,52.0,23.0,29.0
,North Carolina Central University,,8675.0,42.0,25.0,17.0
,North Carolina School of the Arts,,845.0,14.0,13.0,1.0
,North Carolina State University,Raleigh,31130.0,61.0,47.0,14.0
,Saint Augustine's College,,1247.0,27.0,8.0,19.0
,University of North Carolina:,Asheville,3639.0,21.0,13.0,8.0
,,Chapel Hill,27717.0,76.0,49.0,27.0
,,Charlotte,21519.0,36.0,26.0,10.0
,,Greensboro,16872.0,49.0,31.0,18.0
,,Pembroke,5827.0,15.0,13.0,2.0
,,Wilmington,12098.0,39.0,27.0,12.0
,Wake Forest University,,6739.0,41.0,16.0,25.0
,Western Carolina University,,8861.0,20.0,16.0,4.0
,Winston-Salem State University,,5650.0,33.0,18.0,15.0
