Classification,,2003.0,2004.0,2005.0,20061.0,2007.0
Murder,,16528.0,16148.0,16740.0,17030.0,16929.0
Forcible rape,,93883.0,95089.0,94347.0,92757.0,90427.0
Robbery by location:,Street/highway,179657.0,171812.0,184188.0,199241.0,194772.0
,Commercial house,60615.0,59006.0,59694.0,61014.0,62026.0
,Gas or service station,11385.0,10893.0,11889.0,12075.0,11766.0
,Convenience store,25826.0,24653.0,23822.0,24921.0,24933.0
,Residence,56755.0,55525.0,59207.0,64024.0,67508.0
,Bank,9523.0,9775.0,8766.0,9591.0,9252.0
,Miscellaneous,70474.0,69806.0,69871.0,76537.0,74868.0
Burglary by location:,Residence (dwelling):,1418423.0,1409253.0,1417440.0,1445557.0,1478901.0
,Residence Night,409188.0,405556.0,402881.0,411558.0,421855.0
,Residence Day,668759.0,666345.0,669579.0,705175.0,738654.0
,Residence Unknown,340477.0,337351.0,344980.0,328824.0,318392.0
,"Nonresidence (store, office, etc.):",736411.0,735193.0,738008.0,738189.0,700239.0
,Nonresidence Night,310187.0,307702.0,305729.0,307076.0,293469.0
,Nonresidence Day,221240.0,223012.0,221183.0,234458.0,227092.0
,Nonresidence Unknown,204984.0,204479.0,211096.0,196655.0,179679.0
Larceny-theft by type:,Pocket-picking,31966.0,29840.0,29221.0,28770.0,27408.0
,Purse-snatching,42181.0,42345.0,42040.0,39997.0,38058.0
,Shoplifting,1013265.0,1009214.0,940411.0,872635.0,978978.0
,From motor vehicles (except accessories),1857619.0,1758241.0,1752280.0,1752432.0,1706979.0
,Motor vehicle accessories,781279.0,749173.0,693225.0,638678.0,599063.0
,Bicycles,271801.0,249813.0,248792.0,231238.0,224345.0
,From buildings,868621.0,861197.0,852462.0,829756.0,789123.0
,From coin-operated machines,52373.0,45927.0,40885.0,35264.0,31036.0
,All others,2107696.0,2191338.0,2184131.0,2178243.0,2173581.0
Larceny-theft by value:,Over $200,2761752.0,2711560.0,2715997.0,2805338.0,2884126.0
,$50 to $200,1586672.0,1562672.0,1522810.0,1474693.0,1471078.0
,Under $50,2678377.0,2662857.0,2544640.0,2326982.0,2213368.0
