Offense charged,Total all ages,Number of persons arrested Under 15,Under 18,Under 21,Under 25,Percent of total all ages Under 15,Under 18,Under 21,Under 25
Murder and nonnegligent manslaughter,7518.0,84.0,827.0,2421.0,3971.0,1.1,11.0,32.2,52.8
Forcible rape,12645.0,690.0,1961.0,3674.0,5501.0,5.5,15.5,29.1,43.5
Robbery,83356.0,5025.0,23325.0,41430.0,53932.0,6.0,28.0,49.7,64.7
Aggravated assault,251311.0,11071.0,34901.0,63835.0,101855.0,4.4,13.9,25.4,40.5
Burglary,171476.0,14885.0,47772.0,77817.0,99963.0,8.7,27.9,45.4,58.3
Larceny-theft,761461.0,62937.0,200449.0,320150.0,409714.0,8.3,26.3,42.0,53.8
Motor vehicle theft,70482.0,4088.0,18274.0,30116.0,40498.0,5.8,25.9,42.7,57.5
Arson,8414.0,2623.0,4359.0,5168.0,5841.0,31.2,51.8,61.4,69.4
Violent crime1,354830.0,16870.0,61014.0,111360.0,165259.0,4.8,17.2,31.4,46.6
Property crime1,1011833.0,84533.0,270854.0,433251.0,556016.0,8.4,26.8,42.8,55.0
Other assaults,751839.0,54928.0,140474.0,216505.0,323126.0,7.3,18.7,28.8,43.0
Forgery and counterfeiting,60078.0,212.0,1870.0,9302.0,19430.0,0.4,3.1,15.5,32.3
Fraud,105543.0,723.0,4524.0,16028.0,31486.0,0.7,4.3,15.2,29.8
Embezzlement,13465.0,37.0,1085.0,3944.0,6536.0,0.3,8.1,29.3,48.5
"Stolen property; buying, receiving, possessing",71493.0,3627.0,14340.0,26496.0,37139.0,5.1,20.1,37.1,51.9
Vandalism,177716.0,28930.0,70064.0,97578.0,120853.0,16.3,39.4,54.9,68.0
"Weapons; carrying, possessing, etc.",114494.0,8440.0,27336.0,48556.0,68583.0,7.4,23.9,42.4,59.9
Prostitution and commercialized vice,56745.0,137.0,1092.0,7288.0,15475.0,0.2,1.9,12.8,27.3
Sex offenses (except forcible rape and prostitution),45134.0,3958.0,8173.0,12995.0,18102.0,8.8,18.1,28.8,40.1
Drug abuse violations,1073890.0,17911.0,120708.0,311061.0,497265.0,1.7,11.2,29.0,46.3
Gambling,8249.0,218.0,1548.0,3395.0,4814.0,2.6,18.8,41.2,58.4
Offenses against the family and children,40471.0,832.0,2857.0,6593.0,12493.0,2.1,7.1,16.3,30.9
Driving under the influence,676504.0,224.0,9179.0,71883.0,205976.0,*,1.4,10.6,30.4
Liquor laws,387504.0,7849.0,83268.0,271168.0,298332.0,2.0,21.5,70.0,77.0
Drunkenness,392586.0,1234.0,11399.0,46225.0,111457.0,0.3,2.9,11.8,28.4
Disorderly conduct,467398.0,50584.0,133198.0,191185.0,263411.0,10.8,28.5,40.9,56.4
Vagrancy,22932.0,843.0,2580.0,5121.0,7270.0,3.7,11.3,22.3,31.7
All other offenses (except traffic),2163947.0,58358.0,234105.0,489394.0,828261.0,2.7,10.8,22.6,38.3
Suspicion,899.0,52.0,218.0,345.0,488.0,5.8,24.2,38.4,54.3
Curfew and loitering law violations,105534.0,27970.0,105534.0,105534.0,105534.0,26.5,100.0,100.0,100.0
Runaways,63604.0,20817.0,63604.0,63604.0,63604.0,32.7,100.0,100.0,100.0
