Offense charged,Number of persons arrested Total,Male,Female,Percent male,Percent female,Percent distribution1 Total,Male,Female,,
Murder and nonnegligent manslaughter,7518.0,6786.0,732.0,90.3,9.7,0.1,0.1,*,,
Forcible rape,12645.0,12528.0,117.0,99.1,0.9,0.2,0.2,*,,
Robbery,83356.0,73615.0,9741.0,88.3,11.7,1.0,1.2,0.5,,
Aggravated assault,251311.0,196377.0,54934.0,78.1,21.9,3.1,3.2,2.7,,
Burglary,171476.0,145607.0,25869.0,84.9,15.1,2.1,2.4,1.3,,
Larceny-theft,761461.0,449564.0,311897.0,59.0,41.0,9.3,7.3,15.6,,
Motor vehicle theft,70482.0,57982.0,12500.0,82.3,17.7,0.9,0.9,0.6,,
Arson,8414.0,7091.0,1323.0,84.3,15.7,0.1,0.1,0.1,,
Violent crime2,354830.0,289306.0,65524.0,81.5,18.5,4.3,4.7,3.3,,
Property crime2,1011833.0,660244.0,351589.0,65.3,34.7,12.4,10.7,17.6,,
Other assaults,751839.0,561610.0,190229.0,74.7,25.3,9.2,9.1,9.5,,
Forgery and counterfeiting,60078.0,37288.0,22790.0,62.1,37.9,0.7,0.6,1.1,,
Fraud,105543.0,61978.0,43565.0,58.7,41.3,1.3,1.0,2.2,,
Embezzlement,13465.0,6572.0,6893.0,48.8,51.2,0.2,0.1,0.3,,
"Stolen property; buying, receiving, possessing",71493.0,56366.0,15127.0,78.8,21.2,0.9,0.9,0.8,,
Vandalism,177716.0,147405.0,30311.0,82.9,17.1,2.2,2.4,1.5,,
"Weapons; carrying, possessing, etc.",114494.0,105757.0,8737.0,92.4,7.6,1.4,1.7,0.4,,
Prostitution and commercialized vice,56745.0,17854.0,38891.0,31.5,68.5,0.7,0.3,1.9,,
Sex offenses (except forcible rape and prostitution),45134.0,40618.0,4516.0,90.0,10.0,0.6,0.7,0.2,,
Drug abuse violations,1073890.0,875418.0,198472.0,81.5,18.5,13.1,14.2,9.9,,
Gambling,8249.0,7622.0,627.0,92.4,7.6,0.1,0.1,*,,
Offenses against the family and children,40471.0,26422.0,14049.0,65.3,34.7,0.5,0.4,0.7,,
Driving under the influence,676504.0,531656.0,144848.0,78.6,21.4,8.3,8.6,7.2,,
Liquor laws,387504.0,280673.0,106831.0,72.4,27.6,4.7,4.6,5.3,,
Drunkenness,392586.0,330698.0,61888.0,84.2,15.8,4.8,5.4,3.1,,
Disorderly conduct,467398.0,344828.0,122570.0,73.8,26.2,5.7,5.6,6.1,,
Vagrancy,22932.0,17965.0,4967.0,78.3,21.7,0.3,0.3,0.2,,
All other offenses (except traffic),2163947.0,1661792.0,502155.0,76.8,23.2,26.5,27.0,25.1,,
Suspicion,899.0,734.0,165.0,81.6,18.4,*,*,*,,
Curfew and loitering law violations,105534.0,73222.0,32312.0,69.4,30.6,1.3,1.2,1.6,,
Runaways,63604.0,27567.0,36037.0,43.3,56.7,0.8,0.4,1.8,,
