Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,Carbon,10.0,0.0,0.0,0.0,10.0,27.0,17.0,9.0,1.0,0.0
,Cascade,62.0,1.0,2.0,0.0,59.0,279.0,43.0,208.0,28.0,2.0
,Missoula,87.0,0.0,13.0,2.0,72.0,612.0,124.0,430.0,58.0,6.0
,Yellowstone,57.0,1.0,12.0,4.0,40.0,649.0,87.0,516.0,46.0,4.0
Nonmetropolitan Counties,Beaverhead,4.0,0.0,0.0,0.0,4.0,42.0,8.0,28.0,6.0,0.0
,Big Horn,65.0,0.0,3.0,0.0,62.0,235.0,10.0,200.0,25.0,2.0
,Blaine,4.0,0.0,0.0,0.0,4.0,25.0,2.0,17.0,6.0,0.0
,Broadwater,15.0,0.0,0.0,0.0,15.0,162.0,7.0,144.0,11.0,2.0
,Carter,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
,Chouteau,5.0,1.0,0.0,0.0,4.0,15.0,1.0,12.0,2.0,1.0
,Dawson,6.0,0.0,3.0,0.0,3.0,76.0,10.0,65.0,1.0,1.0
,Deer Lodge,27.0,0.0,4.0,0.0,23.0,99.0,9.0,79.0,11.0,0.0
,Fallon,1.0,0.0,0.0,0.0,1.0,9.0,0.0,6.0,3.0,0.0
,Fergus,13.0,0.0,2.0,0.0,11.0,15.0,5.0,9.0,1.0,1.0
,Flathead,241.0,2.0,19.0,6.0,214.0,1168.0,225.0,879.0,64.0,6.0
,Gallatin,70.0,0.0,19.0,1.0,50.0,445.0,59.0,337.0,49.0,14.0
,Garfield,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,Glacier,9.0,0.0,0.0,0.0,9.0,50.0,8.0,35.0,7.0,0.0
,Granite,3.0,0.0,0.0,0.0,3.0,47.0,3.0,42.0,2.0,0.0
,Hill,28.0,0.0,1.0,0.0,27.0,153.0,10.0,130.0,13.0,2.0
,Jefferson,21.0,0.0,0.0,0.0,21.0,58.0,14.0,36.0,8.0,1.0
,Judith Basin,6.0,0.0,0.0,0.0,6.0,9.0,0.0,8.0,1.0,0.0
,Lake,70.0,2.0,10.0,1.0,57.0,348.0,82.0,208.0,58.0,6.0
,Lewis and Clark,57.0,0.0,10.0,1.0,46.0,350.0,87.0,227.0,36.0,11.0
,Lincoln,33.0,1.0,5.0,0.0,27.0,240.0,70.0,158.0,12.0,2.0
,Madison,8.0,0.0,0.0,0.0,8.0,64.0,17.0,39.0,8.0,0.0
,McCone,1.0,0.0,0.0,0.0,1.0,15.0,1.0,14.0,0.0,0.0
,Meagher,6.0,0.0,0.0,0.0,6.0,27.0,2.0,23.0,2.0,0.0
,Mineral,16.0,0.0,1.0,0.0,15.0,29.0,8.0,17.0,4.0,0.0
,Musselshell,7.0,0.0,2.0,0.0,5.0,83.0,6.0,74.0,3.0,0.0
,Park,19.0,0.0,2.0,0.0,17.0,94.0,29.0,53.0,12.0,1.0
,Phillips,6.0,0.0,0.0,0.0,6.0,63.0,10.0,49.0,4.0,0.0
,Pondera,1.0,0.0,1.0,0.0,0.0,8.0,2.0,4.0,2.0,1.0
,Powell,27.0,0.0,2.0,0.0,25.0,131.0,24.0,99.0,8.0,0.0
,Ravalli,48.0,0.0,8.0,3.0,37.0,406.0,58.0,327.0,21.0,9.0
,Roosevelt,10.0,1.0,0.0,0.0,9.0,32.0,11.0,18.0,3.0,1.0
,Rosebud,19.0,0.0,1.0,0.0,18.0,66.0,7.0,57.0,2.0,1.0
,Sanders,31.0,0.0,5.0,0.0,26.0,141.0,21.0,114.0,6.0,1.0
,Sheridan,5.0,1.0,0.0,0.0,4.0,17.0,2.0,12.0,3.0,0.0
,Silver Bow,142.0,1.0,7.0,12.0,122.0,1389.0,222.0,1044.0,123.0,4.0
,Stillwater,18.0,0.0,3.0,0.0,15.0,38.0,22.0,13.0,3.0,1.0
,Sweet Grass,10.0,0.0,0.0,0.0,10.0,39.0,1.0,33.0,5.0,1.0
,Teton,15.0,0.0,1.0,0.0,14.0,87.0,6.0,78.0,3.0,1.0
,Toole,17.0,0.0,0.0,0.0,17.0,56.0,10.0,41.0,5.0,1.0
,Valley,4.0,0.0,0.0,2.0,2.0,56.0,10.0,42.0,4.0,0.0
,Wibaux,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
