City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Albany,46999.0,55.0,1.0,6.0,33.0,15.0,2236.0,233.0,1867.0,136.0,33.0
Amity,1462.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,26.0,0.0,1.0
Ashland,21068.0,19.0,0.0,7.0,7.0,5.0,606.0,124.0,458.0,24.0,5.0
Astoria,9935.0,31.0,0.0,3.0,5.0,23.0,353.0,61.0,276.0,16.0,2.0
Aumsville,3378.0,18.0,0.0,1.0,1.0,16.0,89.0,8.0,68.0,13.0,1.0
Aurora,1025.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,13.0,4.0,0.0
Baker City,9614.0,41.0,0.0,0.0,1.0,40.0,207.0,30.0,162.0,15.0,1.0
Bandon,2911.0,1.0,0.0,0.0,1.0,0.0,87.0,16.0,69.0,2.0,0.0
Banks,1631.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,18.0,1.0,0.0
Beaverton,91184.0,220.0,0.0,20.0,59.0,141.0,2330.0,337.0,1768.0,225.0,23.0
Bend,75185.0,155.0,0.0,20.0,40.0,95.0,2977.0,594.0,2187.0,196.0,21.0
Black Butte,,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0
Boardman,3094.0,17.0,0.0,3.0,1.0,13.0,81.0,20.0,57.0,4.0,0.0
Brookings,6476.0,7.0,0.0,1.0,2.0,4.0,168.0,30.0,132.0,6.0,1.0
Burns,2702.0,21.0,0.0,2.0,1.0,18.0,111.0,32.0,76.0,3.0,0.0
Canby,15725.0,16.0,0.0,5.0,3.0,8.0,350.0,37.0,302.0,11.0,3.0
Cannon Beach,1740.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,21.0,0.0,0.0
Carlton,1523.0,1.0,0.0,0.0,0.0,1.0,22.0,10.0,12.0,0.0,0.0
Central Point,16701.0,11.0,0.0,6.0,2.0,3.0,323.0,39.0,255.0,29.0,2.0
Clatskanie,1663.0,3.0,0.0,0.0,0.0,3.0,55.0,10.0,42.0,3.0,1.0
Coburg,1011.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,16.0,3.0,0.0
Condon,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coos Bay,16096.0,30.0,0.0,0.0,9.0,21.0,687.0,146.0,501.0,40.0,10.0
Coquille,4250.0,1.0,0.0,1.0,0.0,0.0,48.0,10.0,35.0,3.0,1.0
Cornelius,11498.0,14.0,0.0,3.0,4.0,7.0,219.0,37.0,156.0,26.0,2.0
Corvallis,49870.0,57.0,1.0,11.0,10.0,35.0,1554.0,226.0,1261.0,67.0,15.0
Cottage Grove,8921.0,16.0,0.0,2.0,7.0,7.0,487.0,71.0,340.0,76.0,10.0
Creswell,4945.0,20.0,0.0,3.0,1.0,16.0,166.0,61.0,73.0,32.0,2.0
Dallas,15097.0,35.0,0.0,7.0,2.0,26.0,318.0,45.0,259.0,14.0,4.0
Eagle Point,8547.0,5.0,0.0,1.0,0.0,4.0,198.0,42.0,148.0,8.0,2.0
Enterprise,1736.0,1.0,0.0,0.0,0.0,1.0,20.0,5.0,13.0,2.0,1.0
Estacada,2473.0,4.0,0.0,0.0,1.0,3.0,73.0,18.0,51.0,4.0,0.0
