Offense charged,"Total all
ages",Number of persons arrested Under 15,Under 18,Under 21,Under 25,Percent of total all ages Under 15,Under 18,Under 21,Under 25,,
Murder and nonnegligent manslaughter,9576.0,67.0,717.0,2210.0,3983.0,0.7,7.5,23.1,41.6,,
Rape1,18289.0,1163.0,3030.0,5202.0,7335.0,6.4,16.6,28.4,40.1,,
Robbery,74340.0,2925.0,15282.0,28864.0,40526.0,3.9,20.6,38.8,54.5,,
Aggravated assault,305291.0,7216.0,22155.0,45390.0,86359.0,2.4,7.3,14.9,28.3,,
Burglary,156465.0,7607.0,24223.0,42761.0,63433.0,4.9,15.5,27.3,40.5,,
Larceny-theft,750750.0,26396.0,93738.0,174737.0,264593.0,3.5,12.5,23.3,35.2,,
Motor vehicle theft,71452.0,3058.0,12798.0,20992.0,30663.0,4.3,17.9,29.4,42.9,,
Arson,7180.0,1010.0,1766.0,2316.0,2955.0,14.1,24.6,32.3,41.2,,
Violent crime2,407496.0,11371.0,41184.0,81666.0,138203.0,2.8,10.1,20.0,33.9,,
Property crime2,985847.0,38071.0,132525.0,240806.0,361644.0,3.9,13.4,24.4,36.7,,
Other assaults,833396.0,37971.0,96523.0,156214.0,260785.0,4.6,11.6,18.7,31.3,,
Forgery and counterfeiting,43534.0,133.0,957.0,5900.0,11854.0,0.3,2.2,13.6,27.2,,
Fraud,96948.0,738.0,3714.0,11122.0,23277.0,0.8,3.8,11.5,24.0,,
Embezzlement,12532.0,38.0,499.0,2497.0,4585.0,0.3,4.0,19.9,36.6,,
"Stolen property; buying, receiving, possessing",77474.0,1692.0,8243.0,17475.0,28494.0,2.2,10.6,22.6,36.8,,
Vandalism,147959.0,11632.0,28842.0,44935.0,65824.0,7.9,19.5,30.4,44.5,,
"Weapons; carrying, possessing, etc.",129210.0,4240.0,14384.0,30324.0,53273.0,3.3,11.1,23.5,41.2,,
Prostitution and commercialized vice,28490.0,30.0,218.0,3063.0,7868.0,0.1,0.8,10.8,27.6,,
Sex offenses (except rape and prostitution),37850.0,3336.0,6644.0,9786.0,13220.0,8.8,17.6,25.9,34.9,,
Drug abuse violations,1275812.0,11111.0,74088.0,246780.0,455374.0,0.9,5.8,19.3,35.7,,
Gambling,2510.0,28.0,213.0,563.0,910.0,1.1,8.5,22.4,36.3,,
Offenses against the family and children,72229.0,982.0,2895.0,5708.0,12398.0,1.4,4.0,7.9,17.2,,
Driving under the influence,764569.0,90.0,4692.0,44993.0,162918.0,*,0.6,5.9,21.3,,
Liquor laws,161277.0,3055.0,26107.0,95981.0,106971.0,1.9,16.2,59.5,66.3,,
Drunkenness,289608.0,432.0,3395.0,19775.0,55671.0,0.1,1.2,6.8,19.2,,
Disorderly conduct,276987.0,19227.0,49041.0,73551.0,109284.0,6.9,17.7,26.6,39.5,,
Vagrancy,18542.0,151.0,583.0,1669.0,3258.0,0.8,3.1,9.0,17.6,,
All other offenses (except traffic),2560932.0,29317.0,116023.0,305018.0,644453.0,1.1,4.5,11.9,25.2,,
Suspicion,690.0,17.0,66.0,122.0,195.0,2.5,9.6,17.7,28.3,,
Curfew and loitering law violations,23699.0,6976.0,23699.0,23699.0,23699.0,29.4,100.0,100.0,100.0,,
