Offense charged,"Total all
ages",Number of persons arrested Under 15,Under 18,Under 21,Under 25,Percent of total all ages Under 15,Under 18,Under 21,Under 25,,
Murder and nonnegligent manslaughter,1917.0,6.0,125.0,407.0,718.0,0.3,6.5,21.2,37.5,,
Rape1,3602.0,245.0,595.0,1055.0,1480.0,6.8,16.5,29.3,41.1,,
Robbery,10229.0,298.0,2023.0,4004.0,5683.0,2.9,19.8,39.1,55.6,,
Aggravated assault,58170.0,1328.0,4122.0,8459.0,15863.0,2.3,7.1,14.5,27.3,,
Burglary,29411.0,1226.0,4102.0,7641.0,11571.0,4.2,13.9,26.0,39.3,,
Larceny-theft,104711.0,3354.0,12986.0,24583.0,37407.0,3.2,12.4,23.5,35.7,,
Motor vehicle theft,14046.0,365.0,1803.0,3324.0,5262.0,2.6,12.8,23.7,37.5,,
Arson,1271.0,150.0,271.0,386.0,502.0,11.8,21.3,30.4,39.5,,
Violent crime2,73918.0,1877.0,6865.0,13925.0,23744.0,2.5,9.3,18.8,32.1,,
Property crime2,149439.0,5095.0,19162.0,35934.0,54742.0,3.4,12.8,24.0,36.6,,
Other assaults,148967.0,7223.0,18991.0,28998.0,45841.0,4.8,12.7,19.5,30.8,,
Forgery and counterfeiting,8775.0,7.0,155.0,1172.0,2333.0,0.1,1.8,13.4,26.6,,
Fraud,20799.0,104.0,537.0,1854.0,4319.0,0.5,2.6,8.9,20.8,,
Embezzlement,2135.0,0.0,51.0,354.0,679.0,0.0,2.4,16.6,31.8,,
"Stolen property; buying, receiving, possessing",15784.0,198.0,1135.0,2856.0,4990.0,1.3,7.2,18.1,31.6,,
Vandalism,25455.0,1749.0,5025.0,7841.0,11303.0,6.9,19.7,30.8,44.4,,
"Weapons; carrying, possessing, etc.",23315.0,762.0,2323.0,4784.0,8501.0,3.3,10.0,20.5,36.5,,
Prostitution and commercialized vice,3443.0,4.0,32.0,311.0,865.0,0.1,0.9,9.0,25.1,,
Sex offenses (except rape and prostitution),8202.0,715.0,1453.0,2173.0,2935.0,8.7,17.7,26.5,35.8,,
Drug abuse violations,266029.0,1707.0,13716.0,49937.0,95303.0,0.6,5.2,18.8,35.8,,
Gambling,590.0,9.0,50.0,105.0,156.0,1.5,8.5,17.8,26.4,,
Offenses against the family and children,25730.0,155.0,522.0,1083.0,2709.0,0.6,2.0,4.2,10.5,,
Driving under the influence,202119.0,14.0,1000.0,10960.0,42405.0,*,0.5,5.4,21.0,,
Liquor laws,21746.0,472.0,4498.0,13671.0,15152.0,2.2,20.7,62.9,69.7,,
Drunkenness,25656.0,39.0,303.0,1709.0,4828.0,0.2,1.2,6.7,18.8,,
Disorderly conduct,32777.0,2298.0,6284.0,8848.0,12517.0,7.0,19.2,27.0,38.2,,
Vagrancy,1949.0,32.0,109.0,219.0,439.0,1.6,5.6,11.2,22.5,,
All other offenses (except traffic),572506.0,4246.0,18599.0,56969.0,132875.0,0.7,3.2,10.0,23.2,,
Suspicion,86.0,5.0,28.0,39.0,51.0,5.8,32.6,45.3,59.3,,
Curfew and loitering law violations,1487.0,368.0,1487.0,1487.0,1487.0,24.7,100.0,100.0,100.0,,
