measure,clevercsv,hypoparsr,magritte_0,magritte_1,magritte_2
aug_del_f1,0.6484149289524375,0.15399315319830115,0.9866525807622254,0.9866525807622254,0.9866525807622254
aug_quo_f1,0.5842924802737796,0.19597179765120032,0.9966551392327884,0.9966551392327884,0.9966551392327884
aug_esc_f1,0.37559636708969807,0.2575509297498753,0.9254032766667752,0.9252828770194323,0.9256878088745152
aug_dialect_acc,0.33713959463317156,0.056237510705109905,0.9112189551812732,0.9112189551812732,0.911504424778761
aug_time,0.16176960483946326,20.757020875177755,0,0,0
aug_std,1.539932344706505,57.27168402294943,0,0,0
orig_del_f1,0.9805340717467906,0.782139746757742,0.9519122873299155,0.9519122873299155,0.9519122873299155
orig_quo_f1,0.9967941958071457,0.5280241666994419,0.9734363637490955,0.9734363637490955,0.9734363637490955
orig_esc_f1,0.7512634191561257,0.0443421814524731,0.8403696306079473,0.8349949433343569,0.8349949433343569
orig_dialect_acc,0.802547770700637,0.06369426751592357,0.7643312101910829,0.7579617834394905,0.7579617834394905
orig_time,0.09623481513588292,0.0023679568025471386,0,0,0
orig_std,0.17945799679022162,0.0010872637731588267,0,0,0
test_del_f1,0.9829127802957988,0.801312326370355,0.9700843829467238,0.9700843829467238,0.9700843829467238
test_quo_f1,0.9872001547664674,0.1526088571746284,0.9423491336528705,0.9423491336528705,0.9423491336528705
test_esc_f1,0.9469525248980668,0.001405943762249518931,0.9361461803118896,0.9367433302667894,0.9361461803118896
test_dialect_acc,0.937442502299908,0.0036798528058877645,0.8261269549218031,0.827046918123275,0.8261269549218031
test_time,0.9963432524912604,33.7372899244110163724,0,0,0
test_std,4.833285992459569,93.98350835043365993,0,0,0
both_del_f1,0.6653606812503672,0.17436028561556668,0.9847809891624221,0.9847809891624221,0.9847809891624221
both_quo_f1,0.5888410852483865,0.1987014134669736,0.9953874006733652,0.9953874006733652,0.9953874006733652
both_esc_f1,0.3867685090175581,0.24681305023085431,0.9220392671457159,0.9217716409036553,0.9220460767504851
both_dialect_acc,0.35710382513661204,0.056010928961748634,0.9046448087431694,0.9043715846994536,0.9046448087431694
both_time,0.10585093242185789,21.191963461122878,0,0,0
both_std,1.0775578351649773,62.6839142892331,0,0,0
