Expanded Homicide Data Table 1,,,,
Murder Victims,,,,
"by Race, Ethnicity, and Sex, 2017",,,,
Race,Total,Sex,,
,,Male,Female,Unknown
Total,15129.0,11862.0,3222.0,45.0
White,6579.0,4616.0,1958.0,5.0
Black,7851.0,6789.0,1060.0,2.0
Other race,456.0,315.0,141.0,0.0
Unknown race,243.0,142.0,63.0,38.0
Hispanic or Latino1,2354.0,1899.0,454.0,1.0
Not Hispanic or Latino1,9761.0,7692.0,2065.0,4.0
Unknown1,2085.0,1550.0,510.0,25.0
"1 Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal.",,,,
