Expanded Homicide Data Table 8,,,,,,,,
Murder Victims,,,,,,,,
"by Weapon, 2013–2017",,,,,,,,
Weapons,2013.0,2014.0,2015.0,2016.0,2017.0,,,
Total,12253.0,12270.0,13750.0,15296.0,15129.0,,,
Total firearms:,8454.0,8312.0,9778.0,11138.0,10982.0,,,
Handguns,5782.0,5673.0,6569.0,7204.0,7032.0,,,
Rifles,285.0,258.0,258.0,378.0,403.0,,,
Shotguns,308.0,264.0,272.0,261.0,264.0,,,
Other guns,123.0,93.0,177.0,187.0,187.0,,,
"Firearms, type not stated",1956.0,2024.0,2502.0,3108.0,3096.0,,,
Knives or cutting instruments,1490.0,1595.0,1589.0,1632.0,1591.0,,,
"Blunt objects (clubs, hammers, etc.)",428.0,446.0,450.0,479.0,467.0,,,
"Personal weapons (hands, fists, feet, etc.)1",687.0,682.0,659.0,669.0,696.0,,,
Poison,11.0,10.0,8.0,13.0,13.0,,,
Explosives,2.0,7.0,1.0,1.0,0.0,,,
Fire,94.0,71.0,84.0,114.0,103.0,,,
Narcotics,53.0,70.0,75.0,122.0,97.0,,,
Drowning,4.0,14.0,14.0,9.0,8.0,,,
Strangulation,85.0,89.0,99.0,99.0,88.0,,,
Asphyxiation,95.0,102.0,120.0,93.0,105.0,,,
Other weapons or weapons not stated,850.0,872.0,873.0,927.0,979.0,,,
1 Pushed is included in personal weapons.,,,,,,,,
