Expanded Homicide Data Table 3,,,,,,,,,,,
Murder Offenders,,,,,,,,,,,
"by Age, Sex, Race, and Ethnicity, 2017",,,,,,,,,,,
Age,Total,Sex,,,Race,,,,Ethnicity1,,
,,Male,Female,Unknown,White,"Black
or African
American",Other2,Unknown,"Hispanic
or Latino","Not
Hispanic
or Latino",Unknown
Total,17251.0,10665.0,1443.0,5143.0,5125.0,6444.0,314.0,5368.0,1505.0,6324.0,5353.0
Percent distribution3,100.0,61.822503043301836,8.364732479276563,29.8127644774216,29.708422700133326,37.35435626920178,1.8201843371398758,31.117036693525012,11.417083902291003,47.97451069640419,40.60840540130481
Under 184,803.0,730.0,73.0,0.0,295.0,488.0,10.0,10.0,113.0,401.0,73.0
Under 224,2932.0,2626.0,284.0,22.0,1045.0,1766.0,57.0,64.0,430.0,1494.0,267.0
18 and over4,10669.0,9264.0,1351.0,54.0,4736.0,5464.0,301.0,168.0,1336.0,5621.0,1082.0
Infant (under 1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 to 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 to 8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9 to 12,7.0,6.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,5.0,0.0
13 to 16,405.0,365.0,40.0,0.0,151.0,242.0,5.0,7.0,56.0,199.0,40.0
17 to 19,1467.0,1327.0,135.0,5.0,524.0,903.0,21.0,19.0,224.0,755.0,123.0
20 to 24,2519.0,2222.0,279.0,18.0,858.0,1545.0,63.0,53.0,347.0,1298.0,251.0
25 to 29,2053.0,1764.0,282.0,7.0,826.0,1152.0,54.0,21.0,274.0,1068.0,227.0
30 to 34,1465.0,1259.0,197.0,9.0,676.0,718.0,52.0,19.0,184.0,786.0,148.0
35 to 39,1062.0,916.0,145.0,1.0,543.0,472.0,33.0,14.0,132.0,546.0,107.0
40 to 44,754.0,627.0,123.0,4.0,387.0,330.0,26.0,11.0,81.0,398.0,80.0
45 to 49,566.0,480.0,86.0,0.0,323.0,214.0,20.0,9.0,60.0,289.0,61.0
50 to 54,421.0,357.0,57.0,7.0,233.0,159.0,18.0,11.0,34.0,249.0,37.0
55 to 59,335.0,290.0,43.0,2.0,213.0,109.0,8.0,5.0,31.0,182.0,32.0
60 to 64,179.0,163.0,16.0,0.0,110.0,61.0,5.0,3.0,19.0,102.0,17.0
65 to 69,93.0,84.0,9.0,0.0,69.0,21.0,1.0,2.0,5.0,55.0,7.0
70 to 74,53.0,49.0,4.0,0.0,42.0,7.0,1.0,3.0,0.0,29.0,9.0
75 and over,92.0,85.0,6.0,1.0,72.0,15.0,4.0,1.0,2.0,61.0,15.0
Unknown,5779.0,671.0,19.0,5089.0,94.0,492.0,3.0,5190.0,56.0,302.0,4198.0
"1 Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal.",,,,,,,,,,,
"2 Includes American Indian or Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander.",,,,,,,,,,,
"3 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,
4 Does not include unknown ages.,,,,,,,,,,,
