Table 46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Age, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[9,289 agencies; 2017 estimated population 175,386,806]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense charged,"Total all
ages","Ages under
15","Ages
under 18","Ages 18 and
over","Under
10",10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over",
TOTAL,5953871.0,146842.0,504495.0,5449376.0,3124.0,33094.0,110624.0,95720.0,120272.0,141661.0,187745.0,201592.0,198131.0,198292.0,200540.0,205941.0,209771.0,1017444.0,829347.0,663783.0,444951.0,382885.0,314027.0,218710.0,106704.0,69513.0,
Total percent distribution1,100.0,2.5,8.5,91.5,0.1,0.6,1.9,1.6,2.0,2.4,3.2,3.4,3.3,3.3,3.4,3.5,3.5,17.1,13.9,11.1,7.5,6.4,5.3,3.7,1.8,1.2,
Murder and nonnegligent manslaughter,7058.0,57.0,561.0,6497.0,0.0,7.0,50.0,83.0,166.0,255.0,375.0,408.0,375.0,358.0,330.0,351.0,327.0,1313.0,869.0,618.0,385.0,271.0,229.0,149.0,75.0,64.0,
Rape2,13036.0,813.0,2132.0,10904.0,9.0,206.0,598.0,406.0,462.0,451.0,521.0,535.0,424.0,430.0,374.0,350.0,386.0,1654.0,1532.0,1368.0,978.0,784.0,648.0,443.0,255.0,222.0,
Robbery,62927.0,2619.0,13167.0,49760.0,13.0,351.0,2255.0,2750.0,3670.0,4128.0,4371.0,3825.0,3221.0,2669.0,2483.0,2367.0,2260.0,9716.0,6538.0,4518.0,2723.0,2179.0,1593.0,874.0,294.0,129.0,
Aggravated assault,229798.0,5602.0,17127.0,212671.0,124.0,1453.0,4025.0,3151.0,3942.0,4432.0,5352.0,5955.0,6506.0,7341.0,7705.0,8221.0,8351.0,41468.0,33640.0,27030.0,17891.0,14895.0,12359.0,8613.0,4202.0,3142.0,
Burglary,115300.0,5967.0,18839.0,96461.0,155.0,1261.0,4551.0,4050.0,4348.0,4474.0,4936.0,4499.0,4142.0,3777.0,3752.0,3813.0,3866.0,18749.0,15104.0,11800.0,7245.0,5978.0,4402.0,2809.0,1070.0,519.0,
Larceny-theft,621866.0,22528.0,78971.0,542895.0,399.0,4981.0,17148.0,15169.0,19176.0,22098.0,25070.0,22454.0,19554.0,18315.0,17953.0,18654.0,19306.0,97766.0,84050.0,67090.0,44545.0,39217.0,31784.0,20892.0,9791.0,6454.0,
Motor vehicle theft,53010.0,2553.0,10470.0,42540.0,6.0,315.0,2232.0,2449.0,2799.0,2669.0,2404.0,2065.0,1774.0,1735.0,1808.0,1818.0,1836.0,9142.0,7260.0,5126.0,3026.0,2173.0,1349.0,690.0,240.0,94.0,
Arson,5421.0,818.0,1431.0,3990.0,48.0,259.0,511.0,251.0,216.0,146.0,143.0,126.0,114.0,106.0,127.0,113.0,127.0,661.0,625.0,520.0,354.0,333.0,258.0,205.0,110.0,68.0,
Violent crime3,312819.0,9091.0,32987.0,279832.0,146.0,2017.0,6928.0,6390.0,8240.0,9266.0,10619.0,10723.0,10526.0,10798.0,10892.0,11289.0,11324.0,54151.0,42579.0,33534.0,21977.0,18129.0,14829.0,10079.0,4826.0,3557.0,
