Expanded Homicide Data Table 7,,,,,,,,,
Murder Victims,,,,,,,,,
"by Weapon, 2003–2007",,,,,,,,,
Weapons,2003,2004,2005,2006,2007,,,,
Total,14465.0,14210.0,14965.0,15087.0,14831.0,,,,
Total firearms:,9659.0,9385.0,10158.0,10225.0,10086.0,,,,
Handguns,7745.0,7286.0,7565.0,7836.0,7361.0,,,,
Rifles,392.0,403.0,445.0,438.0,450.0,,,,
Shotguns,454.0,507.0,522.0,490.0,455.0,,,,
Other guns,76.0,117.0,138.0,107.0,115.0,,,,
"Firearms, type not stated",992.0,1072.0,1488.0,1354.0,1705.0,,,,
Knives or cutting instruments,1828.0,1866.0,1920.0,1830.0,1796.0,,,,
"Blunt objects (clubs, hammers, etc.)",650.0,667.0,608.0,618.0,647.0,,,,
"Personal weapons (hands, fists, feet, etc.)1",962.0,943.0,905.0,841.0,854.0,,,,
Poison,9.0,13.0,9.0,12.0,10.0,,,,
Explosives,4.0,1.0,2.0,1.0,1.0,,,,
Fire,170.0,118.0,125.0,117.0,130.0,,,,
Narcotics,44.0,80.0,46.0,48.0,49.0,,,,
Drowning,17.0,16.0,20.0,12.0,12.0,,,,
Strangulation,184.0,156.0,118.0,137.0,134.0,,,,
Asphyxiation,131.0,109.0,96.0,106.0,108.0,,,,
Other weapons or weapons not stated,807.0,856.0,958.0,1140.0,1004.0,,,,
1 Pushed is included in personal weapons.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
