Table 10,,,,,,,,,,,
MISSISSIPPI,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2007",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,DeSoto,29.0,0.0,4.0,6.0,19.0,604.0,108.0,406.0,90.0,5.0
,Jackson,125.0,6.0,15.0,16.0,88.0,2050.0,533.0,1231.0,286.0,0.0
,Lamar,61.0,0.0,21.0,14.0,26.0,757.0,262.0,446.0,49.0,1.0
,Rankin,64.0,1.0,8.0,5.0,50.0,702.0,280.0,387.0,35.0,5.0
,Tate,10.0,1.0,1.0,0.0,8.0,266.0,94.0,128.0,44.0,0.0
,Tunica,99.0,3.0,3.0,29.0,64.0,744.0,112.0,575.0,57.0,
Nonmetropolitan Counties,Adams,41.0,2.0,10.0,6.0,23.0,529.0,169.0,310.0,50.0,12.0
,Chickasaw,21.0,2.0,0.0,3.0,16.0,38.0,20.0,16.0,2.0,0.0
,Claiborne,33.0,0.0,6.0,10.0,17.0,188.0,122.0,64.0,2.0,0.0
,Coahoma,7.0,0.0,0.0,3.0,4.0,146.0,60.0,65.0,21.0,0.0
,Grenada,11.0,1.0,1.0,4.0,5.0,131.0,37.0,63.0,31.0,1.0
,Jefferson,44.0,0.0,1.0,4.0,39.0,45.0,22.0,22.0,1.0,5.0
,Lauderdale,34.0,1.0,13.0,7.0,13.0,569.0,293.0,229.0,47.0,5.0
,Leake,0.0,0.0,0.0,0.0,0.0,28.0,15.0,11.0,2.0,1.0
,Lee,77.0,0.0,10.0,10.0,57.0,700.0,275.0,351.0,74.0,11.0
,Leflore,132.0,1.0,9.0,6.0,116.0,580.0,244.0,306.0,30.0,0.0
,Lincoln,14.0,2.0,1.0,1.0,10.0,337.0,71.0,238.0,28.0,2.0
,Lowndes,89.0,0.0,32.0,18.0,39.0,495.0,126.0,338.0,31.0,2.0
,Oktibbeha2,50.0,0.0,2.0,6.0,42.0,158.0,80.0,61.0,17.0,11.0
,Panola,55.0,0.0,8.0,12.0,35.0,456.0,202.0,223.0,31.0,4.0
,Pearl River,24.0,1.0,15.0,5.0,3.0,712.0,319.0,342.0,51.0,5.0
,Pike,33.0,2.0,0.0,8.0,23.0,499.0,192.0,269.0,38.0,
,Tippah,24.0,3.0,1.0,2.0,18.0,44.0,17.0,23.0,4.0,19.0
,Union,11.0,0.0,1.0,2.0,8.0,211.0,112.0,87.0,12.0,5.0
,Warren,15.0,0.0,2.0,2.0,11.0,339.0,118.0,181.0,40.0,0.0
,Washington,17.0,3.0,3.0,4.0,7.0,340.0,119.0,194.0,27.0,3.0
,Winston,33.0,1.0,1.0,1.0,30.0,25.0,10.0,14.0,1.0,0.0
1 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,
"2  Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,
