Table 19,,,,,,,,,,,,,,,,,,,
"Rate:  Number of Crimes per 100,000 Inhabitants",,,,,,,,,,,,,,,,,,,
Additional Information About Selected Offenses,,,,,,,,,,,,,,,,,,,
"by Population Group, 2017",,,,,,,,,,,,,,,,,,,
,,Rape1,,Robbery,,,,Aggravated assault,,,,Burglary,,,Motor vehicle theft,,,"Number 
of 
agencies","2017
estimated 
population"
,,"Rape by 
force","Assault to 
rape-
attempts",Firearm,"Knife or 
cutting 
instrument","Other 
weapon",Strong-arm,Firearm,"Knife or 
cutting 
instrument","Other 
weapon","Hands, 
fists, 
feet, etc.","Forcible 
entry","Unlawful 
entry","Attempted 
forcible 
entry",Autos,"Trucks 
and 
buses","Other 
vehicles",,
TOTAL ALL AGENCIES:,Number of offenses known,114793.0,5649.0,118745.0,23710.0,28555.0,121126.0,195194.0,127897.0,230469.0,188196.0,730575.0,460600.0,79714.0,544944.0,108936.0,68589.0,14121.0,293541938.0
,Rate,40.4,2.0,40.5,8.1,9.7,41.3,66.5,43.6,78.5,64.1,248.9,156.9,27.2,185.6,37.1,23.4,,
TOTAL CITIES,Number of offenses known,85114.0,4424.0,101850.0,21057.0,24942.0,107643.0,155606.0,103970.0,176309.0,139473.0,539947.0,335624.0,62280.0,442903.0,86739.0,47127.0,10231.0,198972636.0
,Rate,43.9,2.3,51.2,10.6,12.5,54.1,78.2,52.3,88.6,70.1,271.4,168.7,31.3,222.6,43.6,23.7,,
"GROUP I (250,000 and over)",Number of offenses known,32151.0,1932.0,58767.0,11280.0,13136.0,59020.0,83205.0,48408.0,81880.0,46914.0,216325.0,100285.0,22043.0,193779.0,47640.0,17988.0,80.0,58783977.0
,Rate,56.1,3.4,100.0,19.2,22.3,100.4,141.5,82.3,139.3,79.8,368.0,170.6,37.5,329.6,81.0,30.6,,
"1,000,000 and over (Group I subset)",Number of offenses known,12203.0,844.0,20893.0,5186.0,5351.0,25368.0,23696.0,21247.0,31344.0,22588.0,70324.0,29693.0,6695.0,58701.0,20938.0,6187.0,10.0,25129639.0
,Rate,48.6,3.4,83.1,20.6,21.3,100.9,94.3,84.5,124.7,89.9,279.8,118.2,26.6,233.6,83.3,24.6,,
"500,000 to 999,999 (Group I subset)",Number of offenses known,10485.0,591.0,22235.0,3746.0,5053.0,16860.0,32359.0,15671.0,30397.0,13121.0,84286.0,37449.0,8637.0,70776.0,16313.0,6738.0,24.0,17571403.0
,Rate,62.9,3.5,126.5,21.3,28.8,96.0,184.2,89.2,173.0,74.7,479.7,213.1,49.2,402.8,92.8,38.3,,
