Expanded Homicide Data Table 13,,,,,,,
Murder Circumstances,,,,,,,
"by Sex of Victim, 2017",,,,,,,
Circumstances,"Total
murder
victims",Male,Female,Unknown,,,
Total,15129.0,11862.0,3222.0,45.0,,,
Felony type total:,2236.0,1819.0,415.0,2.0,,,
Rape,18.0,2.0,16.0,0.0,,,
Robbery,680.0,600.0,79.0,1.0,,,
Burglary,90.0,68.0,22.0,0.0,,,
Larceny-theft,20.0,14.0,6.0,0.0,,,
Motor vehicle theft,31.0,21.0,10.0,0.0,,,
Arson,31.0,17.0,14.0,0.0,,,
Prostitution and commercialized vice,15.0,3.0,12.0,0.0,,,
Other sex offenses,8.0,3.0,5.0,0.0,,,
Narcotic drug laws,533.0,492.0,41.0,0.0,,,
Gambling,10.0,9.0,1.0,0.0,,,
Other-not specified,800.0,590.0,209.0,1.0,,,
Suspected felony type,153.0,119.0,34.0,0.0,,,
Other than felony type total:,6663.0,5044.0,1601.0,18.0,,,
Romantic triangle,107.0,84.0,23.0,0.0,,,
Child killed by babysitter,32.0,19.0,13.0,0.0,,,
Brawl due to influence of alcohol,118.0,90.0,28.0,0.0,,,
Brawl due to influence of narcotics,129.0,103.0,26.0,0.0,,,
Argument over money or property,199.0,172.0,27.0,0.0,,,
Other arguments,3224.0,2328.0,888.0,8.0,,,
Gangland killings,369.0,337.0,30.0,2.0,,,
Juvenile gang killings,381.0,365.0,16.0,0.0,,,
Institutional killings,14.0,13.0,1.0,0.0,,,
Sniper attack,2.0,2.0,0.0,0.0,,,
Other-not specified,2088.0,1531.0,549.0,8.0,,,
Unknown,6077.0,4880.0,1172.0,25.0,,,
,,,,,,,
