Table 9,,,,,,,,,,,,
ALABAMA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by University and College, 2007",,,,,,,,,,,,
University/College,Campus,Student enrollment1,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Alabama State University,,5565.0,13.0,0.0,0.0,9.0,4.0,136.0,28.0,106.0,2.0,1.0
Auburn University,Montgomery,5079.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,43.0,2.0,
Jacksonville State University,,8957.0,5.0,0.0,0.0,1.0,4.0,120.0,36.0,83.0,1.0,1.0
Troy University,,27938.0,2.0,0.0,1.0,1.0,0.0,180.0,17.0,162.0,1.0,0.0
University of Alabama,Tuscaloosa,23838.0,5.0,0.0,1.0,2.0,2.0,509.0,151.0,353.0,5.0,
University of Montevallo,,2895.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,43.0,0.0,
University of North Alabama,,6810.0,1.0,0.0,0.0,1.0,0.0,91.0,35.0,54.0,2.0,
University of South Alabama,,13090.0,14.0,0.0,2.0,0.0,12.0,171.0,46.0,119.0,6.0,
"1 The student enrollment figures provided by the United States Department of Education are for the 2006 school year, the most recent available.  The enrollment figures include full-time and part-time students.",,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors.  These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
