Expanded Homicide Data Table 11,,,,,,,,
"Murder Circumstances, 2003–2007",,,,,,,,
Circumstances,2003,2004,2005,2006,2007,,,
Total,14465.0,14210.0,14965.0,15087.0,14831.0,,,
Felony type total:,2385.0,2099.0,2189.0,2472.0,2184.0,,,
Rape,43.0,37.0,45.0,32.0,31.0,,,
Robbery,1061.0,993.0,930.0,1053.0,924.0,,,
Burglary,94.0,78.0,91.0,80.0,86.0,,,
Larceny-theft,21.0,17.0,12.0,16.0,11.0,,,
Motor vehicle theft,32.0,36.0,32.0,16.0,20.0,,,
Arson,77.0,28.0,39.0,27.0,58.0,,,
Prostitution and commercialized vice,16.0,9.0,13.0,8.0,11.0,,,
Other sex offenses,10.0,14.0,9.0,18.0,9.0,,,
Narcotic drug laws,679.0,558.0,597.0,806.0,583.0,,,
Gambling,6.0,7.0,2.0,4.0,4.0,,,
Othernot specified,346.0,322.0,419.0,412.0,447.0,,,
Suspected felony type,87.0,119.0,45.0,57.0,67.0,,,
Other than felony type total:,7130.0,7008.0,7096.0,7328.0,7105.0,,,
Romantic triangle,98.0,97.0,118.0,104.0,105.0,,,
Child killed by babysitter,27.0,17.0,26.0,27.0,34.0,,,
Brawl due to influence of alcohol,128.0,140.0,123.0,106.0,117.0,,,
Brawl due to influence of narcotics,53.0,99.0,97.0,53.0,61.0,,,
Argument over money or property,220.0,221.0,210.0,198.0,192.0,,,
Other arguments,3850.0,3772.0,3718.0,3644.0,3645.0,,,
Gangland killings,114.0,95.0,96.0,121.0,77.0,,,
Juvenile gang killings,819.0,805.0,756.0,864.0,676.0,,,
Institutional killings,13.0,17.0,12.0,22.0,11.0,,,
Sniper attack,2.0,1.0,2.0,2.0,1.0,,,
Othernot specified,1806.0,1744.0,1938.0,2187.0,2186.0,,,
Unknown,4863.0,4984.0,5635.0,5230.0,5475.0,,,
