Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2017",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
ALABAMA - Metropolitan Counties,Autauga,55.0,2.0,5.0,5.0,43.0,384.0,131.0,206.0,47.0,
,Baldwin,163.0,1.0,9.0,18.0,135.0,737.0,226.0,442.0,69.0,
,Bibb,3.0,0.0,1.0,1.0,1.0,69.0,41.0,24.0,4.0,
,Blount,313.0,1.0,14.0,5.0,293.0,812.0,198.0,502.0,112.0,
,Calhoun,18.0,0.0,7.0,7.0,4.0,211.0,93.0,117.0,1.0,
,Chilton,168.0,2.0,15.0,7.0,144.0,715.0,268.0,368.0,79.0,
,Colbert,58.0,0.0,13.0,3.0,42.0,267.0,84.0,151.0,32.0,
,Elmore,60.0,1.0,13.0,9.0,37.0,757.0,228.0,467.0,62.0,
,Etowah,104.0,2.0,13.0,3.0,86.0,526.0,186.0,276.0,64.0,
,Geneva,58.0,0.0,7.0,3.0,48.0,227.0,73.0,124.0,30.0,
,Hale,17.0,0.0,1.0,0.0,16.0,39.0,9.0,21.0,9.0,
,Henry,14.0,0.0,2.0,0.0,12.0,48.0,17.0,26.0,5.0,
,Houston,103.0,2.0,12.0,10.0,79.0,580.0,144.0,396.0,40.0,
,Jefferson,700.0,5.0,34.0,163.0,498.0,2311.0,1203.0,974.0,134.0,
,Lauderdale,37.0,0.0,4.0,1.0,32.0,165.0,41.0,87.0,37.0,
,Lawrence,71.0,2.0,9.0,3.0,57.0,356.0,101.0,206.0,49.0,
,Lee,420.0,2.0,20.0,12.0,386.0,1072.0,253.0,704.0,115.0,
,Limestone,154.0,2.0,28.0,10.0,114.0,1015.0,284.0,649.0,82.0,
,Lowndes,68.0,1.0,12.0,11.0,44.0,236.0,95.0,111.0,30.0,
,Madison,380.0,6.0,31.0,32.0,311.0,2074.0,549.0,1299.0,226.0,
,Mobile,136.0,5.0,11.0,21.0,99.0,2375.0,728.0,1310.0,337.0,
,Montgomery,115.0,0.0,2.0,14.0,99.0,389.0,122.0,222.0,45.0,
,Morgan,143.0,0.0,11.0,1.0,131.0,284.0,157.0,109.0,18.0,
,Russell,45.0,1.0,9.0,6.0,29.0,351.0,98.0,214.0,39.0,
,Shelby,98.0,0.0,30.0,6.0,62.0,690.0,232.0,401.0,57.0,
,Tuscaloosa,215.0,5.0,10.0,22.0,178.0,1363.0,414.0,781.0,168.0,
,Walker,84.0,0.0,9.0,10.0,65.0,587.0,144.0,330.0,113.0,
ALABAMA - Nonmetropolitan Counties,Barbour,34.0,0.0,3.0,3.0,28.0,100.0,33.0,57.0,10.0,
,Bullock,6.0,0.0,1.0,1.0,4.0,46.0,19.0,21.0,6.0,
,Butler,33.0,2.0,2.0,5.0,24.0,190.0,69.0,111.0,10.0,
,Chambers,3.0,0.0,0.0,1.0,2.0,89.0,33.0,52.0,4.0,
,Cherokee,48.0,3.0,8.0,2.0,35.0,357.0,131.0,196.0,30.0,
,Choctaw,13.0,1.0,0.0,0.0,12.0,21.0,4.0,13.0,4.0,
,Clarke,40.0,1.0,3.0,2.0,34.0,91.0,36.0,47.0,8.0,
,Cleburne,6.0,0.0,0.0,1.0,5.0,136.0,41.0,82.0,13.0,
,Coffee,23.0,2.0,5.0,2.0,14.0,138.0,46.0,77.0,15.0,
,Coosa,25.0,2.0,2.0,2.0,19.0,157.0,54.0,92.0,11.0,
,Covington,4.0,0.0,1.0,0.0,3.0,46.0,13.0,29.0,4.0,
,Cullman,73.0,0.0,34.0,10.0,29.0,954.0,224.0,608.0,122.0,
,Dale,44.0,2.0,15.0,4.0,23.0,194.0,53.0,114.0,27.0,
,Dallas,109.0,1.0,8.0,13.0,87.0,501.0,187.0,282.0,32.0,
,DeKalb,147.0,0.0,32.0,9.0,106.0,755.0,248.0,382.0,125.0,
,Franklin,30.0,0.0,9.0,1.0,20.0,291.0,101.0,155.0,35.0,
,Greene,32.0,0.0,0.0,3.0,29.0,99.0,39.0,44.0,16.0,
,Lamar,9.0,0.0,3.0,0.0,6.0,67.0,25.0,37.0,5.0,
,Macon,23.0,0.0,3.0,0.0,20.0,152.0,70.0,61.0,21.0,
,Marengo,52.0,2.0,6.0,4.0,40.0,211.0,99.0,90.0,22.0,
,Marion,19.0,0.0,2.0,0.0,17.0,153.0,63.0,75.0,15.0,
,Marshall,102.0,1.0,13.0,3.0,85.0,511.0,168.0,280.0,63.0,
,Monroe,39.0,0.0,0.0,4.0,35.0,108.0,40.0,61.0,7.0,
,Pike,19.0,0.0,3.0,1.0,15.0,88.0,33.0,51.0,4.0,
,Randolph,6.0,0.0,1.0,0.0,5.0,182.0,68.0,97.0,17.0,
,Sumter,15.0,1.0,0.0,1.0,13.0,60.0,23.0,26.0,11.0,
,Talladega,96.0,2.0,13.0,7.0,74.0,720.0,192.0,460.0,68.0,
,Tallapoosa,21.0,0.0,8.0,3.0,10.0,118.0,34.0,81.0,3.0,
,Wilcox,46.0,2.0,2.0,4.0,38.0,123.0,74.0,45.0,4.0,
,Winston,19.0,0.0,6.0,1.0,12.0,83.0,30.0,47.0,6.0,
ARIZONA - Metropolitan Counties,Cochise,189.0,0.0,14.0,8.0,167.0,616.0,64.0,492.0,60.0,0.0
,Coconino,105.0,3.0,18.0,3.0,81.0,422.0,108.0,287.0,27.0,12.0
,Maricopa,1389.0,18.0,151.0,133.0,1087.0,5411.0,1004.0,3733.0,674.0,66.0
,Mohave,172.0,4.0,21.0,24.0,123.0,2425.0,800.0,1394.0,231.0,13.0
,Pima,650.0,15.0,82.0,189.0,364.0,8851.0,1776.0,6411.0,664.0,57.0
,Pinal,219.0,7.0,27.0,16.0,169.0,2195.0,555.0,1411.0,229.0,15.0
,Yavapai,249.0,3.0,30.0,12.0,204.0,1153.0,301.0,743.0,109.0,16.0
,Yuma,149.0,11.0,22.0,8.0,108.0,1001.0,378.0,521.0,102.0,11.0
ARIZONA - Nonmetropolitan Counties,Graham,8.0,0.0,0.0,1.0,7.0,130.0,29.0,83.0,18.0,14.0
,Greenlee,1.0,0.0,0.0,0.0,1.0,51.0,30.0,15.0,6.0,0.0
,Navajo,85.0,1.0,3.0,4.0,77.0,441.0,182.0,211.0,48.0,1.0
ARKANSAS - Metropolitan Counties,Benton,125.0,1.0,38.0,0.0,86.0,712.0,408.0,255.0,49.0,1.0
,Cleveland,11.0,0.0,1.0,1.0,9.0,94.0,47.0,41.0,6.0,0.0
