Arrest Table,,,,,,,,
Arrests for Drug Abuse Violations,,,,,,,,
"Percent Distribution by Region, 2017",,,,,,,,
Drug abuse violations,,"United
States
total",Northeast,Midwest,South,West,,
Total1,,100.0,100.0,100.0,100.0,100.0,,
Sale/Manufacturing:,Total,14.6,20.3,13.9,15.7,10.2,,
,Heroin or cocaine and their derivatives,5.2,11.6,3.5,4.5,3.7,,
,Marijuana,3.7,5.3,5.3,3.8,1.7,,
,Synthetic or manufactured drugs,1.6,1.5,0.9,3.0,0.4,,
,Other dangerous nonnarcotic drugs,4.0,2.0,4.3,4.3,4.5,,
Possession:,Total,85.4,79.7,86.1,84.3,89.8,,
,Heroin or cocaine and their derivatives,20.6,22.2,12.2,14.0,34.5,,
,Marijuana,36.7,44.3,48.1,44.9,13.6,,
,Synthetic or manufactured drugs,4.8,3.7,5.2,6.8,2.5,,
,Other dangerous nonnarcotic drugs,23.3,9.4,20.6,18.7,39.1,,
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,
