Table 9,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by University and College, 2007",,,,,,,,,,,,
University/College,Campus,Student enrollment1,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Austin Peay State University,,9207.0,6.0,0.0,2.0,1.0,3.0,58.0,2.0,56.0,0.0,1.0
Christian Brothers University,,1779.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,35.0,4.0,3.0
East Tennessee State University,,12390.0,5.0,0.0,0.0,2.0,3.0,97.0,17.0,75.0,5.0,3.0
Middle Tennessee State University,,22863.0,16.0,0.0,3.0,3.0,10.0,264.0,73.0,186.0,5.0,2.0
Northeast State Technical Community College,,5145.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,15.0,0.0,0.0
Southwest Tennessee Community College,,11446.0,1.0,0.0,0.0,1.0,0.0,75.0,0.0,70.0,5.0,0.0
Tennessee State University,,9038.0,7.0,0.0,0.0,3.0,4.0,114.0,4.0,103.0,7.0,0.0
Tennessee Technological University,,9733.0,4.0,0.0,0.0,1.0,3.0,120.0,26.0,90.0,4.0,0.0
University of Memphis,,20562.0,6.0,1.0,2.0,1.0,2.0,200.0,32.0,159.0,9.0,1.0
University of Tennessee:,Chattanooga,8923.0,7.0,0.0,1.0,2.0,4.0,204.0,62.0,138.0,4.0,1.0
,Knoxville,28901.0,6.0,0.0,2.0,1.0,3.0,411.0,3.0,402.0,6.0,0.0
,Martin,6888.0,3.0,0.0,0.0,2.0,1.0,73.0,16.0,54.0,3.0,0.0
,Memphis3,,2.0,0.0,0.0,1.0,1.0,66.0,1.0,60.0,5.0,0.0
Vanderbilt University,,11607.0,41.0,0.0,13.0,4.0,24.0,526.0,51.0,473.0,2.0,3.0
Volunteer State Community College,,7370.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,23.0,0.0,0.0
Walters State Community College,,5738.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
"1 The student enrollment figures provided by the United States Department of Education are for the 2006 school year, the most recent available.  The enrollment figures include full-time and part-time students.",,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,
3 Student enrollment figures were not available.,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors.  These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
