Table 55C,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,
Metropolitan Counties,,,,,,,,,,,,,,,,,,
"by Race and Ethnicity, 2017-Continued",,,,,,,,,,,,,,,,,,
"[1,458 agencies; 2017 estimated population 57,699,058]",,,,,,,,,,,,,,,,,,
,Arrests 18 and over,,,,,,Percent distribution1,,,,,,Arrests 18 and over,,,Percent distribution1,,
,Race,,,,,,,,,,,,Ethnicity,,,,,
Offense charged,Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total2,"Hispanic
or
Latino","Not
Hispanic
or Latino",Total,"Hispanic
or
Latino","Not
Hispanic
or Latino"
TOTAL,1519422.0,1105238.0,378233.0,13892.0,17986.0,4073.0,100.0,72.7,24.9,0.9,1.2,0.3,1208751.0,206932.0,1001819.0,100.0,17.1,82.9
Murder and nonnegligent manslaughter,1787.0,1022.0,726.0,9.0,30.0,0.0,100.0,57.2,40.6,0.5,1.7,0.0,1260.0,289.0,971.0,100.0,22.9,77.1
Rape3,2981.0,2329.0,585.0,23.0,39.0,5.0,100.0,78.1,19.6,0.8,1.3,0.2,2236.0,558.0,1678.0,100.0,25.0,75.0
Robbery,8188.0,4183.0,3869.0,53.0,57.0,26.0,100.0,51.1,47.3,0.6,0.7,0.3,6380.0,1108.0,5272.0,100.0,17.4,82.6
Aggravated assault,53854.0,38223.0,14294.0,488.0,693.0,156.0,100.0,71.0,26.5,0.9,1.3,0.3,43453.0,9410.0,34043.0,100.0,21.7,78.3
Burglary,25203.0,19154.0,5661.0,124.0,204.0,60.0,100.0,76.0,22.5,0.5,0.8,0.2,19273.0,2499.0,16774.0,100.0,13.0,87.0
Larceny-theft,91045.0,61280.0,28066.0,491.0,1065.0,143.0,100.0,67.3,30.8,0.5,1.2,0.2,66606.0,6374.0,60232.0,100.0,9.6,90.4
Motor vehicle theft,12179.0,9388.0,2455.0,76.0,163.0,97.0,100.0,77.1,20.2,0.6,1.3,0.8,10181.0,2531.0,7650.0,100.0,24.9,75.1
Arson,997.0,770.0,196.0,8.0,20.0,3.0,100.0,77.2,19.7,0.8,2.0,0.3,809.0,116.0,693.0,100.0,14.3,85.7
Violent crime4,66810.0,45757.0,19474.0,573.0,819.0,187.0,100.0,68.5,29.1,0.9,1.2,0.3,53329.0,11365.0,41964.0,100.0,21.3,78.7
Property crime4,129424.0,90592.0,36378.0,699.0,1452.0,303.0,100.0,70.0,28.1,0.5,1.1,0.2,96869.0,11520.0,85349.0,100.0,11.9,88.1
Other assaults,129073.0,95617.0,30662.0,1117.0,1417.0,260.0,100.0,74.1,23.8,0.9,1.1,0.2,103322.0,14526.0,88796.0,100.0,14.1,85.9
Forgery and counterfeiting,8576.0,5390.0,2995.0,48.0,134.0,9.0,100.0,62.8,34.9,0.6,1.6,0.1,6424.0,978.0,5446.0,100.0,15.2,84.8
Fraud,20123.0,13821.0,5946.0,120.0,225.0,11.0,100.0,68.7,29.5,0.6,1.1,0.1,15333.0,1559.0,13774.0,100.0,10.2,89.8
Embezzlement,2071.0,1276.0,759.0,3.0,33.0,0.0,100.0,61.6,36.6,0.1,1.6,0.0,1766.0,134.0,1632.0,100.0,7.6,92.4
"Stolen property; buying, receiving, possessing",14583.0,10543.0,3809.0,108.0,107.0,16.0,100.0,72.3,26.1,0.7,0.7,0.1,10292.0,1916.0,8376.0,100.0,18.6,81.4
Vandalism,20283.0,15148.0,4731.0,183.0,207.0,14.0,100.0,74.7,23.3,0.9,1.0,0.1,16649.0,2342.0,14307.0,100.0,14.1,85.9
"Weapons; carrying, possessing, etc.",20911.0,12914.0,7600.0,121.0,204.0,72.0,100.0,61.8,36.3,0.6,1.0,0.3,16510.0,3554.0,12956.0,100.0,21.5,78.5
Prostitution and commercialized vice,3401.0,1792.0,1294.0,13.0,296.0,6.0,100.0,52.7,38.0,0.4,8.7,0.2,2740.0,532.0,2208.0,100.0,19.4,80.6
Sex offenses (except rape and prostitution),6717.0,5285.0,1305.0,31.0,81.0,15.0,100.0,78.7,19.4,0.5,1.2,0.2,5424.0,1342.0,4082.0,100.0,24.7,75.3
Drug abuse violations,250807.0,179678.0,66548.0,1497.0,2630.0,454.0,100.0,71.6,26.5,0.6,1.0,0.2,196533.0,34972.0,161561.0,100.0,17.8,82.2
Gambling,537.0,279.0,138.0,2.0,86.0,32.0,100.0,52.0,25.7,0.4,16.0,6.0,357.0,121.0,236.0,100.0,33.9,66.1
Offenses against the family and children,25137.0,16401.0,8460.0,118.0,154.0,4.0,100.0,65.2,33.7,0.5,0.6,*,20718.0,2321.0,18397.0,100.0,11.2,88.8
Driving under the influence,199513.0,163619.0,29733.0,1362.0,4272.0,527.0,100.0,82.0,14.9,0.7,2.1,0.3,174127.0,47303.0,126824.0,100.0,27.2,72.8
Liquor laws,16952.0,13859.0,2441.0,308.0,319.0,25.0,100.0,81.8,14.4,1.8,1.9,0.1,12271.0,1808.0,10463.0,100.0,14.7,85.3
Drunkenness,25256.0,21031.0,3584.0,245.0,338.0,58.0,100.0,83.3,14.2,1.0,1.3,0.2,23262.0,5962.0,17300.0,100.0,25.6,74.4
Disorderly conduct,26334.0,18591.0,7142.0,323.0,245.0,33.0,100.0,70.6,27.1,1.2,0.9,0.1,19181.0,1848.0,17333.0,100.0,9.6,90.4
Vagrancy,1833.0,1388.0,430.0,7.0,7.0,1.0,100.0,75.7,23.5,0.4,0.4,0.1,1391.0,213.0,1178.0,100.0,15.3,84.7
All other offenses (except traffic),551025.0,392231.0,144774.0,7014.0,4960.0,2046.0,100.0,71.2,26.3,1.3,0.9,0.4,432201.0,62613.0,369588.0,100.0,14.5,85.5
Suspicion,56.0,26.0,30.0,0.0,0.0,0.0,100.0,46.4,53.6,0.0,0.0,0.0,52.0,3.0,49.0,100.0,5.8,94.2
Curfew and loitering law violations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,,,,,,,,
"2 The ethnicity totals are representative of those agencies that provided ethnicity breakdowns. Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal.",,,,,,,,,,,,,,,,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,
"4 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,,,,,
