Expanded Homicide Data Table 5,,,,,,,,,,
Murder,,,,,,,,,,
"Race and Sex of Victim by Race and Sex of Offender, 2007",,,,,,,,,,
[Single victim/single offender],,,,,,,,,,
Race of victim,Total,Race of offender,,,,Sex of offender,,,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,
White victims,3587.0,2918.0,566.0,51.0,52.0,3183.0,352.0,52.0,,
Black victims,3221.0,245.0,2905.0,11.0,60.0,2859.0,302.0,60.0,,
Other race victims,173.0,50.0,25.0,95.0,3.0,156.0,14.0,3.0,,
Unknown race,88.0,31.0,30.0,3.0,24.0,60.0,4.0,24.0,,
Sex of victim,Total,Race of offender,,,,Sex of offender,,,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,
Male victims,5042.0,2071.0,2777.0,100.0,94.0,4451.0,497.0,94.0,,
Female victims,1939.0,1142.0,719.0,57.0,21.0,1747.0,171.0,21.0,,
Unknown sex,88.0,31.0,30.0,3.0,24.0,60.0,4.0,24.0,,
"NOTE:  This table is based on incidents where some information about the offender is known by law enforcement; therefore, when the offender age, sex, and race are all reported as unknown, these data are excluded from the table.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
