Expanded Homicide Data Table 5,,,,,,,
Murder,,,,,,,
"Age of Victim by Age of Offender, 2017",,,,,,,
[Single victim/single offender],,,,,,,
Age of victim,Total,Age of offender,,,,,
,,Under 18,18 and over,Unknown,,,
Total,6902.0,318.0,6307.0,277.0,,,
Under 18,543.0,85.0,450.0,8.0,,,
18 and over,6307.0,228.0,5815.0,264.0,,,
Unknown,52.0,5.0,42.0,5.0,,,
"NOTE:  This table is based on incidents where some information about the offender is known by law enforcement; therefore, when the offender age, sex, and race are all reported as unknown, these data are excluded from the table.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
