Table 10,,,,,,,,,,,
MISSOURI,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2007",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,Andrew,14.0,0.0,0.0,2.0,12.0,198.0,63.0,124.0,11.0,0.0
,Bates,20.0,0.0,2.0,0.0,18.0,155.0,45.0,83.0,27.0,1.0
,Boone,126.0,0.0,6.0,14.0,106.0,804.0,201.0,562.0,41.0,8.0
,Buchanan,37.0,0.0,1.0,4.0,32.0,174.0,43.0,113.0,18.0,1.0
,Caldwell,5.0,0.0,0.0,0.0,5.0,81.0,31.0,37.0,13.0,1.0
,Callaway,31.0,0.0,6.0,1.0,24.0,775.0,186.0,532.0,57.0,5.0
,Cass,72.0,0.0,5.0,0.0,67.0,431.0,139.0,243.0,49.0,0.0
,Christian,176.0,0.0,2.0,0.0,174.0,273.0,78.0,158.0,37.0,2.0
,Clay,20.0,1.0,1.0,2.0,16.0,198.0,80.0,102.0,16.0,4.0
,Clinton,8.0,1.0,1.0,0.0,6.0,112.0,36.0,68.0,8.0,0.0
,Cole,29.0,1.0,3.0,1.0,24.0,472.0,131.0,304.0,37.0,3.0
,Dallas,26.0,0.0,2.0,2.0,22.0,217.0,96.0,107.0,14.0,7.0
,De Kalb,43.0,0.0,1.0,0.0,42.0,82.0,30.0,44.0,8.0,2.0
,Franklin,64.0,1.0,5.0,0.0,58.0,906.0,214.0,623.0,69.0,3.0
,Greene,282.0,1.0,9.0,14.0,258.0,1445.0,333.0,1010.0,102.0,0.0
,Howard,16.0,1.0,0.0,0.0,15.0,44.0,21.0,21.0,2.0,0.0
,Jackson,70.0,1.0,5.0,17.0,47.0,612.0,192.0,335.0,85.0,0.0
,Jasper,106.0,1.0,12.0,7.0,86.0,772.0,225.0,496.0,51.0,2.0
,Jefferson,396.0,2.0,36.0,17.0,341.0,3418.0,377.0,2827.0,214.0,36.0
,Lafayette,12.0,0.0,4.0,0.0,8.0,219.0,88.0,108.0,23.0,0.0
,Lincoln,71.0,0.0,2.0,1.0,68.0,250.0,86.0,137.0,27.0,3.0
,McDonald,70.0,1.0,7.0,3.0,59.0,368.0,99.0,228.0,41.0,9.0
,Moniteau2,20.0,0.0,1.0,0.0,19.0,47.0,15.0,27.0,5.0,0.0
,Newton,78.0,3.0,8.0,4.0,63.0,815.0,180.0,562.0,73.0,9.0
,Osage,6.0,0.0,0.0,0.0,6.0,142.0,43.0,83.0,16.0,0.0
,Platte,37.0,0.0,3.0,1.0,33.0,325.0,69.0,247.0,9.0,4.0
,Polk,28.0,1.0,0.0,0.0,27.0,271.0,124.0,135.0,12.0,0.0
,St. Charles,234.0,3.0,10.0,11.0,210.0,1490.0,372.0,1030.0,88.0,36.0
,St. Louis County Police Department,1290.0,15.0,62.0,334.0,879.0,10688.0,2454.0,7186.0,1048.0,89.0
,Warren,55.0,0.0,2.0,0.0,53.0,289.0,72.0,188.0,29.0,3.0
,Washington,50.0,0.0,1.0,2.0,47.0,242.0,81.0,137.0,24.0,4.0
,Webster,43.0,0.0,0.0,0.0,43.0,133.0,25.0,92.0,16.0,2.0
Nonmetropolitan Counties,Adair,6.0,0.0,0.0,0.0,6.0,18.0,5.0,12.0,1.0,0.0
,Atchison,1.0,0.0,0.0,0.0,1.0,11.0,7.0,3.0,1.0,1.0
,Audrain,16.0,0.0,2.0,3.0,11.0,186.0,48.0,131.0,7.0,1.0
,Barry,41.0,2.0,8.0,0.0,31.0,440.0,149.0,266.0,25.0,6.0
,Barton,14.0,0.0,3.0,0.0,11.0,80.0,19.0,61.0,0.0,0.0
,Benton,35.0,0.0,5.0,0.0,30.0,213.0,84.0,119.0,10.0,2.0
,Bollinger,7.0,2.0,1.0,0.0,4.0,98.0,27.0,70.0,1.0,0.0
,Butler,74.0,0.0,0.0,0.0,74.0,610.0,128.0,438.0,44.0,0.0
,Camden,64.0,2.0,1.0,3.0,58.0,460.0,123.0,302.0,35.0,3.0
,Cape Girardeau,83.0,0.0,3.0,2.0,78.0,283.0,70.0,198.0,15.0,3.0
,Carroll,5.0,0.0,1.0,0.0,4.0,38.0,15.0,20.0,3.0,0.0
,Carter,8.0,0.0,0.0,0.0,8.0,41.0,16.0,19.0,6.0,0.0
,Cedar,3.0,0.0,0.0,0.0,3.0,116.0,29.0,82.0,5.0,0.0
,Clark,5.0,0.0,0.0,0.0,5.0,51.0,21.0,23.0,7.0,2.0
,Cooper,9.0,0.0,0.0,0.0,9.0,145.0,27.0,100.0,18.0,0.0
,Crawford,100.0,0.0,8.0,0.0,92.0,181.0,79.0,92.0,10.0,0.0
,Dade,10.0,0.0,1.0,0.0,9.0,36.0,10.0,22.0,4.0,0.0
,Daviess,7.0,0.0,3.0,1.0,3.0,61.0,32.0,25.0,4.0,0.0
,Dent,8.0,1.0,1.0,0.0,6.0,128.0,49.0,72.0,7.0,2.0
,Douglas,26.0,0.0,4.0,0.0,22.0,90.0,35.0,40.0,15.0,2.0
,Dunklin,19.0,0.0,2.0,1.0,16.0,210.0,53.0,146.0,11.0,2.0
,Gasconade,36.0,0.0,1.0,0.0,35.0,99.0,47.0,42.0,10.0,3.0
