Table 8,,,,,,,,,,,
MINNESOTA1,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2007",,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Albany,2072.0,,0.0,,0.0,0.0,7.0,1.0,6.0,0.0,0.0
Albert Lea,17663.0,,0.0,,1.0,19.0,400.0,38.0,335.0,27.0,0.0
Alexandria,11029.0,,1.0,,1.0,9.0,328.0,24.0,299.0,5.0,2.0
Annandale,3114.0,,0.0,,2.0,4.0,110.0,12.0,93.0,5.0,0.0
Anoka,17413.0,,0.0,,11.0,16.0,818.0,103.0,659.0,56.0,4.0
Appleton,1929.0,,0.0,,0.0,4.0,60.0,14.0,42.0,4.0,0.0
Apple Valley,50794.0,,0.0,,21.0,39.0,1509.0,195.0,1275.0,39.0,2.0
Austin,23300.0,,1.0,,11.0,31.0,837.0,112.0,682.0,43.0,2.0
Avon,1284.0,,0.0,,0.0,0.0,16.0,2.0,14.0,0.0,1.0
Baxter,8243.0,,1.0,,0.0,8.0,285.0,7.0,274.0,4.0,0.0
Bayport,3266.0,,0.0,,0.0,4.0,37.0,6.0,27.0,4.0,0.0
Becker,4294.0,,0.0,,0.0,0.0,3.0,0.0,2.0,1.0,0.0
Belgrade,705.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belle Plaine,4998.0,,0.0,,0.0,8.0,114.0,13.0,97.0,4.0,3.0
Bemidji,13448.0,,0.0,,8.0,43.0,1127.0,130.0,953.0,44.0,2.0
Benson,3096.0,,0.0,,0.0,4.0,80.0,22.0,55.0,3.0,0.0
Big Lake,9852.0,,0.0,,1.0,12.0,359.0,48.0,300.0,11.0,0.0
Biwabik,944.0,,0.0,,0.0,1.0,4.0,0.0,4.0,0.0,0.0
Blackduck,765.0,,0.0,,0.0,2.0,23.0,2.0,21.0,0.0,1.0
Blaine,56747.0,,3.0,,10.0,34.0,2259.0,265.0,1904.0,90.0,8.0
Blooming Prairie,1975.0,,0.0,,0.0,1.0,28.0,8.0,15.0,5.0,0.0
Bloomington,80218.0,,0.0,,51.0,61.0,3210.0,356.0,2674.0,180.0,14.0
Blue Earth,3366.0,,0.0,,0.0,3.0,98.0,19.0,76.0,3.0,0.0
Brainerd,13731.0,,0.0,,2.0,42.0,523.0,79.0,422.0,22.0,6.0
Breckenridge,3325.0,,0.0,,0.0,1.0,68.0,4.0,62.0,2.0,0.0
Brooklyn Center,27118.0,,4.0,,96.0,81.0,1987.0,246.0,1540.0,201.0,5.0
Brooklyn Park,70112.0,,3.0,,118.0,169.0,3093.0,608.0,2162.0,323.0,11.0
Browns Valley,619.0,,0.0,,0.0,3.0,7.0,2.0,5.0,0.0,0.0
Brownton,795.0,,0.0,,0.0,0.0,6.0,0.0,5.0,1.0,0.0
Buffalo,14456.0,,0.0,,2.0,12.0,462.0,41.0,408.0,13.0,1.0
Caledonia,2910.0,,0.0,,0.0,0.0,54.0,10.0,43.0,1.0,0.0
Cannon Falls,4038.0,,0.0,,0.0,1.0,190.0,16.0,166.0,8.0,2.0
Centennial Lakes,11454.0,,0.0,,0.0,11.0,174.0,20.0,148.0,6.0,0.0
Champlin,23463.0,,0.0,,6.0,10.0,550.0,61.0,461.0,28.0,0.0
Chaska,24764.0,,1.0,,2.0,7.0,339.0,36.0,294.0,9.0,2.0
Chisholm,4592.0,,0.0,,1.0,7.0,159.0,32.0,119.0,8.0,0.0
Cloquet,11523.0,,0.0,,0.0,27.0,497.0,41.0,436.0,20.0,4.0
Cold Spring,3726.0,,0.0,,0.0,5.0,86.0,8.0,78.0,0.0,0.0
