Table 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2017
estimated 
population"
ALABAMA,Under 18,4707.0,365.0,1264.0,18.0,34.0,116.0,197.0,323.0,860.0,71.0,10.0,782.0,13.0,29.0,1.0,134.0,86.0,103.0,0.0,26.0,196.0,0.0,29.0,42.0,212.0,34.0,338.0,0.0,1053.0,0.0,0.0,223.0,3737635.0
,Total all ages,153285.0,6005.0,18366.0,317.0,344.0,1140.0,4204.0,3223.0,14030.0,994.0,119.0,16455.0,1189.0,3258.0,161.0,2484.0,1413.0,1963.0,2.0,550.0,11267.0,0.0,822.0,7194.0,2064.0,6165.0,2018.0,56.0,71853.0,0.0,0.0,,
ALASKA,Under 18,1570.0,164.0,459.0,1.0,26.0,20.0,117.0,117.0,258.0,78.0,6.0,320.0,2.0,5.0,7.0,5.0,98.0,21.0,1.0,9.0,180.0,0.0,0.0,23.0,80.0,10.0,14.0,0.0,172.0,0.0,0.0,32.0,736205.0
,Total all ages,29152.0,2374.0,3695.0,46.0,126.0,289.0,1913.0,623.0,2356.0,694.0,22.0,4478.0,113.0,219.0,77.0,105.0,1004.0,369.0,5.0,256.0,1004.0,0.0,159.0,3102.0,653.0,43.0,757.0,2.0,10737.0,0.0,0.0,,
ARIZONA,Under 18,22613.0,1228.0,4528.0,30.0,52.0,450.0,696.0,761.0,3364.0,347.0,56.0,3677.0,22.0,74.0,6.0,156.0,1754.0,258.0,4.0,218.0,3096.0,1.0,182.0,198.0,1461.0,78.0,1424.0,57.0,3062.0,3.0,1126.0,91.0,6400872.0
,Total all ages,277698.0,12832.0,34919.0,261.0,339.0,2085.0,10147.0,3974.0,29142.0,1590.0,213.0,26801.0,1201.0,2076.0,457.0,1410.0,10287.0,3090.0,303.0,1289.0,33230.0,12.0,2680.0,24195.0,8935.0,15574.0,15505.0,616.0,81016.0,144.0,1126.0,,
ARKANSAS,Under 18,7878.0,459.0,1562.0,15.0,46.0,101.0,297.0,386.0,1083.0,88.0,5.0,1443.0,15.0,29.0,5.0,144.0,287.0,126.0,0.0,18.0,876.0,0.0,6.0,32.0,205.0,85.0,609.0,0.0,1667.0,0.0,310.0,264.0,2760388.0
,Total all ages,123971.0,4715.0,12355.0,138.0,238.0,563.0,3776.0,2026.0,9686.0,603.0,40.0,11347.0,830.0,893.0,54.0,1766.0,1510.0,1106.0,172.0,92.0,17515.0,13.0,293.0,5988.0,1475.0,6247.0,2469.0,315.0,54506.0,0.0,310.0,,
CALIFORNIA,Under 18,51603.0,7152.0,10712.0,98.0,295.0,2952.0,3807.0,4067.0,4616.0,1774.0,255.0,8483.0,45.0,175.0,23.0,1167.0,2656.0,3081.0,18.0,1139.0,3781.0,11.0,2.0,455.0,1107.0,695.0,1193.0,103.0,8607.0,0.0,998.0,676.0,39386220.0
,Total all ages,1093363.0,109117.0,105757.0,1499.0,2561.0,16942.0,88115.0,38094.0,46602.0,19501.0,1560.0,80248.0,4440.0,6903.0,990.0,17398.0,16883.0,28547.0,7056.0,9244.0,212025.0,287.0,227.0,122961.0,7079.0,63278.0,3530.0,6773.0,289622.0,0.0,998.0,,
COLORADO,Under 18,21183.0,773.0,3921.0,18.0,58.0,230.0,467.0,339.0,3135.0,377.0,70.0,1924.0,10.0,87.0,17.0,21.0,878.0,325.0,0.0,133.0,2615.0,2.0,34.0,239.0,1282.0,11.0,1729.0,0.0,6130.0,0.0,1052.0,198.0,5083702.0
,Total all ages,234409.0,7721.0,27157.0,176.0,442.0,1203.0,5900.0,2389.0,21737.0,2766.0,265.0,17009.0,734.0,2400.0,126.0,496.0,5508.0,2309.0,521.0,471.0,16626.0,19.0,3235.0,23664.0,8143.0,485.0,7284.0,596.0,108846.0,7.0,1052.0,,
CONNECTICUT,Under 18,8133.0,436.0,1858.0,6.0,22.0,197.0,211.0,287.0,1222.0,324.0,25.0,1961.0,11.0,30.0,4.0,125.0,451.0,181.0,2.0,46.0,585.0,0.0,25.0,28.0,27.0,0.0,1406.0,1.0,953.0,0.0,3.0,105.0,3538025.0
,Total all ages,100211.0,3844.0,14074.0,85.0,190.0,1082.0,2487.0,1998.0,11076.0,926.0,74.0,18621.0,649.0,912.0,144.0,693.0,2188.0,1242.0,183.0,368.0,9174.0,7.0,1500.0,8228.0,159.0,5.0,10579.0,24.0,27614.0,0.0,3.0,,
DELAWARE,Under 18,3360.0,284.0,661.0,1.0,18.0,84.0,181.0,146.0,462.0,35.0,18.0,911.0,0.0,60.0,4.0,73.0,154.0,82.0,0.0,37.0,335.0,1.0,0.0,0.0,71.0,3.0,287.0,0.0,364.0,0.0,33.0,62.0,961939.0
,Total all ages,31549.0,1989.0,6156.0,42.0,69.0,476.0,1402.0,950.0,5038.0,136.0,32.0,6225.0,283.0,1837.0,221.0,401.0,749.0,338.0,81.0,122.0,4015.0,20.0,176.0,347.0,635.0,377.0,1339.0,226.0,5979.0,0.0,33.0,,
DISTRICT OF COLUMBIA5,Under 18,594.0,80.0,39.0,0.0,0.0,60.0,20.0,0.0,39.0,0.0,0.0,79.0,1.0,2.0,0.0,9.0,12.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,306.0,0.0,0.0,2.0,0.0
,Total all ages,17986.0,133.0,101.0,0.0,0.0,84.0,49.0,1.0,95.0,5.0,0.0,333.0,2.0,8.0,0.0,21.0,54.0,47.0,0.0,13.0,237.0,0.0,4.0,22.0,1174.0,72.0,284.0,10.0,15471.0,0.0,0.0,,
"FLORIDA6, 7",Under 18,55359.0,3829.0,15812.0,43.0,263.0,1545.0,1978.0,4066.0,9081.0,2617.0,48.0,8456.0,46.0,423.0,20.0,184.0,1178.0,864.0,11.0,250.0,5497.0,0.0,0.0,96.0,529.0,0.0,1.0,0.0,18158.0,0.0,5.0,605.0,20971216.0
,Total all ages,713085.0,36251.0,91063.0,635.0,1873.0,6398.0,27345.0,16483.0,66033.0,8306.0,241.0,78943.0,2040.0,11613.0,1057.0,1841.0,6371.0,6306.0,2468.0,3001.0,124487.0,71.0,4.0,32727.0,11739.0,37.0,33.0,0.0,303028.0,0.0,5.0,,
GEORGIA,Under 18,19766.0,1206.0,5177.0,46.0,42.0,396.0,722.0,996.0,3697.0,457.0,27.0,2712.0,48.0,110.0,9.0,373.0,567.0,412.0,4.0,313.0,2127.0,6.0,129.0,99.0,260.0,30.0,1637.0,129.0,4080.0,7.0,331.0,389.0,8205589.0
,Total all ages,230640.0,10843.0,31080.0,380.0,284.0,1697.0,8482.0,4035.0,25397.0,1499.0,149.0,20268.0,2241.0,3028.0,292.0,2881.0,3633.0,3317.0,379.0,2434.0,40608.0,58.0,2805.0,17436.0,3458.0,1457.0,13334.0,1285.0,69459.0,13.0,331.0,,
HAWAII,Under 18,3084.0,135.0,597.0,2.0,15.0,56.0,62.0,60.0,494.0,36.0,7.0,440.0,3.0,2.0,1.0,48.0,75.0,13.0,0.0,32.0,436.0,0.0,0.0,29.0,76.0,0.0,87.0,0.0,893.0,0.0,217.0,4.0,1427538.0
,Total all ages,35618.0,1227.0,3748.0,36.0,114.0,270.0,807.0,436.0,2865.0,424.0,23.0,3837.0,76.0,147.0,11.0,414.0,426.0,247.0,120.0,155.0,2724.0,156.0,13.0,5968.0,467.0,0.0,919.0,0.0,14744.0,2.0,217.0,,
IDAHO,Under 18,6260.0,184.0,1246.0,0.0,49.0,19.0,116.0,172.0,974.0,80.0,20.0,744.0,3.0,31.0,3.0,18.0,236.0,95.0,0.0,67.0,969.0,0.0,13.0,48.0,198.0,31.0,254.0,2.0,1979.0,2.0,137.0,82.0,1534173.0
,Total all ages,51686.0,1441.0,5192.0,10.0,120.0,70.0,1241.0,790.0,4138.0,220.0,44.0,4513.0,127.0,299.0,43.0,170.0,756.0,276.0,13.0,188.0,8432.0,0.0,636.0,5458.0,1010.0,566.0,1582.0,15.0,20826.0,6.0,137.0,,
ILLINOIS6,Under 18,8587.0,842.0,2593.0,28.0,18.0,603.0,193.0,195.0,1084.0,1301.0,13.0,1411.0,1.0,8.0,0.0,25.0,288.0,693.0,0.0,16.0,845.0,60.0,5.0,1.0,22.0,0.0,669.0,0.0,1057.0,0.0,51.0,2.0,2852941.0
,Total all ages,64552.0,3823.0,11653.0,272.0,259.0,1464.0,1828.0,882.0,7599.0,3113.0,59.0,13083.0,108.0,224.0,1.0,71.0,2076.0,4290.0,141.0,235.0,10915.0,457.0,277.0,2357.0,131.0,0.0,2988.0,18.0,11653.0,0.0,51.0,,
INDIANA,Under 18,11369.0,842.0,2724.0,17.0,48.0,218.0,559.0,301.0,2104.0,294.0,25.0,1731.0,15.0,63.0,7.0,35.0,349.0,207.0,4.0,123.0,1391.0,0.0,209.0,60.0,653.0,39.0,597.0,29.0,2077.0,4.0,210.0,201.0,4267407.0
,Total all ages,147199.0,8345.0,17546.0,182.0,208.0,1386.0,6569.0,2016.0,13829.0,1629.0,72.0,11260.0,1234.0,1885.0,266.0,343.0,1200.0,2283.0,305.0,673.0,26364.0,14.0,1059.0,13263.0,3792.0,3820.0,3453.0,347.0,49499.0,38.0,210.0,,
IOWA,Under 18,10088.0,445.0,2607.0,3.0,41.0,94.0,307.0,407.0,1918.0,248.0,34.0,1518.0,27.0,49.0,12.0,34.0,652.0,131.0,1.0,47.0,902.0,0.0,3.0,83.0,661.0,75.0,991.0,0.0,1598.0,0.0,252.0,190.0,2686879.0
,Total all ages,94485.0,4709.0,12280.0,53.0,192.0,341.0,4123.0,1594.0,10029.0,565.0,92.0,7296.0,664.0,743.0,79.0,212.0,1995.0,900.0,46.0,125.0,9645.0,7.0,1059.0,10082.0,3733.0,5793.0,3574.0,17.0,31274.0,0.0,252.0,,
KANSAS,Under 18,3948.0,185.0,683.0,3.0,17.0,27.0,138.0,102.0,490.0,71.0,20.0,742.0,4.0,22.0,8.0,48.0,243.0,54.0,0.0,43.0,701.0,0.0,6.0,61.0,353.0,1.0,156.0,0.0,638.0,0.0,0.0,225.0,1900556.0
,Total all ages,61144.0,2198.0,4958.0,62.0,112.0,204.0,1820.0,608.0,3887.0,412.0,51.0,8456.0,263.0,580.0,111.0,584.0,1697.0,742.0,127.0,167.0,9594.0,0.0,228.0,5443.0,2353.0,138.0,1613.0,0.0,21892.0,0.0,0.0,,
KENTUCKY,Under 18,5273.0,393.0,1414.0,26.0,24.0,212.0,131.0,326.0,911.0,171.0,6.0,1029.0,13.0,16.0,8.0,347.0,164.0,94.0,0.0,39.0,533.0,0.0,5.0,41.0,8.0,44.0,177.0,0.0,946.0,0.0,2.0,330.0,4329947.0
,Total all ages,219872.0,3398.0,17117.0,185.0,212.0,987.0,2014.0,2891.0,13271.0,894.0,61.0,12015.0,1102.0,1370.0,390.0,2992.0,1167.0,967.0,166.0,292.0,26397.0,3.0,5216.0,15143.0,72.0,13722.0,3949.0,70.0,114322.0,0.0,2.0,,
LOUISIANA,Under 18,17571.0,1149.0,4603.0,36.0,95.0,265.0,753.0,1173.0,2914.0,475.0,41.0,3124.0,12.0,33.0,9.0,258.0,589.0,398.0,8.0,168.0,1361.0,0.0,114.0,26.0,191.0,30.0,2307.0,32.0,2909.0,4.0,246.0,170.0,3747239.0
,Total all ages,166867.0,9494.0,29489.0,359.0,391.0,1195.0,7549.0,5260.0,22413.0,1692.0,124.0,18935.0,762.0,1519.0,146.0,2100.0,2785.0,3234.0,412.0,841.0,25770.0,41.0,1856.0,6117.0,2869.0,2965.0,7332.0,243.0,49696.0,15.0,246.0,,
MAINE,Under 18,3046.0,57.0,779.0,0.0,14.0,12.0,31.0,131.0,596.0,28.0,24.0,505.0,3.0,11.0,2.0,10.0,225.0,6.0,0.0,35.0,350.0,0.0,6.0,39.0,386.0,4.0,83.0,0.0,528.0,0.0,17.0,135.0,1335907.0
,Total all ages,40675.0,780.0,5578.0,14.0,70.0,128.0,568.0,607.0,4683.0,225.0,63.0,4889.0,199.0,518.0,41.0,93.0,1067.0,130.0,119.0,182.0,3409.0,3.0,122.0,5835.0,2181.0,20.0,1257.0,0.0,14227.0,8.0,17.0,,
MARYLAND,Under 18,17653.0,2056.0,4510.0,14.0,60.0,1131.0,851.0,937.0,2839.0,639.0,95.0,3922.0,15.0,51.0,4.0,6.0,845.0,598.0,8.0,147.0,1948.0,41.0,9.0,45.0,233.0,2.0,821.0,5.0,2299.0,23.0,65.0,139.0,5488907.0
,Total all ages,165877.0,9692.0,21726.0,286.0,352.0,3299.0,5755.0,4323.0,15337.0,1756.0,310.0,18261.0,423.0,893.0,77.0,73.0,2332.0,3215.0,748.0,578.0,28992.0,117.0,860.0,14385.0,3755.0,29.0,4202.0,82.0,55260.0,112.0,65.0,,
MASSACHUSETTS,Under 18,6732.0,793.0,1179.0,6.0,23.0,176.0,588.0,280.0,780.0,90.0,29.0,1562.0,16.0,17.0,3.0,134.0,345.0,169.0,1.0,52.0,215.0,1.0,45.0,29.0,231.0,24.0,447.0,0.0,1467.0,0.0,2.0,321.0,6522173.0
,Total all ages,118676.0,9257.0,13671.0,62.0,296.0,1211.0,7688.0,2141.0,10837.0,608.0,85.0,19372.0,455.0,1271.0,122.0,1202.0,2534.0,1328.0,530.0,425.0,9791.0,6.0,1406.0,8665.0,1565.0,5187.0,4359.0,8.0,37518.0,2.0,2.0,,
